Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Mahmoud Abdul-Rauf\abdulma02,PG,31,VAN,41,486,16.7,0.514,0.057,0.118,1.2,4.7,2.9,32.7,1,0.1,9.1,26.8,,0.7,0,0.7,0.07,,1.1,-2.1,-1,0.1
2,Tariq Abdul-Wahad\abdulta01,SG,26,DEN,29,420,5.8,0.438,0.09,0.324,3.6,11.8,7.6,8.1,1.7,2.1,21.1,17.1,,-0.7,0.3,-0.4,-0.049,,-5.6,-0.3,-5.8,-0.4
3,Shareef Abdur-Rahim\abdursh01,SF,24,VAN,81,3241,19.1,0.549,0.05,0.415,6.2,19.6,13,14.3,1.5,1.6,13.2,24.6,,5.6,2.9,8.5,0.126,,1.7,0.1,1.8,3.1
4,Cory Alexander\alexaco01,PG,27,ORL,26,227,6.3,0.407,0.286,0.321,0,12.5,6.1,23.5,3.6,0,28.1,17.3,,-0.5,0.3,-0.1,-0.031,,-7.2,1.2,-6,-0.2
5,Courtney Alexander\alexaco02,PG,23,TOT,65,1382,11.6,0.484,0.08,0.262,3.5,8.4,5.9,8,1.7,0.3,10.5,23.2,,0.3,0.5,0.8,0.027,,-2.4,-1.9,-4.3,-0.8
5,Courtney Alexander\alexaco02,PG,23,DAL,38,472,6.8,0.404,0.056,0.253,4.9,9.9,7.5,6.9,1.7,0.5,9.6,21.1,,-0.5,0.4,-0.1,-0.013,,-5.5,-0.8,-6.2,-0.5
5,Courtney Alexander\alexaco02,PG,23,WAS,27,910,14.2,0.519,0.091,0.266,2.8,7.6,5.1,8.6,1.7,0.2,10.9,24.3,,0.9,0.1,0.9,0.048,,-0.8,-2.5,-3.3,-0.3
6,Ray Allen*\allenra02,SG,25,MIL,82,3129,22.9,0.61,0.357,0.299,3.7,11.8,7.8,20.4,2.1,0.5,12.1,24.4,,11.5,2.2,13.7,0.211,,5.7,-0.3,5.5,5.9
7,Rafer Alston\alstora01,PG,24,MIL,37,288,12.1,0.429,0.357,0.155,1.6,10.6,6.1,34.6,2.4,0,18.2,17.2,,0.1,0.2,0.3,0.055,,-1.6,-0.5,-2.1,0
8,John Amaechi\amaecjo01,C,30,ORL,82,1710,8.7,0.455,0.012,0.471,4.9,12.7,8.7,7,0.8,1.2,14.8,21.7,,-1.3,1.4,0,0.001,,-4.3,-1.8,-6.1,-1.7
9,Derek Anderson\anderde01,SG,26,SAS,82,2859,17.1,0.542,0.255,0.405,3.1,10.9,7.2,18.1,2.2,0.3,12.4,21.9,,5.6,4.3,9.9,0.166,,1.2,1.2,2.4,3.2
10,Kenny Anderson\anderke01,PG,30,BOS,33,849,12.2,0.476,0.145,0.313,2.1,8.2,5,26.5,2.7,0.2,16.8,16.6,,0.4,0.7,1.1,0.063,,-1.9,-0.1,-2,0
11,Nick Anderson\anderni01,SG,33,SAC,21,169,6.4,0.333,0.684,0,2,13.7,8,11,3,1.6,10.9,16.7,,-0.3,0.3,0,-0.011,,-4.6,1.4,-3.2,-0.1
12,Shandon Anderson\andersh01,SG,27,HOU,82,2396,11.9,0.528,0.288,0.319,3.6,12.3,8,12.5,1.8,1.2,16.3,15.4,,1.9,2,3.9,0.078,,-1.1,0.7,-0.4,0.9
13,Greg Anthony\anthogr01,PG,33,POR,58,856,12,0.525,0.628,0.138,3,5.4,4.3,14.8,2.5,0.3,13.8,16.9,,0.9,0.7,1.6,0.09,,0,0.1,0.1,0.5
14,Darrell Armstrong\armstda01,PG,32,ORL,75,2767,18.6,0.535,0.402,0.249,3.7,10.2,6.9,31.3,2.5,0.3,15.2,21,,5.8,2.9,8.7,0.151,,3.2,0.1,3.3,3.6
15,Chucky Atkins\atkinch01,PG,26,DET,81,2363,12.2,0.481,0.356,0.137,1.2,6.7,3.9,24.3,1.4,0.1,12.9,21.2,,1.2,1.6,2.8,0.057,,-0.6,-1,-1.6,0.3
16,Stacey Augmon\augmost01,SG,32,POR,66,1182,12.3,0.511,0.015,0.327,6.3,9.7,8,12.7,2.2,1.3,13.6,13.9,,1.3,1.2,2.5,0.102,,-1.1,1.3,0.2,0.7
17,Isaac Austin\austiis01,C,31,VAN,52,845,8.3,0.393,0.089,0.148,6.8,23.1,15,11.2,1.2,1.9,15.8,18.5,,-1.3,0.9,-0.5,-0.026,,-4.4,0.1,-4.3,-0.5
18,William Avery\averywi01,PG,21,MIN,55,463,9,0.482,0.41,0.25,1.2,6,3.6,24,1.5,0.6,22,20,,-0.2,0.2,0,-0.003,,-2.6,-2,-4.6,-0.3
19,Dalibor Bagarić\bagarda01,C,20,CHI,35,259,3.3,0.304,0.015,0.431,9.7,16.2,12.8,6.2,1.9,4.6,21.4,17.6,,-0.9,0.2,-0.7,-0.121,,-8.9,-1.2,-10,-0.5
20,Vin Baker\bakervi01,PF,29,SEA,76,2129,13,0.481,0.019,0.391,9.7,13.5,11.6,7,0.9,2.5,14.1,23.8,,0.6,1.2,1.8,0.04,,-2.4,-1.8,-4.2,-1.2
21,Erick Barkley\barkler01,PG,22,POR,8,38,10.3,0.432,0.364,0,0,9.1,4.7,28.8,2.8,0,18.5,33,,-0.1,0,-0.1,-0.075,,-4.6,-3.2,-7.7,-0.1
22,Dana Barros\barroda01,PG,33,DET,60,1079,14.3,0.534,0.255,0.194,0.6,8.9,4.7,18,1.4,0.1,11.8,20.4,,1.4,0.8,2.3,0.101,,0.1,-0.4,-0.3,0.5
23,Brent Barry\barrybr01,SG,29,SEA,67,1778,16.6,0.66,0.571,0.257,2.1,11.4,6.8,19.4,2.4,0.6,16.2,13.5,,4.6,1.2,5.8,0.157,,2.3,0.9,3.3,2.4
24,Jon Barry\barryjo01,SG,31,SAC,62,1010,12.4,0.55,0.518,0.286,1.8,8.1,5,19,1.4,0.4,15.6,14.9,,1.5,0.9,2.4,0.114,,-0.1,0.1,0.1,0.5
25,Tony Battie\battito01,C,24,BOS,40,845,15.2,0.562,0.015,0.343,9.7,23.1,16.1,3.3,1.7,5.4,13.8,14.4,,1,1.3,2.3,0.131,,-1.7,1,-0.7,0.3
26,Raja Bell\bellra01,SG,24,PHI,5,30,-0.6,0.357,0.429,0,0,3.7,1.9,0,1.8,0,22.2,13.6,,-0.1,0,-0.1,-0.091,,-7.2,-2.2,-9.4,-0.1
27,Jonathan Bender\bendejo01,SF,20,IND,59,574,7.6,0.447,0.22,0.366,2.9,11.5,7.3,9.4,0.7,3.5,16.3,21,,-0.7,0.5,-0.1,-0.012,,-4.4,-0.3,-4.7,-0.4
28,Corey Benjamin\benjaco01,PG,22,CHI,65,857,8.8,0.453,0.268,0.275,5.1,8.9,6.9,14.6,1.8,1.4,15.7,21.8,,-0.8,0.3,-0.5,-0.028,,-3.5,-1.6,-5.1,-0.7
29,David Benoit\benoida01,SF,32,UTA,49,446,11.1,0.542,0.088,0.265,5.7,16.6,11.3,8.4,0.7,1.1,14.6,19.8,,0.4,0.4,0.7,0.08,,-2.8,-1.2,-4,-0.2
30,Travis Best\besttr01,PG,28,IND,77,2457,16.7,0.517,0.123,0.287,1.8,8.2,5.1,34,2.4,0.3,12.5,19.3,,4.8,2.3,7.2,0.14,,0.8,0.6,1.4,2.1
31,Mike Bibby\bibbymi01,PG,22,VAN,82,3190,16.8,0.525,0.246,0.162,1.7,9.2,5.5,38.3,1.8,0.3,16.7,21.3,,4,1.4,5.3,0.081,,2,-1.2,0.7,2.2
32,Chauncey Billups\billuch01,SG,24,MIN,77,1790,14.1,0.538,0.33,0.291,2,8.1,5,22.2,1.5,0.4,14.4,19.5,,2.7,0.9,3.7,0.098,,0.4,-0.9,-0.5,0.7
33,Mookie Blaylock\blaylmo01,PG,33,GSW,69,2352,15.8,0.455,0.281,0.095,3,9.9,6.1,32.3,3.5,0.6,13.3,17.3,,1.9,1.6,3.5,0.071,,0.2,1,1.2,1.9
34,Corie Blount\blounco01,PF,32,TOT,68,1305,11.8,0.473,0.027,0.282,13.9,19.4,16.5,7.1,1.6,1.2,18.1,13.2,,0.5,1.2,1.8,0.065,,-2.6,-0.9,-3.5,-0.5
34,Corie Blount\blounco01,PF,32,PHO,30,387,5.8,0.504,0,0.319,10.1,14.9,12.4,3,1.7,0.9,25.1,8.3,,0,0.6,0.6,0.077,,-5.7,1.4,-4.3,-0.2
34,Corie Blount\blounco01,PF,32,GSW,38,918,14.3,0.468,0.032,0.275,15.6,21.3,18.2,8.9,1.6,1.3,16.6,15.3,,0.5,0.6,1.1,0.06,,-1.4,-1.8,-3.2,-0.3
35,Mark Blount\blounma01,C,25,BOS,64,1098,11.1,0.541,0,0.33,9.9,14.9,12.3,4.8,1.8,5.3,21.3,12,,0.5,1.4,1.9,0.084,,-4.2,1.1,-3.1,-0.3
36,Muggsy Bogues\boguemu01,PG,36,TOR,3,34,-0.5,0,0.5,0,0,10.2,5,19.3,3.1,0,66.7,7.9,,-0.1,0,-0.1,-0.128,,-8.9,1.7,-7.2,0
37,Etdrick Bohannon\bohanet01,PF,27,CLE,6,19,22.4,0.694,0,1,18.3,24.3,21.3,0,0,7.7,14.8,16.1,,0.1,0,0.1,0.276,,1,0.7,1.7,0
38,Calvin Booth\boothca01,C,24,TOT,55,933,16.1,0.512,0,0.31,9.5,21.1,15.2,7.4,1.6,8.5,15.6,16.3,,0.6,1.4,2.1,0.106,,-1.9,2.7,0.7,0.6
38,Calvin Booth\boothca01,C,24,WAS,40,640,14.7,0.482,0,0.268,9.5,22.5,15.9,5.9,1.4,9.1,16.1,15.6,,0.1,0.9,1,0.074,,-2.6,2.2,-0.4,0.3
38,Calvin Booth\boothca01,C,24,DAL,15,293,18.9,0.568,0,0.393,9.4,17.8,13.7,10.4,2.1,7.3,14.7,17.9,,0.5,0.6,1.1,0.176,,-0.5,3.6,3.2,0.4
39,Cal Bowdler\bowdlca01,SF,23,ATL,44,375,15.8,0.532,0.044,0.351,8.9,14.1,11.4,1.8,1.4,4,7.7,17,,0.7,0.4,1,0.134,,-0.6,-0.3,-0.9,0.1
