Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Tariq Abdul-Wahad\abdulta01,SG,25,TOT,61,1578,13.6,0.477,0.036,0.299,7,13.1,10,10,1.8,1.2,12.7,22.5,,0.4,1.8,2.2,0.068,,-1.2,-0.1,-1.2,0.3
1,Tariq Abdul-Wahad\abdulta01,SG,25,ORL,46,1205,14.4,0.484,0.041,0.293,7,14.6,10.8,9.7,2.2,0.9,13,23.3,,0.4,1.6,2,0.082,,-1,0.2,-0.8,0.4
1,Tariq Abdul-Wahad\abdulta01,SG,25,DEN,15,373,10.8,0.448,0.015,0.321,6.9,8.2,7.6,11,0.8,2.2,11.3,19.7,,0,0.2,0.2,0.023,,-1.7,-0.9,-2.5,0
2,Shareef Abdur-Rahim\abdursh01,SF,23,VAN,82,3223,20.2,0.547,0.075,0.431,8,22.7,15.3,15.5,1.5,1.9,14.1,25,,6.2,2.6,8.8,0.132,,2.6,-0.4,2.2,3.4
3,Cory Alexander\alexaco01,PG,26,DEN,29,329,8.8,0.381,0.357,0.224,2.6,11.3,6.9,25.7,3.7,0.4,20.6,18,,-0.5,0.4,-0.1,-0.012,,-4.1,1.8,-2.4,0
4,Ray Allen*\allenra02,SG,24,MIL,82,3070,20.6,0.57,0.288,0.282,3.2,10.5,6.8,17,1.9,0.5,10.3,25.6,,9,1,10.1,0.157,,4.7,-1.1,3.6,4.3
5,Rafer Alston\alstora01,PG,23,MIL,27,361,4.3,0.31,0.147,0.042,1.6,5.8,3.7,26.8,1.7,0,23.1,15.5,,-0.7,0,-0.7,-0.095,,-5,-2.3,-7.3,-0.5
6,John Amaechi\amaecjo01,C,29,ORL,80,1684,13.2,0.505,0.009,0.416,4,13.2,8.6,9.1,1,1.5,14.4,24.1,,0.6,1.8,2.4,0.067,,-1.8,-0.8,-2.5,-0.2
7,Derek Anderson\anderde01,SG,25,LAC,64,2201,16.9,0.542,0.207,0.359,3.9,9.3,6.5,17.9,2.1,0.3,14.4,23.4,,3.1,0.3,3.3,0.073,,1.2,-1.2,-0.1,1.1
8,Kenny Anderson\anderke01,PG,29,BOS,82,2593,17.4,0.524,0.223,0.257,2.3,7.9,4.9,26.7,2.7,0.2,10.6,20.5,,5.4,1.9,7.3,0.136,,1.7,0.1,1.8,2.5
9,Nick Anderson\anderni01,SG,32,SAC,72,2094,11.8,0.479,0.508,0.097,4.1,12.8,8.4,8.6,2.2,0.5,10.4,18.1,,0.3,2.5,2.8,0.064,,-0.6,0.3,-0.3,0.9
10,Shandon Anderson\andersh01,SF,26,HOU,82,2700,13.8,0.567,0.289,0.325,3.9,11.9,8,14.3,1.8,0.8,17.9,17.6,,3,1.9,4.9,0.087,,-0.3,-0.2,-0.5,1.1
11,Chris Anstey\anstech01,C,25,CHI,73,1007,15.1,0.512,0.016,0.404,10.3,22.5,16.3,13.2,1.5,1.8,15.7,23.1,,0.6,1.3,1.9,0.09,,-2.1,-0.1,-2.3,-0.1
12,Greg Anthony\anthogr01,PG,32,POR,82,1548,13,0.551,0.56,0.274,1.4,8.4,5.1,20.5,2,0.4,15.4,16.4,,2.3,1.8,4.1,0.128,,0.4,0.8,1.2,1.2
13,B.J. Armstrong\armstbj01,PG,32,CHI,27,583,10.7,0.51,0.156,0.134,0.4,9.2,4.7,26.5,0.6,0.1,16.9,18.6,,0.2,0.2,0.4,0.03,,-1.8,-2,-3.8,-0.3
14,Darrell Armstrong\armstda01,PG,31,ORL,82,2590,19.5,0.542,0.36,0.221,2.7,8.6,5.7,31.4,3.2,0.2,16.8,23.9,,4.6,3.4,8,0.149,,3.6,0.9,4.5,4.3
