Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
22,William Avery\averywi01,PG,22,MIN,28,258,5.4,0.361,0.389,0.211,1.8,8.8,5.4,19.9,1.4,0,16.2,20.6,,-0.5,0.1,-0.4,-0.067,,-4.8,-1.5,-6.3,-0.3
23,Dalibor Bagarić\bagarda01,C,21,CHI,50,638,8.6,0.443,0.006,0.393,9.8,20.1,14.8,6,1.4,2.8,18.1,18.4,,-0.7,0.6,-0.1,-0.011,,-5.7,-1.5,-7.2,-0.8
24,Vin Baker\bakervi01,C,30,SEA,55,1710,14.1,0.517,0.012,0.348,11.8,12.3,12.1,7,0.7,1.6,14.5,23.8,,1.3,0.9,2.2,0.061,,-1.4,-2.3,-3.7,-0.7
25,Erick Barkley\barkler01,PG,23,POR,19,228,9.8,0.401,0.103,0.147,2.5,6.8,4.6,22.9,4,0.3,14.2,16.9,,-0.1,0.3,0.2,0.044,,-4.9,1.9,-3,-0.1
26,Dana Barros\barroda01,PG,34,DET,29,582,10.5,0.473,0.37,0.141,0.2,11.3,5.8,22.5,1.3,0.2,13.9,19.2,,0,0.5,0.5,0.04,,-2,-0.7,-2.7,-0.1
27,Brent Barry\barrybr01,SG,30,SEA,81,3040,19.3,0.652,0.49,0.296,2.3,14.6,8.6,21.3,2.6,0.9,15.6,16.2,,8.8,3.3,12.1,0.191,,3.8,1.6,5.5,5.8
28,Jon Barry\barryjo01,SG,32,DET,82,1985,17.7,0.645,0.494,0.222,2.5,11.3,6.9,23.2,2.5,0.7,16.2,16.2,,5,2.5,7.5,0.18,,2.6,1.3,3.9,3
29,Mengke Bateer\bateeme01,C,26,DEN,27,408,8,0.469,0.091,0.28,8.5,18.8,13.4,8.9,1.3,0.9,17.8,19.8,,-0.2,0.3,0.1,0.007,,-6.3,-1.1,-7.4,-0.6
30,Tony Battie\battito01,C,25,BOS,74,1819,14.5,0.57,0.005,0.333,10.8,18.4,14.5,3.2,1.7,2.9,10.2,12.5,,3.2,3,6.2,0.164,,-1.4,0.8,-0.7,0.6
31,Shane Battier\battish01,SF,23,MEM,78,3097,13.9,0.518,0.287,0.294,6.5,8.6,7.5,11.9,2.1,1.8,12.5,18.2,,2.7,2.1,4.8,0.074,,0.2,0.3,0.5,1.9
32,Charlie Bell\bellch01,SG,22,TOT,7,44,-1.8,0.337,0.545,0.182,5.1,7.7,6.4,6.4,0,0,29.6,17.2,,-0.2,0,-0.2,-0.172,,-8.3,-4,-12.3,-0.1
32,Charlie Bell\bellch01,SG,22,PHO,5,42,-2.2,0.337,0.545,0.182,5.3,5.5,5.4,6.7,0,0,29.6,18,,-0.2,0,-0.2,-0.185,,-8.4,-4.8,-13.2,-0.1
32,Charlie Bell\bellch01,SG,22,DAL,2,2,7.6,,,,0,54.7,27.8,0,0,0,,0,,0,0,0,0.085,,-7.1,12.8,5.6,0
33,Raja Bell\bellra01,SG,25,PHI,74,890,8.6,0.486,0.183,0.2,4,10.1,7.1,13.4,1.3,0.3,15.5,15.9,,0.1,1,1.1,0.059,,-3.6,0.3,-3.3,-0.3
34,Jonathan Bender\bendejo01,SF,21,IND,78,1647,10.6,0.538,0.272,0.393,4.5,12,8.4,6.1,0.6,2.1,15.1,17.5,,0.8,1.3,2,0.059,,-1.5,-0.7,-2.2,-0.1
