Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Shareef Abdur-Rahim\abdursh01,PF,27,TOT,85,2684,19.9,0.557,0.032,0.407,8.2,19,13.6,12.3,1.4,1,12.9,24.4,,6.1,2,8.1,0.145,,2.3,-0.7,1.6,2.4
1,Shareef Abdur-Rahim\abdursh01,PF,27,ATL,53,1956,21.2,0.568,0.029,0.423,8.2,20.3,14.3,12.6,1.2,0.7,12.3,24.8,,5.3,1.3,6.6,0.163,,3.3,-1,2.3,2.1
1,Shareef Abdur-Rahim\abdursh01,PF,27,POR,32,728,16.5,0.522,0.042,0.36,7.9,15.5,11.8,11.5,1.8,1.8,14.8,23.3,,0.9,0.6,1.5,0.098,,-0.4,0,-0.4,0.3
2,Malik Allen\allenma01,PF,25,MIA,45,616,10.5,0.449,0,0.167,7.9,14.7,11.3,4.7,1.1,3.6,11.3,18.3,,-0.1,0.8,0.7,0.051,,-3.7,-0.1,-3.8,-0.3
3,Ray Allen*\allenra02,SG,28,SEA,56,2152,21.7,0.566,0.372,0.266,3.8,11.8,7.8,23.3,1.8,0.4,12.1,27.8,,6.5,0.4,6.9,0.153,,5.5,-1.5,4,3.2
4,Rafer Alston\alstora01,PG,27,MIA,82,2581,13.7,0.509,0.568,0.175,1.2,9.1,5.1,24.9,2.4,0.6,13.5,17.3,,3.1,2.8,5.9,0.11,,0.2,0.7,0.9,1.9
5,Chris Andersen\anderch01,PF,25,DEN,71,1029,14.4,0.486,0.005,0.527,9.6,23.3,16.3,5.1,1.7,7.8,16.1,12.7,,0.5,1.9,2.4,0.111,,-2,2.8,0.7,0.7
6,Derek Anderson\anderde01,SG,29,POR,51,1810,15.1,0.499,0.423,0.307,1.7,10.2,6,21.1,2,0.1,11.5,20.5,,2.7,0.9,3.6,0.097,,0.8,-0.5,0.3,1
7,Kenny Anderson\anderke01,PG,33,IND,44,905,11.1,0.473,0.016,0.188,2.5,8.2,5.3,24.2,1.6,0.4,15.3,17.1,,0.4,1.1,1.5,0.079,,-2.3,0.6,-1.7,0.1
8,Shandon Anderson\andersh01,SG,30,NYK,80,1974,10.1,0.5,0.227,0.285,3.1,9.7,6.5,10.2,1.8,0.7,15.7,17.7,,0.2,1.5,1.7,0.042,,-2.4,0.1,-2.4,-0.2
9,Carmelo Anthony\anthoca01,SF,19,DEN,82,2995,17.6,0.509,0.146,0.358,6.8,12.1,9.4,13.8,1.7,1,12.7,28.5,,3.7,2.4,6.1,0.098,,1.6,-1.6,0,1.5
10,Robert Archibald\archiro01,C-PF,23,TOT,32,256,5.6,0.343,0,0.939,9.4,14,11.7,7.9,3,0.9,17.7,10.7,,-0.2,0.4,0.2,0.039,,-6.7,2.2,-4.5,-0.1
10,Robert Archibald\archiro01,PF,23,PHO,1,6,-5.1,0.266,0,2,0,19.1,9.5,22.2,0,0,34.7,21.7,,0,0,0,-0.285,,-11.1,-2,-13.2,0
10,Robert Archibald\archiro01,PF,23,ORL,1,4,20.6,0.347,0,1,0,29,14.2,0,13.2,0,0,32.6,,0,0,0,-0.08,,0.1,5.5,5.6,0
10,Robert Archibald\archiro01,C,23,TOR,30,246,5.6,0.346,0,0.9,9.8,13.6,11.7,7.7,2.9,0.9,17.7,10,,-0.2,0.4,0.2,0.049,,-6.7,2.3,-4.4,-0.1
11,Gilbert Arenas\arenagi01,PG,22,WAS,55,2066,16,0.512,0.364,0.347,2.9,11.1,6.9,25.5,2.6,0.4,17.7,27.4,,1.1,1.5,2.6,0.061,,1.1,-1,0.1,1.1
12,Brandon Armstrong\armstbr01,SG,23,NJN,56,434,5.5,0.427,0.297,0.023,3.3,8.4,5.8,5.7,1.5,0.4,12,21.7,,-0.8,0.5,-0.3,-0.03,,-5.5,-2,-7.5,-0.6
13,Darrell Armstrong\armstda01,PG,35,NOH,79,2247,15.6,0.525,0.583,0.196,3.1,8.5,5.7,24.3,3.2,0.5,16.2,19.4,,2.8,2.5,5.3,0.114,,1.3,1.1,2.4,2.5
14,Carlos Arroyo\arroyca01,PG,24,UTA,71,2008,16.8,0.517,0.152,0.293,2.5,9,5.7,34.6,1.7,0.2,15.2,23.7,,3.5,1.2,4.7,0.112,,2,-1.1,0.9,1.5
15,Chucky Atkins\atkinch01,PG,29,TOT,64,1544,12.1,0.511,0.498,0.2,0.7,6.2,3.5,24.7,1.5,0.1,14.9,18.5,,1.5,1.3,2.7,0.085,,-0.3,-0.9,-1.1,0.3
15,Chucky Atkins\atkinch01,PG,29,DET,40,751,10.1,0.49,0.553,0.183,0.9,6.4,3.7,21.9,1.4,0.1,15.9,18.8,,0.3,1,1.2,0.079,,-1.3,-0.3,-1.6,0.1
