,,,,,Totals,,,,,,,,,,,,,,,,Shooting,,,Per Game,,,,Birth,
Rk,Player,Yrs,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,Date,City
1,Marcin Gortat,12,2008,2019,806,20691,3401,6168,3,20,1146,1686,1759,6407,915,383,885,958,1775,7951,0.551,0.15,0.68,25.7,9.9,7.9,1.1,17-Feb-84,Lodz
2,Maciej Lampe,3,2004,2006,64,632,94,231,2,8,25,37,37,142,22,8,10,35,81,215,0.407,0.25,0.676,9.9,3.4,2.2,0.3,5-Feb-85,Lodz
3,Cezary Trybański,2,2003,2004,22,101,5,24,0,0,5,12,6,15,1,1,7,10,16,15,0.208,,0.417,4.6,0.7,0.7,0,22-Sep-79,Warsaw
