,,,,,Totals,,,,,,,,,,,,,,,,Shooting,,,Per Game,,,,Birth,
Rk,Player,Yrs,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,Date,City
1,Raja Bell,12,2001,2012,706,19813,2581,5949,956,2357,880,1101,408,1968,1208,484,130,695,1840,6998,0.434,0.406,0.799,28.1,9.9,2.8,1.7,19-Sep-76,St. Croix
2,Charles Claxton,1,1996,1996,3,7,1,2,0,0,0,2,2,2,0,0,1,1,4,2,0.5,,0,2.3,0.7,0.7,0,13-Dec-70,St. Thomas
3,Tim Duncan*,19,1998,2016,1392,47368,10285,20334,30,168,5896,8468,3859,15091,4225,1025,3020,3381,3304,26496,0.506,0.179,0.696,34,19,10.8,3,25-Apr-76,St. Croix
