,,,,,Totals,,,,,,,,,,,,,,,,Shooting,,,Per Game,,,,Birth,
Rk,Player,Yrs,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,Date,City
1,Ángel Delgado,1,2019,2019,2,15,1,5,0,0,1,2,2,4,0,1,0,0,2,3,0.2,,0.5,7.5,1.5,2,0,20-Nov-94,Santo Domingo
2,Luis Flores,1,2005,2005,16,77,14,29,5,10,2,2,1,3,11,2,0,11,9,35,0.483,0.5,1,4.8,2.2,0.2,0.7,11-Apr-81,San Pedro de Macoris
3,Francisco García,10,2006,2015,549,11853,1564,3659,581,1627,614,768,278,1400,747,441,388,545,1229,4323,0.427,0.357,0.799,21.6,7.9,2.6,1.4,31-Dec-81,Santo Domingo
4,Al Horford,13,2008,2020,853,27810,4997,9612,464,1275,1432,1898,1798,7053,2818,688,1008,1344,1943,11890,0.52,0.364,0.754,32.6,13.9,8.3,3.3,3-Jun-86,Puerto Plata
5,Tito Horford,3,1989,1994,63,376,33,110,0,0,27,43,29,84,5,7,26,30,50,93,0.3,,0.628,6,1.5,1.3,0.1,19-Jan-66,La Romana
6,Felipe López,4,1999,2002,249,4145,550,1274,48,147,300,455,212,604,252,161,62,254,451,1448,0.432,0.327,0.659,16.6,5.8,2.4,1,19-Dec-74,Santo Domingo
7,Luis Montero,2,2016,2018,14,50,5,20,1,9,3,4,0,6,1,0,0,6,1,14,0.25,0.111,0.75,3.6,1,0.4,0.1,6-Apr-93,Santo Domingo
