,,,,,Totals,,,,,,,,,,,,,,,,Shooting,,,Per Game,,,,Birth,
Rk,Player,Yrs,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,Date,City
1,Clint Capela,6,2015,2020,334,8674,1766,2785,0,2,543,1033,1089,3243,324,229,491,412,838,4075,0.634,0,0.526,26,12.2,9.7,1,18-May-94,Geneva
2,Enes Kanter,9,2012,2020,641,13932,3036,5596,43,150,1300,1676,1878,4867,546,258,301,978,1396,7415,0.543,0.287,0.776,21.7,11.6,7.6,0.9,20-May-92,Zurich
3,Thabo Sefolosha,14,2007,2020,869,19062,1916,4265,513,1469,649,887,626,3252,1196,935,366,755,1418,4994,0.449,0.349,0.732,21.9,5.7,3.7,1.4,2-May-84,Vevey
4,Nikola Vučević,9,2012,2020,598,18103,4185,8386,276,825,980,1313,1599,6110,1532,515,556,1030,1507,9626,0.499,0.335,0.746,30.3,16.1,10.2,2.6,24-Oct-90,Morges
