,,,,,Totals,,,,,,,,,,,,,,,,Shooting,,,Per Game,,,,Birth,
Rk,Player,Yrs,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,Date,City
1,Samuel Dalembert,13,2002,2015,886,21646,2810,5393,1,12,1193,1689,2289,6942,465,437,1546,1271,2601,6814,0.521,0.083,0.706,24.4,7.7,7.8,0.5,10-May-81,Port-Au-Prince
2,Yvon Joseph,1,1986,1986,1,5,0,0,0,0,2,2,0,0,0,0,0,0,1,2,,,1,5,2,0,0,31-Oct-57,Cap-Haitian
3,Skal Labissière,4,2017,2020,148,2595,429,872,30,85,181,242,224,662,152,53,99,151,314,1069,0.492,0.353,0.748,17.5,7.2,4.5,1,18-Mar-96,Port-au-Prince
4,Olden Polynice,15,1988,2004,1058,24884,3557,7037,5,26,1146,2141,2730,7110,744,516,651,1170,2835,8265,0.505,0.192,0.535,23.5,7.8,6.7,0.7,21-Nov-64,Port-au-Prince
