,,,,,Totals,,,,,,,,,,,,,,,,Shooting,,,Per Game,,,,Birth,
Rk,Player,Yrs,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,Date,City
1,Pero Antić,2,2014,2015,113,1962,231,590,108,344,138,189,115,398,107,37,26,104,258,708,0.392,0.314,0.73,17.4,6.3,3.5,0.9,29-Jul-82,Skopje
2,Cedi Osman,3,2018,2020,202,5026,716,1639,285,782,230,321,103,708,390,136,30,237,433,1947,0.437,0.364,0.717,24.9,9.6,3.5,1.9,8-Apr-95,Ohrid
