,,,,,Totals,,,,,,,,,,,,,,,,Shooting,,,Per Game,,,,Birth,
Rk,Player,Yrs,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,Date,City
1,Goga Bitadze,1,2020,2020,54,471,70,150,8,42,24,33,25,106,23,10,37,28,65,172,0.467,0.19,0.727,8.7,3.2,2,0.4,20-Jul-99,Sagarejo
2,Zaza Pachulia,16,2004,2019,1098,22240,2608,5559,0,31,2198,2927,2362,6315,1433,768,378,1444,2738,7414,0.469,0,0.751,20.3,6.8,5.8,1.3,10-Feb-84,Tbilisi
3,Tornike Shengelia,2,2013,2014,45,247,23,51,1,8,12,24,13,39,17,6,2,23,29,59,0.451,0.125,0.5,5.5,1.3,0.9,0.4,5-Oct-91,Tbilisi
4,Vladimir Stepania,6,1999,2004,270,3726,455,1071,2,15,206,384,444,1180,94,110,144,213,482,1118,0.425,0.133,0.536,13.8,4.1,4.4,0.3,8-May-76,
5,Jake Tsakalidis,7,2001,2007,315,5005,580,1184,0,1,337,513,436,1238,101,73,223,268,689,1497,0.49,0,0.657,15.9,4.8,3.9,0.3,10-Jun-79,Rustavi
6,Nikoloz Tskitishvili,4,2003,2006,172,1946,190,626,43,183,84,115,109,307,114,46,50,126,227,507,0.304,0.235,0.73,11.3,2.9,1.8,0.7,14-Apr-83,Tbilisi
