,,,,,Totals,,,,,,,,,,,,,,,,Shooting,,,Per Game,,,,Birth,
Rk,Player,Yrs,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,Date,City
1,Omri Casspi,10,2010,2019,588,11959,1718,3781,493,1339,713,1052,473,2355,662,362,134,595,917,4642,0.454,0.368,0.678,20.3,7.9,4,1.1,22-Jun-88,Holon
2,T.J. Leaf,3,2018,2020,139,1203,199,405,31,91,36,63,95,278,42,24,27,30,102,465,0.491,0.341,0.571,8.7,3.3,2,0.3,30-Apr-97,Tel Aviv
3,Gal Mekel,2,2014,2015,35,335,33,106,5,23,8,12,5,28,76,6,1,33,32,79,0.311,0.217,0.667,9.6,2.3,0.8,2.2,4-Mar-88,Petah Tikva
