,,,,,Totals,,,,,,,,,,,,,,,,Shooting,,,Per Game,,,,Birth,
Rk,Player,Yrs,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,Date,City
1,Rawle Marshall,2,2006,2007,63,602,56,149,5,21,53,74,16,60,23,20,12,34,39,170,0.376,0.238,0.716,9.6,2.7,1,0.4,20-Feb-82,Georgetown
2,Jason Miskiri,1,2000,2000,1,3,0,1,0,1,0,0,0,0,1,0,0,0,2,0,0,0,,3,0,0,1,19-Aug-75,Georgetown
