,,,,,Totals,,,,,,,,,,,,,,,,Shooting,,,Per Game,,,,Birth,
Rk,Player,Yrs,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,Date,City
1,Deandre Ayton,2,2019,2020,109,3419,819,1438,3,17,208,278,370,1165,197,87,125,206,326,1849,0.57,0.176,0.748,31.4,17,10.7,1.8,23-Jul-98,Nassau
2,Dexter Cambridge,1,1993,1993,53,885,151,312,0,4,68,99,88,167,58,24,6,63,128,370,0.484,0,0.687,16.7,7,3.2,1.1,29-Jan-70,Eleuthra
3,Buddy Hield,4,2017,2020,316,8743,1864,4222,873,2126,421,486,253,1316,694,247,81,539,630,5022,0.441,0.411,0.866,27.7,15.9,4.2,2.2,17-Dec-92,Freeport
4,Ian Lockhart,1,1991,1991,1,2,1,1,0,0,2,2,0,0,0,0,0,0,0,4,1,,1,2,4,0,0,25-Jun-67,Nassau
5,Mychal Thompson,12,1979,1991,935,27764,5191,10306,1,12,2427,3707,2229,6951,2141,701,1073,2104,2692,12810,0.504,0.083,0.655,29.7,13.7,7.4,2.3,30-Jan-55,Nassau
