,,,,,Totals,,,,,,,,,,,,,,,,Shooting,,,Per Game,,,,Birth,
Rk,Player,Yrs,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,Date,City
1,Furkan Aldemir,1,2015,2015,41,540,40,78,0,5,13,27,78,176,28,17,16,17,96,93,0.513,0,0.481,13.2,2.3,4.3,0.7,9-Aug-91,Konak
2,Ömer Aşık,8,2011,2018,471,9216,947,1795,0,1,585,1062,1036,3362,280,167,339,542,928,2479,0.528,0,0.551,19.6,5.3,7.1,0.6,4-Jul-86,Bursa
3,Semih Erden,2,2011,2012,69,928,101,185,0,0,60,101,57,190,29,25,29,50,164,262,0.546,,0.594,13.4,3.8,2.8,0.4,28-Jul-86,Istanbul
4,Ersan İlyasova,12,2007,2020,808,18809,3102,6993,865,2368,1230,1585,1390,4632,904,550,290,783,1965,8299,0.444,0.365,0.776,23.3,10.3,5.7,1.1,15-May-87,Eskisehir
5,Furkan Korkmaz,3,2018,2020,134,2318,348,836,195,517,115,150,36,286,135,72,19,86,172,1006,0.416,0.377,0.767,17.3,7.5,2.1,1,24-Jul-97,Istanbul
6,Ibo Kutluay,1,2005,2005,5,12,0,1,0,0,0,0,0,1,0,0,0,2,1,0,0,,,2.4,0,0.2,0,1-Jul-74,Istanbul
7,Mehmet Okur,10,2003,2012,634,18429,3028,6615,596,1590,1909,2396,1261,4436,1089,329,453,991,1815,8561,0.458,0.375,0.797,29.1,13.5,7,1.7,26-May-79,Yalova
8,Hedo Türkoğlu,15,2001,2015,997,26695,3851,9034,1246,3246,2074,2645,647,3971,2832,750,299,1578,2403,11022,0.426,0.384,0.784,26.8,11.1,4,2.8,19-Mar-79,Istanbul
