,,,,,Totals,,,,,,,,,,,,,,,,Shooting,,,Per Game,,,,Birth,
Rk,Player,Yrs,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,Date,City
1,Bol Bol,1,2020,2020,7,87,14,28,4,9,8,10,5,19,6,2,6,10,11,40,0.5,0.444,0.8,12.4,5.7,2.7,0.9,16-Nov-99,Khartoum
2,Wenyen Gabriel,1,2020,2020,30,235,21,48,6,20,15,22,21,52,8,11,7,16,39,63,0.438,0.3,0.682,7.8,2.1,1.7,0.3,26-Mar-97,Khartoum
