,,,,,Totals,,,,,,,,,,,,,,,,Shooting,,,Per Game,,,,Birth,
Rk,Player,Yrs,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,Date,City
1,Tomáš Satoranský,4,2017,2020,275,6404,756,1612,184,499,335,410,255,849,1131,240,41,371,498,2031,0.469,0.369,0.817,23.3,7.4,3.1,4.1,30-Oct-91,Prague
2,Jan Veselý,3,2012,2014,162,2455,263,505,0,2,64,157,225,562,96,107,84,123,384,590,0.521,0,0.408,15.2,3.6,3.5,0.6,24-Apr-90,Ostrava
3,Jiří Welsch,4,2003,2006,247,4596,516,1280,118,344,369,491,120,602,375,187,15,262,394,1519,0.403,0.343,0.752,18.6,6.1,2.4,1.5,27-Jan-80,Pardubice
4,George Zídek,3,1996,1998,135,1328,161,395,1,4,130,166,108,286,32,14,12,69,241,453,0.408,0.25,0.783,9.8,3.4,2.1,0.2,2-Aug-73,Zlin
