,,,,,Totals,,,,,,,,,,,,,,,,Shooting,,,Per Game,,,,Birth,
Rk,Player,Yrs,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,Date,City
1,Óscar Torres,2,2002,2003,82,1184,151,377,44,139,96,125,50,134,43,29,11,57,73,442,0.401,0.317,0.768,14.4,5.4,1.6,0.5,18-Dec-76,Caracas
2,Greivis Vásquez,7,2011,2017,401,9520,1378,3297,412,1180,423,518,125,1021,1935,236,34,753,767,3591,0.418,0.349,0.817,23.7,9,2.5,4.8,16-Jan-87,Caracas
