,,,,,Totals,,,,,,,,,,,,,,,,Shooting,,,Per Game,,,,Birth,
Rk,Player,Yrs,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,Date,City
1,Lazaro Borrell,1,2000,2000,17,167,28,63,0,3,6,11,14,40,10,6,3,6,9,62,0.444,0,0.545,9.8,3.6,2.4,0.6,20-Sep-72,Santa Clara
2,Al Cueto,2,1970,1971,149,2239,316,782,5,21,157,221,271,731,144,,,152,423,794,0.404,0.238,0.71,15,5.3,4.9,1,2-Aug-46,Havana
3,Andrés Guibert,2,1994,1995,22,200,22,67,0,4,16,25,26,61,12,8,2,18,35,60,0.328,0,0.64,9.1,2.7,2.8,0.5,28-Oct-68,Havana
