,,,,,Totals,,,,,,,,,,,,,,,,Shooting,,,Per Game,,,,Birth,
Rk,Player,Yrs,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,Date,City
1,Mengke Bateer,3,2002,2004,46,494,61,156,5,15,29,39,39,114,27,11,5,40,118,156,0.391,0.333,0.744,10.7,3.4,2.5,0.6,20-Nov-75,Beijing
2,Yi Jianlian,5,2008,2012,272,6038,813,2012,75,225,447,573,379,1339,192,136,184,302,618,2148,0.404,0.333,0.78,22.2,7.9,4.9,0.7,27-Oct-87,He Shan
3,Tom Meschery,10,1962,1971,778,23459,3877,8793,,,2150,2885,,6698,1331,,,,2841,9904,0.441,,0.745,30.2,12.7,8.6,1.7,26-Oct-38,Harbin Manchuria
4,Yao Ming*,8,2003,2011,486,15818,3380,6445,2,10,2485,2984,1233,4494,769,189,920,1311,1596,9247,0.524,0.2,0.833,32.5,19,9.2,1.6,12-Sep-80,Shanghai
5,Zhou Qi,2,2018,2019,19,125,7,33,2,19,8,12,6,22,2,2,14,10,14,24,0.212,0.105,0.667,6.6,1.3,1.2,0.1,16-Jan-96,Henan
6,Sun Yue,1,2009,2009,10,28,3,11,0,6,0,0,0,0,2,1,1,3,10,6,0.273,0,,2.8,0.6,0,0.2,6-Nov-85,Hebei
7,Wang Zhizhi,5,2001,2005,137,1256,213,511,70,182,108,147,56,231,39,25,35,68,155,604,0.417,0.385,0.735,9.2,4.4,1.7,0.3,8-Jul-77,Beijing
