,,,,,Totals,,,,,,,,,,,,,,,,Shooting,,,Per Game,,,,Birth,
Rk,Player,Yrs,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,Date,City
1,Patrick Ewing*,17,1986,2002,1183,40594,9702,19241,19,125,5392,7289,2752,11607,2215,1136,2894,3537,4034,24815,0.504,0.152,0.74,34.3,21,9.8,1.9,5-Aug-62,Kingston
2,Omari Johnson,1,2018,2018,4,75,9,21,4,12,0,0,4,11,7,2,0,3,6,22,0.429,0.333,,18.8,5.5,2.8,1.8,26-Nov-89,Kingston
3,Jerome Jordan,2,2012,2015,65,491,67,127,0,0,46,54,66,132,17,9,21,24,73,180,0.528,,0.852,7.6,2.8,2,0.3,29-Sep-86,Kingston
4,Rumeal Robinson,6,1991,1997,336,6098,1014,2345,112,326,406,665,164,606,1179,301,54,580,599,2546,0.432,0.344,0.611,18.1,7.6,1.8,3.5,13-Nov-66,Mandeville
5,Samardo Samuels,3,2011,2013,109,1722,237,532,0,4,164,251,148,366,45,38,41,115,231,638,0.445,0,0.653,15.8,5.9,3.4,0.4,9-Jan-89,Trelawny
6,Wayne Sappleton,1,1985,1985,33,298,41,87,0,0,14,34,28,75,7,7,4,21,50,96,0.471,,0.412,9,2.9,2.3,0.2,17-Nov-60,Kingston
7,Gary Voce,1,1990,1990,1,4,1,3,0,0,0,0,2,2,0,0,0,0,0,2,0.333,,,4,2,2,0,24-Nov-65,
