,,,,,Totals,,,,,,,,,,,,,,,,Shooting,,,Per Game,,,,Birth,
Rk,Player,Yrs,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,Date,City
1,Steven Adams,7,2014,2020,530,14207,2157,3664,1,10,876,1573,1823,4029,615,469,531,757,1384,5191,0.589,0.1,0.557,26.8,9.8,7.6,1.2,20-Jul-93,Rotorua
2,Aron Baynes,8,2013,2020,469,7390,1109,2239,84,257,489,611,718,2123,374,101,232,399,1045,2791,0.495,0.327,0.8,15.8,6,4.5,0.8,9-Dec-86,Gisborne
3,Sean Marks,11,1999,2011,230,2275,259,578,5,25,115,173,158,501,50,33,87,116,342,638,0.448,0.2,0.665,9.9,2.8,2.2,0.2,23-Aug-75,Auckland
4,Kirk Penney,2,2004,2005,6,30,2,9,1,4,0,0,0,2,2,1,0,5,1,5,0.222,0.25,,5,0.8,0.3,0.3,23-Nov-80,Auckland
