,,,,,Totals,,,,,,,,,,,,,,,,Shooting,,,Per Game,,,,Birth,
Rk,Player,Yrs,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,Date,City
1,Bismack Biyombo,9,2012,2020,636,12864,1232,2367,0,2,809,1408,1255,3968,338,159,852,577,1408,3273,0.52,0,0.575,20.2,5.1,6.2,0.5,28-Aug-92,Lubumbashi
2,Christian Eyenga,2,2011,2012,51,1049,136,331,26,94,22,36,31,137,40,37,33,50,85,320,0.411,0.277,0.611,20.6,6.3,2.7,0.8,22-Jun-89,Kinshasa
3,Didier Ilunga-Mbenga,7,2005,2011,234,1566,180,383,0,2,54,89,129,351,41,37,141,87,286,414,0.47,0,0.607,6.7,1.8,1.5,0.2,30-Dec-80,Kinshasa
4,Emmanuel Mudiay,5,2016,2020,300,7176,1222,3049,276,855,576,774,138,884,1139,214,88,669,491,3296,0.401,0.323,0.744,23.9,11,2.9,3.8,5-Mar-96,Kinshasa
5,Dikembe Mutombo*,18,1992,2009,1196,36791,4169,8045,0,2,3391,4960,3808,12359,1240,494,3289,2173,3383,11729,0.518,0,0.684,30.8,9.8,10.3,1,25-Jun-66,Kinshasa
