,,,,,Totals,,,,,,,,,,,,,,,,Shooting,,,Per Game,,,,Birth,
Rk,Player,Yrs,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,Date,City
1,Gustavo Ayón,3,2012,2014,135,2251,284,530,0,1,67,133,188,589,173,100,73,122,272,635,0.536,0,0.504,16.7,4.7,4.4,1.3,1-Apr-85,Tepic
2,Jorge Gutiérrez,3,2014,2016,47,482,53,106,3,17,28,36,8,54,69,19,1,32,65,137,0.5,0.176,0.778,10.3,2.9,1.1,1.5,27-Dec-88,Chihuahua
3,Horacio Llamas Grey,2,1997,1998,28,143,23,49,1,3,11,18,8,36,5,11,8,20,39,58,0.469,0.333,0.611,5.1,2.1,1.3,0.2,17-Jul-73,El Rosario
4,Eduardo Nájera,12,2001,2012,619,11213,1204,2505,110,354,534,796,897,2307,493,446,231,402,1378,3052,0.481,0.311,0.671,18.1,4.9,3.7,0.8,11-Jul-76,Meoqui
