,,,,,Totals,,,,,,,,,,,,,,,,Shooting,,,Per Game,,,,Birth,
Rk,Player,Yrs,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,Date,City
1,Rolando Blackman,13,1982,1994,980,32087,6887,13969,229,667,3620,4309,1047,3278,2981,715,274,1829,1634,17623,0.493,0.343,0.84,32.7,18,3.3,3,26-Feb-59,Panama City
2,Gary Forbes,2,2011,2012,111,1504,236,544,48,141,125,178,55,218,103,47,10,100,133,645,0.434,0.34,0.702,13.5,5.8,2,0.9,25-Feb-85,Colon
3,Rubén Garcés,1,2001,2001,13,73,7,22,0,0,2,8,16,29,5,3,2,5,14,16,0.318,,0.25,5.6,1.2,2.2,0.4,17-Oct-73,Colon
4,Stuart Gray,7,1985,1991,386,3457,338,758,0,7,230,347,309,1020,148,64,133,243,645,906,0.446,0,0.663,9,2.3,2.6,0.4,27-May-63,Panama Canal Zone
