Player,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Aaron Miles,Panionios On Telecoms,10,322,37,95,0.389,5,20,0.25,32,75,0.427,0.416,23,33,0.697,5,23,28,33,19,1,22,20,102
Aboubakar Zaki,SLUC Nancy,10,87,5,12,0.417,0,1,0,5,11,0.455,0.417,3,9,0.333,6,14,20,2,1,5,4,13,13
Adam Chubb,Alba Berlin,16,282,44,75,0.587,1,1,1,43,74,0.581,0.593,32,44,0.727,18,48,66,2,6,4,19,57,121
Adam Hrycaniuk,Asseco Prokom Sopot,15,164,6,29,0.207,0,3,0,6,26,0.231,0.207,5,6,0.833,19,33,52,3,6,2,11,35,17
Adam Lapeta,Asseco Prokom Sopot,4,26,3,5,0.6,0,1,0,3,4,0.75,0.6,2,5,0.4,4,1,5,0,0,0,0,7,8
Akin Akingbala,SLUC Nancy,2,36,7,11,0.636,0,0,,7,11,0.636,0.636,2,5,0.4,3,5,8,0,1,3,0,4,16
Alain Koffi,Le Mans Sarthe Basket,10,282,39,77,0.506,0,0,,39,77,0.506,0.506,18,31,0.581,33,44,77,15,11,11,16,27,96
Alan Anderson,Cibona Zagreb,8,251,36,94,0.383,13,33,0.394,23,61,0.377,0.452,37,44,0.841,10,28,38,16,16,4,23,32,122
Aleksandar Rasic,Partizan,19,410,40,110,0.364,24,68,0.353,16,42,0.381,0.473,29,34,0.853,8,18,26,41,12,1,35,39,133
Aleksander Nadjfeji,Alba Berlin,16,344,58,111,0.523,0,3,0,58,108,0.537,0.523,23,39,0.59,13,40,53,20,7,4,38,46,139
Aleksej Nesovic,Asseco Prokom Sopot,10,169,18,45,0.4,9,22,0.409,9,23,0.391,0.5,6,8,0.75,5,17,22,13,6,0,23,25,51
Alessandro Tonolli,Lottomatica Roma,7,47,2,2,1,2,2,1,0,0,,1.5,2,4,0.5,2,2,4,2,3,0,1,12,8
Alex Mumbru,Real Madrid,20,398,50,120,0.417,20,60,0.333,30,60,0.5,0.5,28,35,0.8,16,34,50,30,20,0,32,40,148
Alexey Savrasenko,CSKA Moscow,8,122,15,26,0.577,0,0,,15,26,0.577,0.577,8,14,0.571,13,11,24,2,0,1,6,21,38
Alexey Shved,CSKA Moscow,3,10,1,1,1,1,1,1,0,0,,1.5,4,4,1,1,0,1,3,1,0,1,0,7
Allan Ray,Lottomatica Roma,6,132,13,45,0.289,6,15,0.4,7,30,0.233,0.356,9,12,0.75,2,10,12,14,2,1,11,20,41
Andre Barrett,Regal FC Barcelona,14,172,18,46,0.391,6,23,0.261,12,23,0.522,0.457,9,10,0.9,5,11,16,24,5,0,13,7,51
Andre Hutson,Lottomatica Roma,16,450,76,156,0.487,0,0,,76,156,0.487,0.487,58,71,0.817,31,60,91,7,12,6,17,46,210
Andrea Crosariol,Air Avellino,10,121,11,23,0.478,0,0,,11,23,0.478,0.478,9,19,0.474,9,15,24,1,5,4,8,29,31
Andreas Kanonidis,Panionios On Telecoms,2,4,0,2,0,0,1,0,0,1,0,0,0,0,,1,0,1,0,0,0,0,0,0
Andrey Vorontsevich,CSKA Moscow,6,17,3,6,0.5,1,1,1,2,5,0.4,0.583,0,0,,0,4,4,0,0,0,3,2,7
Angelo Gigli,Lottomatica Roma,13,257,21,43,0.488,3,11,0.273,18,32,0.563,0.523,11,20,0.55,29,32,61,7,12,9,18,41,56
Ansu Sesay,Alba Berlin,16,402,48,120,0.4,16,51,0.314,32,69,0.464,0.467,23,28,0.821,16,55,71,21,13,11,25,44,135
Antoine Diot,Le Mans Sarthe Basket,10,217,9,33,0.273,4,13,0.308,5,20,0.25,0.333,13,16,0.813,4,14,18,23,6,0,13,26,35
Antoine Gomis,Le Mans Sarthe Basket,3,5,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,0,0,0,1,0
Antonio Porta,Air Avellino,9,127,6,20,0.3,2,10,0.2,4,10,0.4,0.35,11,14,0.786,1,6,7,9,5,0,9,19,25
