Player,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Aaron Cel,Le Mans Sarthe Basket,2,3,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,1,0
Aaron Miles,Elan Bearnais Pau-Orthez,20,618,77,171,0.45,19,41,0.463,58,130,0.446,0.506,30,45,0.667,13,59,72,74,29,3,42,46,203
Abdul Mills,KK Union Olimpija,2,11,0,2,0,0,0,,0,2,0,0,0,0,,0,1,1,2,2,0,1,4,0
Adam Wojcik,Prokom Trefl Sopot,18,275,45,109,0.413,6,21,0.286,39,88,0.443,0.44,24,37,0.649,20,28,48,15,10,8,24,31,120
Alain Digbeu,Climamio Fortitudo Bologna,5,95,6,25,0.24,4,19,0.211,2,6,0.333,0.32,10,12,0.833,3,12,15,5,10,3,6,9,26
Alain Koffi,Le Mans Sarthe Basket,10,168,18,50,0.36,0,1,0,18,49,0.367,0.36,9,16,0.563,13,14,27,7,6,8,13,18,45
Albert Moncasi,Winterthur FC Barcelona,1,2,0,1,0,0,0,,0,1,0,0,2,2,1,0,0,0,0,0,0,0,1,2
Aleksander Nadjfeji,RheinEnergie Koln,10,218,36,69,0.522,1,9,0.111,35,60,0.583,0.529,16,29,0.552,11,14,25,28,12,1,20,25,89
Alessandro Cittadini,Eldo Napoli,14,279,29,45,0.644,1,2,0.5,28,43,0.651,0.656,18,28,0.643,26,40,66,6,15,4,20,50,77
Alessandro Tonolli,Lottomatica Roma,19,344,16,46,0.348,5,22,0.227,11,24,0.458,0.402,12,14,0.857,22,29,51,18,33,11,15,78,49
Alex Acker,Olympiacos,22,717,111,241,0.461,14,44,0.318,97,197,0.492,0.49,79,91,0.868,31,92,123,53,39,9,65,58,315
Alex Righetti,Lottomatica Roma,20,378,54,122,0.443,30,77,0.39,24,45,0.533,0.566,39,44,0.886,13,30,43,3,17,0,12,51,177
Alex Scales,Aris TT Bank,19,543,100,232,0.431,42,117,0.359,58,115,0.504,0.522,45,69,0.652,10,54,64,25,32,2,37,41,287
Alexey Savrasenko,CSKA Moscow,25,498,77,120,0.642,0,0,,77,120,0.642,0.642,22,46,0.478,36,64,100,12,12,14,28,60,176
Alexey Shved,CSKA Moscow,1,2,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
Alexis Ajinca,Elan Bearnais Pau-Orthez,2,9,0,4,0,0,4,0,0,0,,0,0,0,,1,2,3,0,0,0,2,3,0
Alfonso Sanchez,Unicaja Malaga,9,63,2,15,0.133,1,9,0.111,1,6,0.167,0.167,3,6,0.5,1,1,2,2,2,0,4,13,8
Alvin Jones,RheinEnergie Koln,4,44,7,10,0.7,0,0,,7,10,0.7,0.7,6,12,0.5,3,14,17,2,1,2,12,9,20
Anatoly Kashirov,CSKA Moscow,3,8,1,3,0.333,0,0,,1,3,0.333,0.333,0,6,0,1,0,1,1,0,1,0,1,2
Andrei Ivanov,Dynamo Moscow,4,32,1,9,0.111,0,4,0,1,5,0.2,0.111,4,4,1,0,3,3,1,0,0,3,4,6
Andrei Trushkin,Dynamo Moscow,9,102,10,20,0.5,0,0,,10,20,0.5,0.5,16,24,0.667,6,13,19,1,3,1,8,23,36
Andrew Betts,DKV Joventut,13,252,30,51,0.588,0,0,,30,51,0.588,0.588,13,24,0.542,15,24,39,5,5,10,17,36,73
Andrew Sullivan,DKV Joventut,17,260,29,64,0.453,4,15,0.267,25,49,0.51,0.484,11,21,0.524,7,21,28,5,10,5,13,22,73
Andrew Wisniewski,Cibona Zagreb,7,199,31,49,0.633,9,18,0.5,22,31,0.71,0.724,12,17,0.706,3,9,12,12,16,0,12,18,83
Andrey Vorontsevich,CSKA Moscow,6,18,1,4,0.25,0,2,0,1,2,0.5,0.25,1,1,1,1,1,2,0,0,0,2,5,3
Andrija Zizic,Olympiacos,22,548,100,175,0.571,1,4,0.25,99,171,0.579,0.574,67,84,0.798,42,73,115,22,12,5,44,76,268
Angelo Gigli,Benetton Treviso,20,364,53,110,0.482,12,35,0.343,41,75,0.547,0.536,23,38,0.605,22,44,66,11,22,12,31,34,141
Ansu Sesay,Eldo Napoli,12,368,40,113,0.354,21,52,0.404,19,61,0.311,0.447,19,28,0.679,19,39,58,9,13,11,18,43,120
Anton Ponkrashov,CSKA Moscow,22,277,26,59,0.441,7,21,0.333,19,38,0.5,0.5,18,26,0.692,9,21,30,28,13,0,22,29,77
