Player,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Aaron Jackson,CSKA Moscow,24,369,41,90,0.456,11,38,0.289,30,52,0.577,0.517,16,24,0.667,6,25,31,54,9,1,23,42,109
Adam Hanga,Laboral Kutxa Vitoria Gasteiz,27,784,76,168,0.452,17,61,0.279,59,107,0.551,0.503,53,75,0.707,27,112,139,45,38,33,31,60,222
Adam Hrycaniuk,Zielona Góra,10,145,15,39,0.385,0,0,,15,39,0.385,0.385,3,6,0.5,11,15,26,7,1,0,13,30,33
Ahmet Duverioglu,Anadolu Efes,10,41,9,14,0.643,0,0,,9,14,0.643,0.643,1,2,0.5,6,6,12,2,1,1,2,13,19
Alberto Corbacho,Laboral Kutxa Vitoria Gasteiz,21,223,26,65,0.4,17,54,0.315,9,11,0.818,0.531,2,2,1,6,17,23,8,3,1,7,20,71
Alberto Diaz,Unicaja Malaga,24,338,18,55,0.327,9,33,0.273,9,22,0.409,0.409,5,7,0.714,4,14,18,28,16,0,19,55,50
Aleksandar Vezenkov,FC Barcelona Lassa,22,195,21,46,0.457,12,27,0.444,9,19,0.474,0.587,5,5,1,6,20,26,7,4,0,6,19,59
Aleksej Nikolic,Brose Baskets Bamberg,12,61,4,11,0.364,3,8,0.375,1,3,0.333,0.5,2,2,1,0,2,2,4,1,0,2,10,13
Aleksey Zozulin,Lokomotiv Kuban,4,21,2,5,0.4,1,2,0.5,1,3,0.333,0.5,0,0,,1,1,2,0,1,0,5,6,5
Alessandro Gentile,EA7 Emporio Armani Milan,6,180,44,98,0.449,7,25,0.28,37,73,0.507,0.485,25,35,0.714,4,17,21,25,6,2,11,13,120
Alex Abrines,FC Barcelona Lassa,25,481,76,162,0.469,40,96,0.417,36,66,0.545,0.593,40,48,0.833,15,39,54,21,14,3,12,40,232
Alex Renfroe,FC Bayern Munich,10,270,37,74,0.5,11,25,0.44,26,49,0.531,0.574,16,20,0.8,9,33,42,42,6,2,37,25,101
Alex Tyus,Anadolu Efes,24,302,58,108,0.537,0,1,0,58,107,0.542,0.537,25,56,0.446,30,43,73,6,8,25,23,35,141
