Player,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Aaron Mitchell,CSKA Moscow,1,30,6,13,0.462,2,4,0.5,4,9,0.444,0.538,2,3,0.667,1,3,4,3,1,0,2,1,16
Adam Wojcik,Peristeri,14,410,87,162,0.537,14,40,0.35,73,122,0.598,0.58,69,87,0.793,15,31,46,19,17,10,28,39,257
Ademola Okulaja,FC Barcelona,20,546,100,191,0.524,17,49,0.347,83,142,0.585,0.568,47,83,0.566,48,77,125,29,32,9,30,47,264
Agi Ibeja,Peristeri,1,12,3,5,0.6,0,0,,3,5,0.6,0.6,0,2,0,0,1,1,0,0,0,0,3,6
Agron Xiarchos,Peristeri,7,59,5,11,0.455,0,0,,5,11,0.455,0.455,1,6,0.167,7,8,15,0,3,1,8,21,11
Alain Digbeu,FC Barcelona,19,388,51,101,0.505,18,46,0.391,33,55,0.6,0.594,32,41,0.78,12,38,50,25,20,7,26,44,152
Alan Tomidy,Benetton Treviso,7,54,12,15,0.8,1,1,1,11,14,0.786,0.833,1,2,0.5,3,4,7,1,1,1,3,6,26
Alberto Angulo,Real Madrid,18,328,53,96,0.552,8,20,0.4,45,76,0.592,0.594,23,27,0.852,7,27,34,19,17,0,36,27,137
Alberto Herreros,Real Madrid,17,439,64,136,0.471,36,83,0.434,28,53,0.528,0.603,50,56,0.893,11,33,44,21,23,2,25,27,214
Aleh Kojenets,Slask Wroclaw,4,64,6,15,0.4,0,0,,6,15,0.4,0.4,0,0,,2,11,13,1,0,0,5,10,12
Aleksandar Capin,KK Krka,12,112,10,20,0.5,1,9,0.111,9,11,0.818,0.525,2,4,0.5,3,3,6,9,3,0,7,16,23
Aleksandar Gajic,Partizan,3,13,2,2,1,0,0,,2,2,1,1,3,4,0.75,0,1,1,0,1,0,2,2,7
Aleksandar Glintic,Partizan,11,102,10,26,0.385,4,9,0.444,6,17,0.353,0.462,0,2,0,4,11,15,2,4,2,10,19,24
Aleksandar Okunskyy,KK Buducnost,5,99,13,25,0.52,0,0,,13,25,0.52,0.52,7,8,0.875,2,12,14,2,6,5,10,15,33
Aleksandar Smiljanic,KK Buducnost,10,185,26,60,0.433,7,30,0.233,19,30,0.633,0.492,24,27,0.889,3,7,10,13,13,0,17,29,83
Aleksander Djordjevic,Real Madrid,17,408,78,145,0.538,32,75,0.427,46,70,0.657,0.648,61,68,0.897,5,22,27,44,11,0,37,37,249
Aleksander Milosserdov,Slask Wroclaw,3,65,9,19,0.474,4,10,0.4,5,9,0.556,0.579,0,0,,0,6,6,6,4,0,6,7,22
Alessandro Abbio,Kinder Bologna,17,394,43,94,0.457,19,48,0.396,24,46,0.522,0.559,34,47,0.723,8,21,29,11,18,3,25,44,139
Alessandro Frosini,Kinder Bologna,21,424,54,96,0.563,0,0,,54,96,0.563,0.563,17,23,0.739,36,59,95,4,15,12,22,36,125
Alex Radojevic,KK Union Olimpija,7,71,9,15,0.6,0,0,,9,15,0.6,0.6,5,7,0.714,7,12,19,4,3,6,4,8,23
Alexander Kuehl,Peristeri,8,86,6,15,0.4,0,0,,6,15,0.4,0.4,6,10,0.6,5,7,12,1,1,1,12,10,18
Alexander Lokhmanchuk,Opel Skyliners,13,289,42,117,0.359,14,56,0.25,28,61,0.459,0.419,31,46,0.674,28,36,64,6,23,8,21,57,118
Alexander Miloserdov,Skipper Fortitudo Bologna,5,43,2,14,0.143,1,9,0.111,1,5,0.2,0.179,2,2,1,1,0,1,1,1,0,3,9,7
Alexandr Bashminov,Ural Great Perm,14,176,29,63,0.46,2,6,0.333,27,57,0.474,0.476,15,22,0.682,17,23,40,3,5,11,11,33,75
Alexandre Petrenko,CSKA Moscow,20,368,68,128,0.531,17,40,0.425,51,88,0.58,0.598,26,43,0.605,25,46,71,16,20,1,17,56,179
Alexei Savkov,CSKA Moscow,2,12,1,2,0.5,0,0,,1,2,0.5,0.5,1,2,0.5,0,0,0,0,0,0,0,1,3
Alexey Pegushin,Ural Great Perm,11,121,16,35,0.457,9,22,0.409,7,13,0.538,0.586,3,6,0.5,2,5,7,11,1,1,5,23,44
Alexey Savrasenko,Olympiacos,20,424,45,82,0.549,0,0,,45,82,0.549,0.549,25,61,0.41,51,74,125,10,10,22,29,61,115
Alexis Papadatos,Peristeri,11,162,24,38,0.632,12,20,0.6,12,18,0.667,0.789,3,4,0.75,6,14,20,12,7,0,14,26,63
Alfonso Alzamora,FC Barcelona,11,113,11,30,0.367,0,0,,11,30,0.367,0.367,11,18,0.611,8,12,20,1,3,0,7,16,33
Ali Traore,Adecco ASVEL Villeurbanne,1,1,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,0,0,0,0,0
Allen Griffin,KK Union Olimpija,2,14,0,2,0,0,0,,0,2,0,0,1,2,0.5,0,0,0,0,1,0,0,1,1
Alper Yilmaz,Efes Pilsen,16,174,13,30,0.433,8,21,0.381,5,9,0.556,0.567,1,2,0.5,7,16,23,9,10,1,4,25,35
Alphonso Ford,Olympiacos,20,706,174,347,0.501,40,91,0.44,134,256,0.523,0.559,107,135,0.793,27,68,95,64,24,11,68,61,495
Amara Sy,Adecco ASVEL Villeurbanne,13,207,22,53,0.415,1,7,0.143,21,46,0.457,0.425,7,13,0.538,12,16,28,8,7,8,12,28,52
Anderson Varejao,FC Barcelona,9,122,16,30,0.533,1,1,1,15,29,0.517,0.55,9,15,0.6,17,19,36,2,10,4,11,27,42
Andrea Meneghin,Skipper Fortitudo Bologna,19,523,65,160,0.406,32,90,0.356,33,70,0.471,0.506,37,47,0.787,7,33,40,48,34,3,34,74,199
Andrea Pecile,Scavolini Pesaro,14,230,20,67,0.299,7,33,0.212,13,34,0.382,0.351,38,58,0.655,10,12,22,15,11,0,22,33,85
Andrei Fetisov,Slask Wroclaw,8,217,29,67,0.433,15,34,0.441,14,33,0.424,0.545,26,31,0.839,8,36,44,14,11,15,16,28,99
Andrei Fetisov,CSKA Moscow,2,15,1,4,0.25,0,1,0,1,3,0.333,0.25,0,0,,1,0,1,1,1,1,1,3,2
Andres Nocioni,TAU Ceramica,20,410,65,128,0.508,16,38,0.421,49,90,0.544,0.57,35,45,0.778,14,62,76,17,26,12,47,48,181
Andrew Betts,AEK Athens,19,490,57,119,0.479,0,0,,57,119,0.479,0.479,73,104,0.702,46,74,120,11,4,9,47,63,187
Andrey Sheyko,Ural Great Perm,7,67,3,9,0.333,0,2,0,3,7,0.429,0.333,1,3,0.333,5,3,8,5,2,1,11,9,7
Andrius Giedraitis,BC Oostende,14,384,56,107,0.523,18,34,0.529,38,73,0.521,0.607,61,69,0.884,12,37,49,23,16,3,18,36,191
Andrius Jurkunas,BC Zalgiris,5,109,12,18,0.667,8,14,0.571,4,4,1,0.889,1,4,0.25,3,6,9,4,2,3,11,19,33
Andrzej Adamek,Slask Wroclaw,7,81,2,15,0.133,1,10,0.1,1,5,0.2,0.167,0,2,0,0,3,3,8,7,0,6,9,5
Anthony Bowie,Ural Great Perm,17,466,47,114,0.412,17,48,0.354,30,66,0.455,0.487,31,43,0.721,12,40,52,46,13,2,35,40,142
Anthony Goldwire,Skipper Fortitudo Bologna,11,257,28,74,0.378,9,31,0.29,19,43,0.442,0.439,11,20,0.55,7,12,19,16,14,0,17,31,76
Anthony Parker,Maccabi Tel Aviv,20,692,120,238,0.504,20,59,0.339,100,179,0.559,0.546,69,95,0.726,20,84,104,33,31,6,35,52,329
Antoine Rigaudeau,Kinder Bologna,21,561,61,133,0.459,20,56,0.357,41,77,0.532,0.534,34,38,0.895,5,40,45,30,26,3,30,60,176
Antonio Granger,Kinder Bologna,2,26,4,6,0.667,2,4,0.5,2,2,1,0.833,0,2,0,2,1,3,0,0,0,1,0,10
Antwain Smith,KK Krka,1,4,0,0,,0,0,,0,0,,,0,2,0,0,0,0,0,0,0,0,1,0
Arda Vekiloglu,Efes Pilsen,16,186,19,63,0.302,4,22,0.182,15,41,0.366,0.333,13,20,0.65,13,18,31,2,8,2,4,24,55
Arijan Komazec,AEK Athens,8,172,28,52,0.538,7,18,0.389,21,34,0.618,0.606,13,14,0.929,6,11,17,7,5,0,10,27,76
Arriel McDonald,Maccabi Tel Aviv,20,636,88,196,0.449,20,73,0.274,68,123,0.553,0.5,67,82,0.817,9,39,48,76,36,2,26,57,263
Arsene Ade Mensah,Adecco ASVEL Villeurbanne,5,51,5,13,0.385,0,3,0,5,10,0.5,0.385,0,0,,3,1,4,11,4,0,6,9,10
Artur Drozdov,Elan Bearnais Pau-Orthez,6,54,8,14,0.571,2,6,0.333,6,8,0.75,0.643,4,8,0.5,2,6,8,4,0,0,5,3,22
Arturas Karnisovas,FC Barcelona,20,482,73,170,0.429,30,86,0.349,43,84,0.512,0.518,30,38,0.789,18,56,74,27,27,3,29,42,206
Arturas Masiulis,BC Zalgiris,9,84,7,19,0.368,0,0,,7,19,0.368,0.368,8,10,0.8,7,15,22,2,4,5,5,17,22
Asim Pars,Fenerbahçe,18,306,51,110,0.464,0,1,0,51,109,0.468,0.464,34,57,0.596,27,25,52,17,10,5,28,54,136
Balsa Radunovic,KK Buducnost,11,153,15,40,0.375,3,15,0.2,12,25,0.48,0.413,9,12,0.75,6,17,23,12,9,2,12,28,42
Barisa Krasic,Cibona Zagreb,5,86,10,26,0.385,4,13,0.308,6,13,0.462,0.462,18,19,0.947,2,8,10,2,2,4,2,23,42
Bennett Davison,KK Krka,14,364,64,134,0.478,2,6,0.333,62,128,0.484,0.485,25,43,0.581,33,52,85,12,13,9,32,54,155
Beno Udrih,KK Union Olimpija,19,519,75,157,0.478,19,56,0.339,56,101,0.554,0.538,36,47,0.766,13,34,47,50,34,2,38,47,205
Berni Rodriguez,Unicaja Malaga,14,319,33,82,0.402,12,40,0.3,21,42,0.5,0.476,21,30,0.7,6,19,25,31,12,0,20,31,99
Blagota Sekulic,KK Buducnost,10,129,20,30,0.667,1,5,0.2,19,25,0.76,0.683,8,12,0.667,13,11,24,0,6,1,6,11,49
Bob Menama,BC Oostende,7,53,1,3,0.333,0,1,0,1,2,0.5,0.333,2,2,1,2,11,13,0,0,0,3,13,4
Bojan Bakic,KK Buducnost,8,94,5,17,0.294,2,6,0.333,3,11,0.273,0.353,12,13,0.923,4,4,8,3,2,0,5,16,24
Boris Diaw,Elan Bearnais Pau-Orthez,14,305,38,75,0.507,6,16,0.375,32,59,0.542,0.547,11,21,0.524,11,29,40,24,5,5,11,32,93
Boris Dzidic,Cibona Zagreb,8,91,6,27,0.222,4,20,0.2,2,7,0.286,0.296,7,10,0.7,2,15,17,3,2,1,3,15,23
Boris Gnjidic,KK Krka,14,398,57,113,0.504,24,51,0.471,33,62,0.532,0.611,24,29,0.828,28,28,56,13,14,4,24,55,162
Bostjan Nachbar,Benetton Treviso,21,533,94,198,0.475,23,69,0.333,71,129,0.55,0.533,49,63,0.778,15,63,78,30,21,4,34,64,260
Bradley Traina,Scavolini Pesaro,19,367,44,112,0.393,21,57,0.368,23,55,0.418,0.487,6,11,0.545,13,29,42,10,14,1,29,43,115
Branimir Longin,Cibona Zagreb,10,126,13,34,0.382,6,18,0.333,7,16,0.438,0.471,5,13,0.385,7,13,20,5,3,0,4,21,37
Brett Eppehimer,London Towers,12,391,53,159,0.333,24,82,0.293,29,77,0.377,0.409,41,49,0.837,5,14,19,18,12,0,42,21,171
Bud Eley,Fenerbahçe,13,250,46,85,0.541,0,0,,46,85,0.541,0.541,32,51,0.627,41,45,86,3,14,8,29,45,124
Byron Dinkins,Peristeri,14,412,69,141,0.489,20,58,0.345,49,83,0.59,0.56,24,32,0.75,5,27,32,38,15,0,37,34,182
Calvin Bowman,Cibona Zagreb,14,328,49,103,0.476,0,2,0,49,101,0.485,0.476,24,46,0.522,22,41,63,6,4,12,22,40,122
Carlo Ferri,Kinder Bologna,3,4,0,2,0,0,0,,0,2,0,0,0,0,,0,1,1,0,0,0,0,0,0
Carlos Arroyo,TAU Ceramica,3,45,11,20,0.55,1,5,0.2,10,15,0.667,0.575,6,6,1,1,2,3,7,1,0,3,5,29
Carlos Cabezas,Unicaja Malaga,14,267,27,68,0.397,9,26,0.346,18,42,0.429,0.463,21,29,0.724,4,16,20,19,14,2,13,30,84
Chad Austin,Opel Skyliners,14,498,77,219,0.352,22,75,0.293,55,144,0.382,0.402,37,44,0.841,19,39,58,20,16,0,36,37,213
Charles Byrd,TAU Ceramica,2,20,5,7,0.714,2,2,1,3,5,0.6,0.857,0,0,,0,0,0,0,1,0,1,3,12
Charlie Bell,Benetton Treviso,3,75,12,31,0.387,5,15,0.333,7,16,0.438,0.468,6,7,0.857,3,6,9,3,1,1,6,8,35
Chris Carr,AEK Athens,9,158,25,69,0.362,11,27,0.407,14,42,0.333,0.442,7,11,0.636,5,9,14,16,6,0,16,24,68
Chris Corchiani,TAU Ceramica,17,325,27,65,0.415,12,38,0.316,15,27,0.556,0.508,40,50,0.8,8,16,24,36,22,0,22,40,106
Christophe Beghin,BC Oostende,14,398,56,124,0.452,0,3,0,56,121,0.463,0.452,32,49,0.653,34,42,76,7,13,8,23,45,144
Christos Harissis,TAU Ceramica,1,10,2,5,0.4,0,2,0,2,3,0.667,0.4,2,2,1,0,0,0,0,1,0,1,2,6
Christos Tapoutos,AEK Athens,7,62,9,13,0.692,1,4,0.25,8,9,0.889,0.731,3,5,0.6,3,8,11,0,1,0,3,5,22
Chuck Kornegay,Unicaja Malaga,14,272,35,58,0.603,0,1,0,35,57,0.614,0.603,16,25,0.64,26,42,68,8,6,14,22,33,86
Claudio Pilutti,Skipper Fortitudo Bologna,13,207,24,42,0.571,16,24,0.667,8,18,0.444,0.762,3,7,0.429,5,16,21,11,5,1,8,29,67
Corey Albano,Panathinaikos,15,231,37,65,0.569,4,9,0.444,33,56,0.589,0.6,20,27,0.741,13,26,39,8,9,0,18,42,98
Cristian Akrivos,Kinder Bologna,1,2,2,4,0.5,1,2,0.5,1,2,0.5,0.625,0,0,,0,0,0,0,0,0,0,1,5
Curtis McCants,CSKA Moscow,19,540,96,194,0.495,21,54,0.389,75,140,0.536,0.549,50,62,0.806,4,25,29,65,17,1,41,42,263
Dainius Adomaitis,Slask Wroclaw,14,426,48,95,0.505,19,40,0.475,29,55,0.527,0.605,36,52,0.692,13,45,58,20,5,3,26,49,151
Dainius Salenga,BC Zalgiris,14,426,56,125,0.448,18,52,0.346,38,73,0.521,0.52,34,42,0.81,17,20,37,27,20,6,27,23,164
Damir Mulaomerovic,Panathinaikos,15,443,66,144,0.458,23,53,0.434,43,91,0.473,0.538,47,63,0.746,5,24,29,38,21,0,41,51,202
Danya Abrams,Unicaja Malaga,10,241,35,87,0.402,3,18,0.167,32,69,0.464,0.42,38,58,0.655,13,43,56,13,8,7,27,40,111
Darko Krunic,Cibona Zagreb,4,49,9,18,0.5,6,9,0.667,3,9,0.333,0.667,4,4,1,5,2,7,5,2,0,1,9,28
Darren Engellant,Spirou Charleroi,10,137,8,15,0.533,0,0,,8,15,0.533,0.533,0,2,0,12,29,41,4,5,4,12,18,16
Darren Phillip,Unicaja Malaga,14,231,33,61,0.541,0,1,0,33,60,0.55,0.541,20,27,0.741,27,27,54,5,9,0,13,32,86
Darryl Middleton,Panathinaikos,22,466,74,110,0.673,0,1,0,74,109,0.679,0.673,59,90,0.656,30,40,70,13,11,4,36,74,207
David Andersen,Kinder Bologna,22,473,72,149,0.483,0,0,,72,149,0.483,0.483,47,70,0.671,29,66,95,9,19,4,26,51,191
David Brkic,Kinder Bologna,10,66,7,14,0.5,3,6,0.5,4,8,0.5,0.607,5,6,0.833,5,7,12,1,0,2,3,8,22
David Desy,Spirou Charleroi,10,203,22,46,0.478,5,22,0.227,17,24,0.708,0.533,7,9,0.778,1,11,12,12,3,0,14,23,56
David Frigout,Adecco ASVEL Villeurbanne,13,283,47,80,0.588,0,2,0,47,78,0.603,0.588,14,23,0.609,19,31,50,7,9,10,15,41,108
Davide Bonora,Kinder Bologna,8,81,4,13,0.308,0,5,0,4,8,0.5,0.308,1,2,0.5,1,4,5,3,2,0,1,10,9
Davor Kus,Cibona Zagreb,10,193,17,43,0.395,6,24,0.25,11,19,0.579,0.465,9,14,0.643,4,5,9,24,8,0,8,18,49
Davor Marcelic,Skipper Fortitudo Bologna,9,248,34,68,0.5,18,44,0.409,16,24,0.667,0.632,7,12,0.583,19,27,46,9,6,0,8,21,93
Davor Marcelic,KK Zadar,11,430,70,171,0.409,26,86,0.302,44,85,0.518,0.485,32,41,0.78,12,23,35,20,25,0,24,21,198
Davor Pejcinovic,KK Buducnost,6,74,8,14,0.571,0,0,,8,14,0.571,0.571,6,13,0.462,6,9,15,2,0,5,3,18,22
Davor Tomic,London Towers,8,48,1,12,0.083,0,2,0,1,10,0.1,0.083,4,7,0.571,7,5,12,2,3,0,6,1,6
Dejan Bodiroga,Panathinaikos,22,711,148,251,0.59,16,41,0.39,132,210,0.629,0.622,129,162,0.796,20,94,114,42,21,1,42,63,441
Dejan Koturovic,Alba Berlin,8,217,36,77,0.468,0,0,,36,77,0.468,0.468,31,45,0.689,15,42,57,6,5,9,25,28,103
Dejan Milojevic,KK Buducnost,8,187,30,55,0.545,7,17,0.412,23,38,0.605,0.609,9,24,0.375,26,25,51,3,13,2,15,28,76
Dejan Radonjic,KK Buducnost,12,190,26,57,0.456,18,44,0.409,8,13,0.615,0.614,9,14,0.643,2,7,9,17,5,1,8,28,79
Dejan Tomasevic,TAU Ceramica,20,568,104,164,0.634,0,0,,104,164,0.634,0.634,72,113,0.637,59,93,152,41,17,10,36,54,280
Demarco Johnson,Scavolini Pesaro,6,165,36,68,0.529,1,2,0.5,35,66,0.53,0.537,19,28,0.679,10,28,38,4,10,0,18,22,92
Denapoka Guedegbe,Adecco ASVEL Villeurbanne,1,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,1,1,0
Denis Marconato,Benetton Treviso,20,388,53,87,0.609,3,5,0.6,50,82,0.61,0.626,30,43,0.698,36,77,113,11,17,14,21,61,139
Derrick Lewis,Elan Bearnais Pau-Orthez,12,156,14,40,0.35,4,15,0.267,10,25,0.4,0.4,8,11,0.727,5,20,25,8,11,4,5,28,40
Derrick Phelps,Alba Berlin,13,423,61,143,0.427,16,47,0.34,45,96,0.469,0.483,47,56,0.839,9,48,57,53,29,2,39,35,185
Derrick Sharp,Maccabi Tel Aviv,20,408,47,106,0.443,21,55,0.382,26,51,0.51,0.542,20,21,0.952,7,15,22,14,18,0,15,58,135
Didier Gadou,Elan Bearnais Pau-Orthez,12,126,7,17,0.412,4,11,0.364,3,6,0.5,0.529,7,7,1,3,12,15,13,5,1,11,23,25
Dimitrios Papanikolaou,Olympiacos,18,221,27,60,0.45,3,17,0.176,24,43,0.558,0.475,26,34,0.765,10,27,37,14,4,2,9,30,83
Dimos Dikoudis,AEK Athens,19,568,113,195,0.579,11,28,0.393,102,167,0.611,0.608,73,114,0.64,51,83,134,13,15,9,38,71,310
Dino Radja,Cibona Zagreb,3,82,16,39,0.41,0,0,,16,39,0.41,0.41,9,10,0.9,4,24,28,5,2,0,1,7,41
