Player,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Acha Njei,EWE Oldenburg,3,9,2,2,1,1,1,1,1,1,1,1.25,0,0,,0,0,0,0,0,0,2,1,5
Adam Hrycaniuk,Asseco Prokom,20,272,30,52,0.577,0,1,0,30,51,0.588,0.577,11,12,0.917,25,41,66,3,11,7,19,50,71
Adam Lapeta,Asseco Prokom,10,77,7,13,0.538,0,0,,7,13,0.538,0.538,5,6,0.833,9,8,17,0,5,9,8,20,19
Adas Juskevicius,BC Zalgiris,9,80,7,17,0.412,1,6,0.167,6,11,0.545,0.441,3,4,0.75,3,5,8,2,2,0,7,6,18
Adrien Moerman,Orleans Loiret Basket,10,199,19,58,0.328,9,31,0.29,10,27,0.37,0.405,15,18,0.833,6,23,29,5,7,7,10,18,62
Alan Anderson,Maccabi Tel Aviv,20,568,86,198,0.434,21,62,0.339,65,136,0.478,0.487,80,100,0.8,14,58,72,45,32,4,64,63,273
Aldo Curti,Orleans Loiret Basket,10,223,20,46,0.435,7,19,0.368,13,27,0.481,0.511,16,21,0.762,1,7,8,36,13,0,23,33,63
Aleks Maric,Partizan,18,459,85,140,0.607,0,2,0,85,138,0.616,0.607,92,142,0.648,61,90,151,22,22,11,46,55,262
Aleksandar Capin,BC Zalgiris,7,132,15,53,0.283,6,25,0.24,9,28,0.321,0.34,9,13,0.692,9,14,23,17,4,0,16,12,45
Aleksandar Mitrovic,Partizan,19,51,3,5,0.6,2,2,1,1,3,0.333,0.8,6,10,0.6,1,2,3,4,0,0,5,12,14
Aleksandar Rasic,Partizan,22,389,45,143,0.315,29,97,0.299,16,46,0.348,0.416,41,46,0.891,7,23,30,50,11,0,34,19,160
Alessandro Tonolli,Lottomatica Roma,4,45,2,4,0.5,1,2,0.5,1,2,0.5,0.625,4,4,1,1,5,6,1,0,0,2,6,9
