Player,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Aaron Cel,Zielona Góra,8,166,23,48,0.479,6,18,0.333,17,30,0.567,0.542,0,0,,11,24,35,7,4,2,6,17,52
Aaron Jackson,CSKA Moscow,30,519,52,107,0.486,13,43,0.302,39,64,0.609,0.547,28,34,0.824,11,36,47,60,20,1,22,40,145
Acie Law,Olympiacos,9,159,9,27,0.333,1,8,0.125,8,19,0.421,0.352,12,20,0.6,2,8,10,21,8,0,17,13,31
Adam Hanga,Laboral Kutxa,15,257,31,69,0.449,8,28,0.286,23,41,0.561,0.507,14,25,0.56,9,22,31,17,11,7,18,30,84
Adam Hrycaniuk,Zielona Góra,10,132,15,36,0.417,0,0,,15,36,0.417,0.417,4,11,0.364,14,21,35,6,0,1,5,16,34
Alberto Martin,Real Madrid,2,5,0,0,,0,0,,0,0,,,0,0,,0,0,0,1,1,0,0,1,0
Aleks Maric,Lokomotiv Kuban,23,391,50,83,0.602,0,0,,50,83,0.602,0.602,40,68,0.588,27,57,84,24,20,13,38,71,140
Aleksandar Cvetkovic,Crvena zvezda / Red Star,3,12,0,0,,0,0,,0,0,,,4,4,1,0,1,1,2,1,0,2,3,4
Aleksey Zozulin,CSKA Moscow,4,10,1,2,0.5,1,1,1,0,1,0,0.75,0,0,,0,0,0,0,1,0,2,1,3
Alessandro Gentile,EA7-Emporio Armani Milano,21,525,89,201,0.443,21,63,0.333,68,138,0.493,0.495,41,64,0.641,12,39,51,49,17,2,42,51,240
Alex Abrines,FC Barcelona Regal,28,465,68,149,0.456,31,84,0.369,37,65,0.569,0.56,20,26,0.769,13,24,37,19,11,4,23,52,187
Alex Tyus,Maccabi Tel Aviv,27,489,94,131,0.718,0,1,0,94,130,0.723,0.718,20,38,0.526,54,82,136,7,8,29,17,50,208
Alexey Zhukanenko,Lokomotiv Kuban,14,62,5,13,0.385,1,3,0.333,4,10,0.4,0.423,5,10,0.5,4,11,15,2,0,6,7,10,16
Alexis Ajinca,Strasbourg IG,9,228,63,114,0.553,0,1,0,63,113,0.558,0.553,28,37,0.757,15,34,49,17,7,8,20,32,154
Ali Traore,JSF Nanterre,9,132,35,56,0.625,0,0,,35,56,0.625,0.625,8,13,0.615,7,20,27,4,3,3,13,13,78
Andreas Glyniadakis,Lietuvos rytas,9,91,7,17,0.412,0,0,,7,17,0.412,0.412,7,10,0.7,4,11,15,1,2,5,6,25,21
Andres Nocioni,Laboral Kutxa,21,552,98,215,0.456,29,83,0.349,69,132,0.523,0.523,60,76,0.789,18,120,138,35,18,27,45,57,285
Andrey Vorontsevich,CSKA Moscow,25,393,41,80,0.513,14,35,0.4,27,45,0.6,0.6,18,22,0.818,26,52,78,24,11,4,10,36,114
Andrey Zubkov,Lokomotiv Kuban,21,172,24,60,0.4,13,27,0.481,11,33,0.333,0.508,16,25,0.64,7,15,22,10,8,4,8,36,77
Andrija Zizic,Maccabi Tel Aviv,10,49,4,9,0.444,0,0,,4,9,0.444,0.444,0,0,,4,9,13,4,0,0,3,12,8
Andriy Lebedintsev,BC Budivelnyk,6,24,2,4,0.5,1,2,0.5,1,2,0.5,0.625,0,0,,0,1,1,1,1,0,3,0,5
Angelo Gigli,EA7-Emporio Armani Milano,2,25,2,3,0.667,0,0,,2,3,0.667,0.667,1,2,0.5,5,3,8,1,1,0,0,3,5
Ante Tomic,FC Barcelona Regal,29,647,141,225,0.627,0,1,0,141,224,0.629,0.627,58,87,0.667,69,117,186,62,14,17,45,80,340
Antoine Diot,Strasbourg IG,9,248,24,62,0.387,11,36,0.306,13,26,0.5,0.476,16,21,0.762,3,20,23,34,17,3,21,21,75
Anton Gavel,Brose Baskets,10,280,37,83,0.446,17,34,0.5,20,49,0.408,0.548,25,31,0.806,8,17,25,34,7,1,13,20,116
Anton Ponkrashov,Lokomotiv Kuban,7,111,12,34,0.353,2,9,0.222,10,25,0.4,0.382,5,8,0.625,3,8,11,6,2,0,7,7,31
Antonis Fotsis,Panathinaikos,29,679,57,138,0.413,38,106,0.358,19,32,0.594,0.551,23,29,0.793,31,94,125,19,9,7,9,52,175
Arad Harari,Maccabi Tel Aviv,1,2,0,0,,0,0,,0,0,,,0,0,,0,0,0,1,0,0,1,0,0
Arnaud Imhoff,Strasbourg IG,1,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,1,0,0
Artur Drozdov,BC Budivelnyk,4,121,7,20,0.35,3,11,0.273,4,9,0.444,0.425,0,2,0,3,13,16,6,9,2,10,4,17
Arturas Gudaitis,BC Zalgiris,7,72,12,20,0.6,0,4,0,12,16,0.75,0.6,7,11,0.636,4,14,18,4,3,5,2,7,31
Arturas Milaknis,BC Zalgiris,24,439,54,118,0.458,41,95,0.432,13,23,0.565,0.631,4,6,0.667,9,40,49,17,6,1,13,43,153
Axel Toupane,Strasbourg IG,10,150,11,30,0.367,1,8,0.125,10,22,0.455,0.383,2,4,0.5,8,17,25,9,3,1,5,18,25
Ayberk Olmaz,Fenerbahçe,1,2,0,1,0,0,0,,0,1,0,0,0,0,,0,1,1,0,0,0,0,0,0
Baris Ermis,Fenerbahçe,1,7,0,1,0,0,1,0,0,0,,0,0,0,,0,0,0,1,0,0,0,0,0
Ben Altit,Maccabi Tel Aviv,3,5,0,1,0,0,0,,0,1,0,0,0,0,,0,0,0,0,0,1,0,1,0
Benjamin Ortner,Montepaschi Siena,10,157,17,40,0.425,0,1,0,17,39,0.436,0.425,2,4,0.5,10,14,24,5,2,2,8,22,36
Berk Ugurlu,Fenerbahçe,1,30,6,8,0.75,0,1,0,6,7,0.857,0.75,0,0,,1,3,4,7,1,0,2,1,12
Birkan Batuk,Anadolu Efes,19,346,34,86,0.395,14,44,0.318,20,42,0.476,0.477,5,9,0.556,13,26,39,8,12,0,12,53,87
Blagota Sekulic,Fenerbahçe,4,47,3,8,0.375,0,0,,3,8,0.375,0.375,2,2,1,4,6,10,2,1,1,0,10,8
Blake Ahearn,BC Budivelnyk,9,202,27,72,0.375,13,36,0.361,14,36,0.389,0.465,19,21,0.905,2,13,15,14,0,1,15,23,86
Blake Schilb,Crvena zvezda / Red Star,10,286,46,93,0.495,11,29,0.379,35,64,0.547,0.554,17,22,0.773,7,25,32,35,8,2,34,18,120
Bo McCalebb,Fenerbahçe,24,648,106,178,0.596,14,39,0.359,92,139,0.662,0.635,60,81,0.741,22,55,77,61,34,3,35,53,286
Boban Marjanovic,Crvena zvezda / Red Star,10,199,45,72,0.625,0,0,,45,72,0.625,0.625,18,29,0.621,26,51,77,10,8,9,17,18,108
Bogdan Bogdanovic,Partizan,23,722,119,297,0.401,50,135,0.37,69,162,0.426,0.485,52,69,0.754,17,68,85,84,36,5,78,60,340
Bojan Bogdanovic,Fenerbahçe,24,734,130,278,0.468,28,94,0.298,102,184,0.554,0.518,67,82,0.817,11,46,57,45,13,10,45,43,355
Boris Dallo,Partizan,22,198,12,37,0.324,1,5,0.2,11,32,0.344,0.338,0,2,0,8,13,21,17,5,1,7,23,25
Boris Savovic,FC Bayern Munich,21,286,39,99,0.394,8,30,0.267,31,69,0.449,0.434,13,16,0.813,29,39,68,14,3,1,13,29,99
Bostjan Nachbar,FC Barcelona Regal,28,512,80,183,0.437,27,75,0.36,53,108,0.491,0.511,33,45,0.733,15,70,85,28,10,3,24,75,220
Brad Oleson,FC Barcelona Regal,20,420,62,132,0.47,30,66,0.455,32,66,0.485,0.583,24,32,0.75,6,28,34,30,9,8,9,23,178
Branko Lazic,Crvena zvezda / Red Star,10,143,9,19,0.474,3,7,0.429,6,12,0.5,0.553,5,6,0.833,4,9,13,7,1,0,5,26,26
Brent Petway,Olympiacos,25,478,58,112,0.518,28,64,0.438,30,48,0.625,0.643,14,21,0.667,30,58,88,22,10,25,18,80,158
Bruno Cerella,EA7-Emporio Armani Milano,21,204,16,33,0.485,8,16,0.5,8,17,0.471,0.606,3,5,0.6,8,17,25,16,9,1,8,26,43
Bryant Dunston,Olympiacos,29,716,120,179,0.67,0,2,0,120,177,0.678,0.67,60,106,0.566,73,82,155,28,31,38,21,88,300
Bryce Taylor,FC Bayern Munich,22,517,68,147,0.463,25,49,0.51,43,98,0.439,0.548,27,30,0.9,23,53,76,27,25,1,22,65,188
