Player,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Adam Hrycaniuk,Asseco Prokom,9,73,7,14,0.5,0,1,0,7,13,0.538,0.5,8,8,1,4,20,24,4,1,0,4,14,22
Adam Lapeta,Asseco Prokom,10,140,8,23,0.348,0,0,,8,23,0.348,0.348,7,17,0.412,14,23,37,1,1,10,7,20,23
Alan Anderson,Regal FC Barcelona,10,272,39,87,0.448,15,33,0.455,24,54,0.444,0.534,21,25,0.84,5,26,31,15,6,2,16,24,114
Aleks Maric,Panathinaikos,8,61,10,18,0.556,0,0,,10,18,0.556,0.556,8,12,0.667,14,14,28,0,5,3,5,10,28
Aleksandar Capin,BC Zalgiris,5,43,6,11,0.545,1,2,0.5,5,9,0.556,0.591,4,4,1,2,7,9,6,1,0,3,4,17
Alessandro Tonolli,Lottomatica Roma,4,9,1,3,0.333,0,1,0,1,2,0.5,0.333,0,0,,0,0,0,0,0,0,0,0,2
Alexey Savrasenko,BC Khimki,10,121,15,22,0.682,0,0,,15,22,0.682,0.682,3,11,0.273,18,19,37,2,3,4,7,24,33
Alexey Shved,CSKA Moscow,7,86,11,20,0.55,4,9,0.444,7,11,0.636,0.65,5,6,0.833,3,7,10,8,2,1,11,9,31
Ali Traore,Lottomatica Roma,15,288,56,100,0.56,0,1,0,56,99,0.566,0.56,30,41,0.732,20,37,57,5,8,9,21,31,142
Aloysius Anagonye,KK Union Olimpija,5,32,4,9,0.444,0,0,,4,9,0.444,0.444,4,7,0.571,6,5,11,2,2,0,3,6,12
Ander Garcia,Caja Laboral,1,3,0,1,0,0,0,,0,1,0,0,0,0,,0,0,0,0,0,0,1,0,0
Andre Riddick,Spirou Charleroi,10,167,21,35,0.6,0,0,,21,35,0.6,0.6,8,21,0.381,20,30,50,6,4,14,9,25,50
Andrea Crosariol,Lottomatica Roma,16,355,40,75,0.533,0,1,0,40,74,0.541,0.533,19,30,0.633,26,54,80,14,13,15,31,43,99
Andrea Iannilli,Lottomatica Roma,2,15,0,3,0,0,0,,0,3,0,0,1,2,0.5,1,4,5,0,0,0,4,4,1
Andrea Michelori,Montepaschi Siena,16,109,10,20,0.5,0,0,,10,20,0.5,0.5,13,20,0.65,14,10,24,1,2,0,8,21,33
Andreas Glyniadakis,Olympiacos,3,19,2,8,0.25,0,0,,2,8,0.25,0.25,4,6,0.667,1,1,2,0,0,0,1,3,8
Andrew Wisniewski,Efes Pilsen,15,326,25,59,0.424,8,24,0.333,17,35,0.486,0.492,10,12,0.833,4,14,18,29,8,1,14,45,68
Andrey Vorontsevich,CSKA Moscow,10,239,38,68,0.559,20,35,0.571,18,33,0.545,0.706,9,13,0.692,13,30,43,11,6,3,18,21,105
Angel Aparicio,Regal FC Barcelona,3,5,0,1,0,0,0,,0,1,0,0,0,0,,0,1,1,1,0,0,1,0,0
Angel Garcia,Unicaja Malaga,1,3,0,2,0,0,2,0,0,0,,0,0,0,,0,0,0,0,0,0,1,0,0
