Player,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Adam Wojcik,Prokom Trefl Sopot,14,333,55,119,0.462,8,32,0.25,47,87,0.54,0.496,38,53,0.717,24,31,55,13,10,10,24,38,156
Alejandro Montecchia,Armani Jeans Milano,4,60,1,9,0.111,0,7,0,1,2,0.5,0.111,3,4,0.75,0,4,4,7,3,0,3,10,5
Aleksandar Smiljanic,Partizan,4,69,5,10,0.5,0,4,0,5,6,0.833,0.5,0,0,,1,1,2,9,3,0,4,15,10
Aleksandar Ugrinoski,Cibona Zagreb,2,16,1,3,0.333,1,1,1,0,2,0,0.5,0,2,0,1,0,1,1,1,0,3,1,3
Alen Trepalovac,Cibona Zagreb,1,4,2,3,0.667,0,0,,2,3,0.667,0.667,1,2,0.5,2,0,2,0,0,0,0,0,5
Alessandro Piazza,Climamio Fortitudo Bologna,1,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,1,0,0,0,0,0
Alessandro Priuli,Armani Jeans Milano,1,2,0,1,0,0,0,,0,1,0,0,0,0,,0,1,1,0,0,0,0,1,0
Alex Scales,Real Madrid,8,176,23,58,0.397,13,35,0.371,10,23,0.435,0.509,5,8,0.625,5,10,15,9,6,1,9,17,64
Alexey Savrasenko,CSKA Moscow,24,432,55,98,0.561,0,0,,55,98,0.561,0.561,14,29,0.483,41,55,96,20,20,23,21,54,124
Alfonso Sanchez,Unicaja Malaga,4,10,1,3,0.333,0,1,0,1,2,0.5,0.333,0,0,,1,0,1,0,0,0,0,1,2
Ali Bouziane,Prokom Trefl Sopot,7,55,5,18,0.278,2,7,0.286,3,11,0.273,0.333,2,2,1,2,1,3,8,2,1,8,9,14
Alper Yilmaz,Efes Pilsen,8,48,1,6,0.167,1,4,0.25,0,2,0,0.25,0,0,,0,2,2,2,2,0,4,9,3
Alvin Sims,Elan Bearnais Pau-Orthez,3,36,2,10,0.2,1,4,0.25,1,6,0.167,0.25,4,5,0.8,1,2,3,0,3,0,5,7,9
Alvin Young,Strasbourg IG,8,204,40,83,0.482,9,19,0.474,31,64,0.484,0.536,19,25,0.76,7,20,27,11,9,0,16,16,108
Amit Tamir,AEK Athens,9,106,12,41,0.293,3,20,0.15,9,21,0.429,0.329,5,6,0.833,11,18,29,3,4,3,9,12,32
Anatoly Kashirov,CSKA Moscow,5,20,3,7,0.429,0,0,,3,7,0.429,0.429,1,1,1,5,1,6,0,0,0,4,2,7
