Player,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Adam Wojcik,Prokom Trefl Sopot,20,514,81,170,0.476,12,32,0.375,69,138,0.5,0.512,39,60,0.65,38,54,92,11,10,14,42,61,213
Agostino Li Vecchi,Benetton Treviso,1,10,1,1,1,1,1,1,0,0,,1.5,0,0,,0,1,1,0,0,0,1,3,3
Ainars Bagatskis,BC Zalgiris,17,219,28,66,0.424,23,54,0.426,5,12,0.417,0.598,15,17,0.882,4,11,15,7,6,0,8,26,94
Alberto Aspe,Real Madrid,1,8,2,4,0.5,1,3,0.333,1,1,1,0.625,0,0,,1,0,1,2,1,0,0,1,5
Alberto Herreros,Real Madrid,19,397,58,119,0.487,40,87,0.46,18,32,0.563,0.655,24,31,0.774,7,24,31,24,14,1,11,31,180
Aleksander Djordjevic,Scavolini Pesaro,2,22,3,6,0.5,2,5,0.4,1,1,1,0.667,0,0,,0,1,1,3,2,0,3,2,8
Alessandro Frosini,Scavolini Pesaro,20,370,30,80,0.375,0,0,,30,80,0.375,0.375,26,37,0.703,27,41,68,5,12,9,11,58,86
Alessandro Piazza,Climamio Fortitudo Bologna,2,4,1,2,0.5,0,1,0,1,1,1,0.5,1,1,1,0,1,1,1,0,0,1,0,3
Alex King,Opel Skyliners,9,167,14,30,0.467,1,4,0.25,13,26,0.5,0.483,1,6,0.167,7,3,10,11,4,2,12,17,30
Alex Radojevic,Prokom Trefl Sopot,9,125,19,36,0.528,0,0,,19,36,0.528,0.528,16,28,0.571,11,19,30,5,3,9,18,24,54
Alexey Savrasenko,CSKA Moscow,23,315,48,85,0.565,0,1,0,48,84,0.571,0.565,9,24,0.375,46,47,93,9,4,22,16,42,105
Ali Kavaklioglu,Opel Skyliners,3,8,1,3,0.333,0,0,,1,3,0.333,0.333,4,4,1,0,0,0,1,1,0,2,1,6
Alper Yilmaz,Efes Pilsen,17,292,11,34,0.324,6,27,0.222,5,7,0.714,0.412,3,4,0.75,6,22,28,19,15,1,7,36,31
Amal McCaskill,Climamio Fortitudo Bologna,1,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,1,0,1,1,0
