Player,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Vincenzo Esposito,Lottomatica Roma,1,26,5,10,0.5,2,4,0.5,3,6,0.5,0.6,2,2,1,0,2,2,0,1,0,5,4,14
Vladimir Boisa,KK Union Olimpija,19,530,61,149,0.409,22,63,0.349,39,86,0.453,0.483,33,53,0.623,21,36,57,18,12,5,25,77,177
Vladimir Petrovic,Alba Berlin,12,406,70,133,0.526,23,49,0.469,47,84,0.56,0.613,31,46,0.674,14,53,67,32,22,3,30,38,194
Vlado Ilievski,FC Barcelona,20,544,63,148,0.426,33,76,0.434,30,72,0.417,0.537,39,51,0.765,6,24,30,47,25,0,33,49,198
Vlado Scepanovic,Partizan,1,4,1,2,0.5,1,2,0.5,0,0,,0.75,1,2,0.5,0,1,1,0,1,0,0,1,4
Vrbica Stefanov,Montepaschi Siena,20,604,81,150,0.54,31,60,0.517,50,90,0.556,0.643,19,21,0.905,11,23,34,60,29,0,15,45,212
Vule Avdalovic,Partizan,14,323,28,73,0.384,15,39,0.385,13,34,0.382,0.486,34,42,0.81,4,15,19,23,13,2,23,53,105
Walter Herrmann,Unicaja Malaga,12,306,43,108,0.398,9,35,0.257,34,73,0.466,0.44,20,34,0.588,21,44,65,8,4,3,18,21,115
Ioannis Bourousis,AEK Athens,12,94,9,18,0.5,0,0,,9,18,0.5,0.5,3,7,0.429,9,17,26,3,4,4,2,23,21
Yoav Saffar,Maccabi Tel Aviv,3,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
Yotam Halperin,Maccabi Tel Aviv,17,109,10,25,0.4,3,11,0.273,7,14,0.5,0.46,12,14,0.857,2,16,18,13,8,0,3,15,35
