Player,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Aaron Jackson,Gescrap Bizkaia Bilbao Basket,20,506,71,151,0.47,15,44,0.341,56,107,0.523,0.52,24,30,0.8,12,44,56,77,19,0,36,46,181
Abdel Kader Sylla,SLUC Nancy,7,79,9,21,0.429,0,0,,9,21,0.429,0.429,5,5,1,4,12,16,2,4,4,4,12,23
Acie Law,Olympiacos,12,202,23,58,0.397,3,13,0.231,20,45,0.444,0.422,17,21,0.81,1,16,17,25,10,0,14,21,66
Acie Law,Partizan,9,318,42,101,0.416,6,21,0.286,36,80,0.45,0.446,24,32,0.75,0,19,19,31,11,1,26,18,114
Adam Hrycaniuk,Asseco Prokom,10,206,25,70,0.357,0,0,,25,70,0.357,0.357,10,20,0.5,17,30,47,6,3,1,13,23,60
Adam Lapeta,Asseco Prokom,10,204,18,33,0.545,0,1,0,18,32,0.563,0.545,11,15,0.733,21,22,43,3,4,2,11,27,47
Adrien Moerman,SLUC Nancy,10,294,47,109,0.431,12,32,0.375,35,77,0.455,0.486,13,19,0.684,11,45,56,8,14,5,12,34,119
Akin Akingbala,SLUC Nancy,8,237,41,72,0.569,0,1,0,41,71,0.577,0.569,14,32,0.438,22,33,55,4,10,8,15,15,96
Aleks Maric,Panathinaikos,22,156,33,49,0.673,0,0,,33,49,0.673,0.673,14,25,0.56,20,34,54,3,10,2,13,29,80
Aleksandar Capin,KK Union Olimpija,8,184,18,50,0.36,9,28,0.321,9,22,0.409,0.45,12,14,0.857,2,6,8,23,6,0,13,7,57
Alessandro Gentile,EA7-Emporio Armani Milano,7,122,12,42,0.286,4,15,0.267,8,27,0.296,0.333,4,4,1,2,11,13,8,1,2,12,23,32
Alex Abrines,Unicaja Malaga,6,70,5,23,0.217,2,15,0.133,3,8,0.375,0.261,3,4,0.75,3,4,7,3,2,2,4,6,15
Alex Mumbru,Gescrap Bizkaia Bilbao Basket,20,536,78,190,0.411,26,84,0.31,52,106,0.491,0.479,33,46,0.717,14,73,87,58,13,2,44,58,215
Alexey Savrasenko,UNICS,19,298,35,55,0.636,0,0,,35,55,0.636,0.636,5,15,0.333,15,40,55,12,7,11,15,44,75
Alexey Shved,CSKA Moscow,21,454,77,158,0.487,33,67,0.493,44,91,0.484,0.592,35,42,0.833,15,40,55,63,12,4,35,40,222
Alexis Kyritsis,Panathinaikos,6,25,4,6,0.667,2,2,1,2,4,0.5,0.833,0,0,,1,2,3,2,2,0,1,6,10
Alonzo Gee,Asseco Prokom,3,86,12,28,0.429,4,7,0.571,8,21,0.381,0.5,5,6,0.833,0,19,19,3,0,1,6,8,33
Amaury Jadin,Belgacom Spirou Charleroi,2,41,7,10,0.7,3,5,0.6,4,5,0.8,0.85,0,0,,1,0,1,2,2,0,4,6,17
Andre Riddick,Belgacom Spirou Charleroi,10,198,26,37,0.703,0,0,,26,37,0.703,0.703,8,18,0.444,17,24,41,5,4,14,9,38,60
Andrea Cinciarini,Bennet Cantu,16,405,30,79,0.38,8,23,0.348,22,56,0.393,0.43,15,21,0.714,14,28,42,37,7,1,21,36,83
Andrea Michelori,Montepaschi Siena,8,54,5,11,0.455,0,0,,5,11,0.455,0.455,5,7,0.714,7,6,13,2,3,0,6,14,15
Andreas Glyniadakis,Olympiacos,9,68,11,26,0.423,0,0,,11,26,0.423,0.423,14,15,0.933,5,7,12,1,3,0,9,13,36
Andrei Kirilenko,CSKA Moscow,17,508,72,135,0.533,20,48,0.417,52,87,0.598,0.607,75,99,0.758,31,96,127,40,26,33,25,31,239
Andrey Vorontsevich,CSKA Moscow,20,326,45,98,0.459,18,55,0.327,27,43,0.628,0.551,7,11,0.636,26,27,53,20,10,8,10,32,115
