Player,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Ante Masic,KK Zagreb,9,122,10,25,0.4,8,23,0.348,2,2,1,0.56,2,2,1,2,16,18,4,2,0,4,16,30
Ante Tomic,Real Madrid,15,219,44,81,0.543,0,0,,44,81,0.543,0.543,13,20,0.65,18,38,56,10,1,9,13,36,101
Anton Gavel,Brose Baskets,10,296,27,70,0.386,12,39,0.308,15,31,0.484,0.471,19,26,0.731,1,16,17,21,9,2,11,22,85
Anton Ponkrashov,CSKA Moscow,9,69,12,20,0.6,2,6,0.333,10,14,0.714,0.65,4,7,0.571,1,6,7,7,1,1,3,12,30
Antonis Fotsis,EA7-Emporio Armani Milano,16,390,50,106,0.472,21,58,0.362,29,48,0.604,0.571,14,19,0.737,23,56,79,14,10,6,13,26,135
Ariel Filloy,EA7-Emporio Armani Milano,3,18,5,8,0.625,4,4,1,1,4,0.25,0.875,0,0,,0,3,3,1,0,0,2,2,14
Augusto Lima,Unicaja Malaga,7,76,7,17,0.412,0,0,,7,17,0.412,0.412,6,10,0.6,3,14,17,2,2,4,6,14,20
Axel Hervelle,Gescrap Bizkaia Bilbao Basket,18,299,36,74,0.486,2,9,0.222,34,65,0.523,0.5,12,17,0.706,19,45,64,20,15,7,20,47,86
Ben Woodside,KK Union Olimpija,7,141,15,44,0.341,4,13,0.308,11,31,0.355,0.386,8,9,0.889,5,10,15,13,8,0,5,14,42
Benjamin Ortner,Bennet Cantu,4,30,1,10,0.1,0,0,,1,10,0.1,0.1,1,2,0.5,2,6,8,1,3,1,3,2,3
Berni Rodriguez,Unicaja Malaga,16,312,26,74,0.351,12,44,0.273,14,30,0.467,0.432,17,21,0.81,7,20,27,30,6,1,19,35,81
Bo McCalebb,Montepaschi Siena,17,471,106,173,0.613,20,38,0.526,86,135,0.637,0.671,55,68,0.809,14,23,37,45,22,0,30,45,287
Bojan Bogdanovic,Fenerbahçe,16,389,62,134,0.463,23,56,0.411,39,78,0.5,0.549,61,75,0.813,3,32,35,11,6,3,20,30,208
Boniface N'Dong,FC Barcelona Regal,21,332,46,99,0.465,0,0,,46,99,0.465,0.465,32,44,0.727,30,44,74,6,12,23,14,42,124
Bootsy Thornton,Montepaschi Siena,11,204,23,61,0.377,4,14,0.286,19,47,0.404,0.41,9,11,0.818,6,25,31,12,6,0,10,23,59
Boris Penninck,Belgacom Spirou Charleroi,4,12,0,2,0,0,0,,0,2,0,0,0,0,,1,2,3,1,0,0,0,3,0
Boris Savovic,Galatasaray,5,69,3,18,0.167,1,7,0.143,2,11,0.182,0.194,1,2,0.5,3,13,16,2,0,2,3,8,8
Bostjan Nachbar,UNICS,7,98,10,27,0.37,3,6,0.5,7,21,0.333,0.426,5,6,0.833,1,16,17,4,2,1,3,13,28
Brad Oleson,Caja Laboral,10,219,25,47,0.532,13,29,0.448,12,18,0.667,0.67,11,12,0.917,3,11,14,17,7,2,14,24,74
Brian Roberts,Brose Baskets,10,252,34,86,0.395,10,38,0.263,24,48,0.5,0.453,8,12,0.667,3,12,15,22,2,0,13,26,86
Caleb Green,Belgacom Spirou Charleroi,10,247,29,77,0.377,10,30,0.333,19,47,0.404,0.442,25,35,0.714,8,39,47,9,14,2,24,30,93
Caner Topaloglu,Galatasaray,9,64,2,12,0.167,1,4,0.25,1,8,0.125,0.208,3,4,0.75,2,5,7,6,3,1,1,11,8
Carlos Suarez,Real Madrid,16,294,27,65,0.415,9,37,0.243,18,28,0.643,0.485,11,13,0.846,11,31,42,20,14,3,13,22,74
Casey Jacobsen,Brose Baskets,10,256,29,70,0.414,16,44,0.364,13,26,0.5,0.529,17,20,0.85,2,18,20,25,4,0,11,19,91
Cenk Akyol,Anadolu Efes,16,237,23,67,0.343,16,43,0.372,7,24,0.292,0.463,13,20,0.65,5,27,32,8,9,1,4,34,75
Cevher Ozer,Galatasaray,15,164,21,53,0.396,7,32,0.219,14,21,0.667,0.462,4,4,1,6,16,22,7,4,2,7,14,53
Chris Hill,Belgacom Spirou Charleroi,10,256,40,99,0.404,16,46,0.348,24,53,0.453,0.485,4,7,0.571,11,35,46,23,6,0,19,28,100
Christophe Beghin,Belgacom Spirou Charleroi,9,164,22,51,0.431,2,6,0.333,20,45,0.444,0.451,17,28,0.607,11,13,24,5,0,0,12,24,63
Chuck Eidson,FC Barcelona Regal,18,373,49,121,0.405,19,52,0.365,30,69,0.435,0.483,22,28,0.786,10,51,61,42,21,2,26,28,139
Kostas Vasileiadis,Gescrap Bizkaia Bilbao Basket,20,456,64,154,0.416,38,101,0.376,26,53,0.491,0.539,50,57,0.877,12,30,42,16,15,2,29,29,216
Curtis Jerrells,Fenerbahçe,14,294,41,98,0.418,10,35,0.286,31,63,0.492,0.469,28,33,0.848,3,24,27,24,10,4,20,20,120
Dainius Salenga,BC Zalgiris,6,151,14,34,0.412,6,16,0.375,8,18,0.444,0.5,2,2,1,4,9,13,9,4,1,4,11,36
DaJuan Summers,Montepaschi Siena,1,18,2,4,0.5,0,0,,2,4,0.5,0.5,0,0,,1,0,1,0,0,0,1,3,4
Damir Krupalija,Gescrap Bizkaia Bilbao Basket,2,5,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,0,0,3,0,0
Damir Markota,KK Union Olimpija,7,182,12,27,0.444,2,14,0.143,10,13,0.769,0.481,7,10,0.7,17,25,42,10,3,1,14,3,33
Damir Mulaomerovic,KK Zagreb,9,235,30,73,0.411,9,20,0.45,21,53,0.396,0.473,25,28,0.893,4,7,11,26,4,0,26,18,94
Damir Rancic,KK Zagreb,9,187,20,56,0.357,12,39,0.308,8,17,0.471,0.464,3,3,1,2,11,13,16,7,0,5,19,55
Daniel Schmidt,Brose Baskets,1,2,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,1,0,0
Danilo Andusic,Partizan,10,76,7,24,0.292,5,22,0.227,2,2,1,0.396,14,16,0.875,0,7,7,4,2,0,7,6,33
Danilo Gallinari,EA7-Emporio Armani Milano,7,198,26,64,0.406,8,30,0.267,18,34,0.529,0.469,55,73,0.753,8,23,31,8,5,3,12,21,115
Danny Green,KK Union Olimpija,7,199,29,75,0.387,8,32,0.25,21,43,0.488,0.44,14,16,0.875,9,19,28,13,7,4,17,16,80
Dario Saric,KK Zagreb,4,60,3,15,0.2,1,6,0.167,2,9,0.222,0.233,1,2,0.5,5,13,18,2,1,1,12,6,8
Darius Songaila,Galatasaray,10,152,30,66,0.455,0,0,,30,66,0.455,0.455,5,7,0.714,9,19,28,4,4,0,13,25,65
Darjus Lavrinovic,CSKA Moscow,15,186,23,53,0.434,6,20,0.3,17,33,0.515,0.491,18,21,0.857,14,26,40,8,7,4,11,33,70
David Andersen,Montepaschi Siena,20,514,87,201,0.433,12,36,0.333,75,165,0.455,0.463,48,65,0.738,27,96,123,18,8,8,31,52,234
David Bluthenthal,Maccabi Tel Aviv,20,492,68,152,0.447,27,72,0.375,41,80,0.513,0.536,22,25,0.88,12,38,50,10,12,0,16,51,185
David Lighty,Bennet Cantu,5,44,5,13,0.385,1,5,0.2,4,8,0.5,0.423,3,4,0.75,1,3,4,2,2,0,1,7,14
David Logan,Panathinaikos,21,315,56,128,0.438,13,41,0.317,43,87,0.494,0.488,12,17,0.706,4,15,19,22,21,3,13,28,137
David Moss,Montepaschi Siena,20,456,61,134,0.455,21,50,0.42,40,84,0.476,0.534,20,23,0.87,12,39,51,21,18,5,12,56,163
Davis Bertans,KK Union Olimpija,10,156,11,39,0.282,5,23,0.217,6,16,0.375,0.346,3,3,1,3,19,22,5,1,1,6,20,30
DeJuan Collins,BC Zalgiris,12,181,23,54,0.426,10,27,0.37,13,27,0.481,0.519,20,21,0.952,4,12,16,18,1,0,13,26,76
Demond Mallet,Belgacom Spirou Charleroi,9,318,65,144,0.451,24,64,0.375,41,80,0.513,0.535,16,21,0.762,5,14,19,22,11,0,18,18,170
Denis Marconato,Bennet Cantu,15,233,43,76,0.566,0,0,,43,76,0.566,0.566,7,9,0.778,10,45,55,7,0,12,15,46,93
Deon Thompson,KK Union Olimpija,10,236,39,88,0.443,0,7,0,39,81,0.481,0.443,10,21,0.476,13,28,41,8,3,2,15,18,88
Devin Brown,Asseco Prokom,1,16,3,7,0.429,0,2,0,3,5,0.6,0.429,1,3,0.333,1,1,2,1,1,0,2,3,7
Devin Smith,Maccabi Tel Aviv,21,567,65,155,0.419,20,70,0.286,45,85,0.529,0.484,24,28,0.857,19,81,100,17,13,12,17,52,174
Diante Garrett,KK Zagreb,3,37,5,14,0.357,1,5,0.2,4,9,0.444,0.393,0,0,,0,4,4,6,0,0,5,3,11
Dimitri Sokolov,CSKA Moscow,1,10,2,3,0.667,0,0,,2,3,0.667,0.667,1,2,0.5,1,4,5,0,0,0,2,0,5
Dimitrios Katsivelis,Olympiacos,7,115,7,19,0.368,2,7,0.286,5,12,0.417,0.421,1,1,1,3,4,7,7,4,1,10,11,17
Dimitrios Mavroeidis,Gescrap Bizkaia Bilbao Basket,19,249,31,56,0.554,0,0,,31,56,0.554,0.554,26,34,0.765,28,38,66,9,7,9,10,37,88
Dimitris Diamantidis,Panathinaikos,23,690,78,174,0.448,48,113,0.425,30,61,0.492,0.586,60,68,0.882,12,73,85,110,34,12,59,49,264
Dino Muric,KK Union Olimpija,8,99,6,16,0.375,2,4,0.5,4,12,0.333,0.438,2,2,1,5,12,17,0,6,1,4,12,16
Djordje Micic,KK Union Olimpija,2,6,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
Dmitry Golovin,UNICS,3,10,3,6,0.5,1,2,0.5,2,4,0.5,0.583,0,0,,0,0,0,0,0,0,0,2,7
Dogus Balbay,Anadolu Efes,8,37,1,4,0.25,0,0,,1,4,0.25,0.25,0,2,0,1,0,1,6,2,0,6,3,2
Donatas Motiejunas,Asseco Prokom,10,313,48,110,0.436,14,46,0.304,34,64,0.531,0.5,15,33,0.455,15,64,79,9,6,8,23,30,125
D'or Fischer,Gescrap Bizkaia Bilbao Basket,19,466,63,95,0.663,2,4,0.5,61,91,0.67,0.674,22,31,0.71,28,85,113,30,7,21,29,62,150
Doron Perkins,Bennet Cantu,2,51,7,19,0.368,2,7,0.286,5,12,0.417,0.421,4,6,0.667,1,14,15,11,2,0,5,2,20
Dragan Milosavljevic,Partizan,10,289,27,81,0.333,11,46,0.239,16,35,0.457,0.401,17,21,0.81,12,25,37,14,6,6,18,30,82
Drew Nicholas,EA7-Emporio Armani Milano,14,370,36,119,0.303,22,74,0.297,14,45,0.311,0.395,10,16,0.625,6,31,37,24,7,3,26,20,104
Dusan Kecman,Partizan,10,156,22,45,0.489,5,13,0.385,17,32,0.531,0.544,13,14,0.929,9,16,25,13,2,0,9,16,62
Dusko Savanovic,Anadolu Efes,16,434,49,132,0.371,20,58,0.345,29,74,0.392,0.447,42,51,0.824,34,56,90,18,12,6,22,23,160
Dwayne Broyles,Belgacom Spirou Charleroi,1,6,0,1,0,0,1,0,0,0,,0,0,0,,0,0,0,2,0,0,0,0,0
EJ Rowland,Unicaja Malaga,14,323,41,98,0.418,6,17,0.353,35,81,0.432,0.449,16,20,0.8,6,24,30,41,12,1,20,23,104
Emir Preldzic,Fenerbahçe,16,344,31,100,0.31,9,36,0.25,22,64,0.344,0.355,36,48,0.75,14,39,53,49,9,1,27,34,107
Ender Arslan,Galatasaray,16,293,27,63,0.429,14,39,0.359,13,24,0.542,0.54,4,6,0.667,3,12,15,41,6,0,24,27,72
Engin Atsur,Fenerbahçe,6,91,8,21,0.381,5,15,0.333,3,6,0.5,0.5,1,2,0.5,1,6,7,10,2,0,5,12,22
Erazem Lorbek,FC Barcelona Regal,21,529,107,203,0.527,23,60,0.383,84,143,0.587,0.584,35,46,0.761,23,74,97,28,12,6,12,29,272
Erjon Kastrati,KK Union Olimpija,3,39,3,9,0.333,1,4,0.25,2,5,0.4,0.389,2,2,1,1,3,4,4,1,0,1,8,9
Ermal Kuqo,Anadolu Efes,9,86,20,31,0.645,1,2,0.5,19,29,0.655,0.661,6,11,0.545,5,4,9,2,0,0,13,31,47
Ersan Ilyasova,Anadolu Efes,8,166,27,56,0.482,6,17,0.353,21,39,0.538,0.536,16,27,0.593,8,36,44,7,12,12,8,17,76
Esteban Batista,Anadolu Efes,16,253,35,69,0.507,0,0,,35,69,0.507,0.507,11,20,0.55,27,41,68,9,9,3,21,40,81
Evgeny Voronov,CSKA Moscow,11,70,4,12,0.333,0,4,0,4,8,0.5,0.333,3,4,0.75,0,5,5,8,2,0,3,8,11
Fedor Dmitriev,Asseco Prokom,10,74,1,15,0.067,0,6,0,1,9,0.111,0.067,7,8,0.875,2,8,10,5,2,0,3,3,9
Felipe Reyes,Real Madrid,16,296,44,94,0.468,0,0,,44,94,0.468,0.468,46,58,0.793,42,59,101,9,9,3,13,49,134
Fernando San Emeterio,Caja Laboral,10,281,42,89,0.472,12,35,0.343,30,54,0.556,0.539,24,25,0.96,11,35,46,21,8,0,17,20,120
Fran Vazquez,FC Barcelona Regal,21,286,38,63,0.603,0,2,0,38,61,0.623,0.603,17,23,0.739,17,51,68,7,7,22,5,34,93
Furkan Aldemir,Galatasaray,15,252,34,61,0.557,0,0,,34,61,0.557,0.557,31,39,0.795,28,44,72,7,10,6,17,34,99
Gasper Vidmar,Fenerbahçe,15,200,27,47,0.574,0,1,0,27,46,0.587,0.574,8,18,0.444,18,21,39,2,6,1,15,47,62
Gerald Fitch,Unicaja Malaga,13,309,51,138,0.37,11,49,0.224,40,89,0.449,0.409,28,42,0.667,14,30,44,22,16,4,20,27,141
Gezim Morina,KK Union Olimpija,3,15,0,2,0,0,1,0,0,1,0,0,0,0,,0,2,2,0,0,0,1,1,0
Gianluca Basile,Bennet Cantu,15,329,43,102,0.422,34,79,0.43,9,23,0.391,0.588,30,36,0.833,5,23,28,47,1,0,25,28,150
Giorgi Shermadini,Bennet Cantu,16,347,53,94,0.564,0,0,,53,94,0.564,0.564,69,82,0.841,30,58,88,12,8,10,17,48,175
Giorgos Printezis,Olympiacos,21,458,83,166,0.5,18,58,0.31,65,108,0.602,0.554,38,44,0.864,23,64,87,25,6,6,16,40,222
Goksenin Koksal,Galatasaray,8,116,5,21,0.238,3,11,0.273,2,10,0.2,0.31,1,3,0.333,4,6,10,3,6,0,7,12,14
Goran Dragic,Caja Laboral,2,11,1,5,0.2,0,2,0,1,3,0.333,0.2,1,1,1,0,0,0,1,0,0,2,2,3
Greg Brunner,Bennet Cantu,6,84,11,25,0.44,1,3,0.333,10,22,0.455,0.46,2,7,0.286,5,10,15,3,1,2,3,15,25
Guy Pnini,Maccabi Tel Aviv,19,239,22,60,0.367,13,41,0.317,9,19,0.474,0.475,8,9,0.889,0,25,25,21,7,1,9,25,65
Haluk Yildirim,Galatasaray,3,44,4,11,0.364,2,9,0.222,2,2,1,0.455,0,0,,2,5,7,3,4,1,2,7,10
Henry Domercant,UNICS,19,606,87,201,0.433,48,97,0.495,39,104,0.375,0.552,72,86,0.837,6,64,70,31,12,2,42,40,294
Hrvoje Peric,Unicaja Malaga,15,314,46,89,0.517,1,14,0.071,45,75,0.6,0.522,22,31,0.71,21,39,60,24,8,6,17,28,115
Ian Vouyoukas,Panathinaikos,23,278,56,102,0.549,0,0,,56,102,0.549,0.549,53,79,0.671,26,24,50,11,6,15,17,43,165
Igor Rakocevic,Montepaschi Siena,19,372,61,153,0.399,11,43,0.256,50,110,0.455,0.435,46,59,0.78,6,31,37,31,6,2,32,21,179
Igor Zamanskiy,UNICS,2,7,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,1,1,0
Jacopo Giachetti,EA7-Emporio Armani Milano,13,148,5,30,0.167,3,15,0.2,2,15,0.133,0.217,1,2,0.5,1,6,7,15,0,0,6,27,14
Jaka Blazic,KK Union Olimpija,10,142,14,40,0.35,2,11,0.182,12,29,0.414,0.375,6,10,0.6,6,18,24,4,2,0,8,17,36
Jaka Lakovic,Galatasaray,16,421,42,106,0.396,26,72,0.361,16,34,0.471,0.519,45,55,0.818,4,27,31,43,4,1,29,34,155
Jamal Shuler,SLUC Nancy,10,294,44,86,0.512,10,23,0.435,34,63,0.54,0.57,14,15,0.933,3,27,30,20,6,1,18,20,112
James Gist,Fenerbahçe,16,402,45,94,0.479,9,28,0.321,36,66,0.545,0.527,20,26,0.769,27,45,72,15,20,15,25,40,119
Jamon Gordon,Galatasaray,16,410,62,138,0.449,7,23,0.304,55,115,0.478,0.475,18,26,0.692,12,53,65,51,29,7,23,51,149
Jamont Gordon,CSKA Moscow,21,378,54,121,0.446,16,46,0.348,38,75,0.507,0.512,17,22,0.773,4,36,40,43,17,5,36,46,141
Jan Mocnik,KK Union Olimpija,2,66,5,12,0.417,4,10,0.4,1,2,0.5,0.583,0,0,,0,4,4,6,1,0,7,9,14
Janis Blums,Gescrap Bizkaia Bilbao Basket,17,275,33,80,0.413,24,60,0.4,9,20,0.45,0.563,12,17,0.706,3,12,15,16,7,1,15,36,102
Jaycee Carroll,Real Madrid,16,358,79,157,0.503,37,72,0.514,42,85,0.494,0.621,32,37,0.865,16,25,41,12,2,3,18,29,227
Jeffrey Viggiano,EA7-Emporio Armani Milano,3,29,3,7,0.429,0,4,0,3,3,1,0.429,0,0,,1,1,2,1,1,1,1,7,6
Jerel Blassingame,Asseco Prokom,10,213,17,58,0.293,4,26,0.154,13,32,0.406,0.328,16,20,0.8,2,19,21,45,9,0,27,34,54
Jiri Welsch,Belgacom Spirou Charleroi,10,253,27,61,0.443,2,10,0.2,25,51,0.49,0.459,12,23,0.522,3,26,29,15,13,0,22,21,68
Joe Ingles,FC Barcelona Regal,21,279,33,88,0.375,9,39,0.231,24,49,0.49,0.426,16,20,0.8,8,28,36,29,12,1,18,20,91
Joel Freeland,Unicaja Malaga,14,361,75,147,0.51,4,16,0.25,71,131,0.542,0.524,22,33,0.667,21,74,95,8,3,2,32,30,176
Joey Dorsey,Olympiacos,11,195,25,39,0.641,0,1,0,25,38,0.658,0.641,9,23,0.391,27,31,58,9,10,12,20,38,59
John Linehan,SLUC Nancy,10,264,22,63,0.349,8,25,0.32,14,38,0.368,0.413,16,21,0.762,4,18,22,40,19,0,20,31,68
Jon Scheyer,Maccabi Tel Aviv,7,34,2,5,0.4,2,4,0.5,0,1,0,0.6,0,0,,0,1,1,0,1,0,1,3,6
Jordan Farmar,Maccabi Tel Aviv,7,219,37,74,0.5,7,17,0.412,30,57,0.526,0.547,18,23,0.783,6,27,33,29,10,0,22,14,99
Jorge Garbajosa,Unicaja Malaga,14,280,30,85,0.353,13,48,0.271,17,37,0.459,0.429,14,14,1,9,32,41,12,13,3,11,17,87
Jorge Sanz,Real Madrid,5,8,4,5,0.8,3,3,1,1,2,0.5,1.1,0,0,,0,0,0,0,0,0,0,1,11
Josep Perez,FC Barcelona Regal,2,7,0,2,0,0,1,0,0,1,0,0,0,0,,0,0,0,0,0,0,1,1,0
Josh Fisher,Gescrap Bizkaia Bilbao Basket,18,171,9,24,0.375,2,11,0.182,7,13,0.538,0.417,0,0,,1,10,11,14,7,1,11,17,20
Josh Heytvelt,KK Zagreb,10,233,32,66,0.485,16,42,0.381,16,24,0.667,0.606,11,14,0.786,8,48,56,3,5,4,10,28,91
Josh Shipp,Galatasaray,15,419,52,110,0.473,11,35,0.314,41,75,0.547,0.523,22,25,0.88,21,45,66,19,18,6,16,35,137
JR Bremer,EA7-Emporio Armani Milano,3,87,12,28,0.429,8,19,0.421,4,9,0.444,0.571,0,0,,0,9,9,7,3,0,4,3,32
Juan Carlos Navarro,FC Barcelona Regal,16,411,72,179,0.402,30,101,0.297,42,78,0.538,0.486,44,50,0.88,5,16,21,51,16,0,32,22,218
Judson Wallace,FC Barcelona Regal,20,272,27,77,0.351,15,43,0.349,12,34,0.353,0.448,13,18,0.722,24,27,51,7,12,4,10,46,82
Julius Jenkins,Brose Baskets,10,196,37,92,0.402,11,33,0.333,26,59,0.441,0.462,19,20,0.95,2,4,6,14,7,1,10,19,104
Justin Hamilton,Belgacom Spirou Charleroi,10,290,28,55,0.509,11,27,0.407,17,28,0.607,0.609,6,7,0.857,7,34,41,34,8,0,14,27,73
Kalin Lucas,Olympiacos,9,163,19,49,0.388,6,13,0.462,13,36,0.361,0.449,5,6,0.833,2,12,14,9,7,0,11,16,49
Karsten Tadda,Brose Baskets,10,86,8,14,0.571,6,11,0.545,2,3,0.667,0.786,2,3,0.667,1,6,7,5,3,0,2,13,24
Kaya Peker,Fenerbahçe,15,203,24,49,0.49,0,0,,24,49,0.49,0.49,8,14,0.571,14,32,46,6,11,9,14,42,56
Keith Langford,Maccabi Tel Aviv,20,478,83,168,0.494,13,40,0.325,70,128,0.547,0.533,38,56,0.679,12,39,51,41,13,6,30,42,217
Kelly McCarty,UNICS,18,391,35,89,0.393,11,30,0.367,24,59,0.407,0.455,26,32,0.813,8,61,69,10,13,14,9,31,107
Kenny Grant,SLUC Nancy,10,97,8,24,0.333,6,14,0.429,2,10,0.2,0.458,2,2,1,1,6,7,10,4,0,5,15,24
Kenny Gregory,SLUC Nancy,3,80,13,30,0.433,0,3,0,13,27,0.481,0.433,4,8,0.5,3,5,8,1,5,0,3,4,30
Kerem Gonlum,Anadolu Efes,1,17,0,2,0,0,0,,0,2,0,0,0,0,,0,4,4,0,1,1,1,1,0
Kerem Tunceri,Anadolu Efes,15,368,27,92,0.293,10,40,0.25,17,52,0.327,0.348,1,2,0.5,1,16,17,67,16,1,34,21,65
Kevin Seraphin,Caja Laboral,7,135,27,49,0.551,0,0,,27,49,0.551,0.551,8,10,0.8,19,16,35,4,3,7,8,21,62
Kevin Thalien,SLUC Nancy,1,1,1,1,1,1,1,1,0,0,,1.5,0,0,,0,0,0,0,0,0,0,0,3
Kingsley Pinda,SLUC Nancy,1,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
Kosta Perovic,FC Barcelona Regal,20,264,34,64,0.531,0,0,,34,64,0.531,0.531,22,28,0.786,19,46,65,9,5,18,7,39,90
Kostas Kaimakoglou,Panathinaikos,23,520,59,131,0.45,30,68,0.441,29,63,0.46,0.565,34,47,0.723,29,66,95,29,21,4,21,52,182
Kostas Papanikolaou,Olympiacos,22,436,49,100,0.49,14,42,0.333,35,58,0.603,0.56,22,32,0.688,22,53,75,14,11,7,12,34,134
Kostas Sloukas,Olympiacos,15,221,26,50,0.52,10,18,0.556,16,32,0.5,0.62,21,24,0.875,4,22,26,24,10,1,14,22,83
Kostas Tsartsaris,Panathinaikos,17,243,25,66,0.379,6,26,0.231,19,40,0.475,0.424,16,20,0.8,16,30,46,8,7,4,9,28,72
Kristaps Valters,Unicaja Malaga,13,263,31,89,0.348,19,59,0.322,12,30,0.4,0.455,26,36,0.722,6,17,23,40,10,1,27,24,107
Krunoslav Simon,KK Zagreb,10,302,48,112,0.429,13,44,0.295,35,68,0.515,0.487,25,26,0.962,4,42,46,25,7,0,30,21,134
Ksistof Lavrinovic,Montepaschi Siena,15,293,45,102,0.441,16,36,0.444,29,66,0.439,0.52,40,56,0.714,14,44,58,17,10,6,21,34,146
Kyle Hines,Olympiacos,22,429,82,158,0.519,0,0,,82,158,0.519,0.519,53,92,0.576,43,56,99,23,8,25,38,52,217
Kyle Singler,Real Madrid,8,185,25,54,0.463,5,13,0.385,20,41,0.488,0.509,10,16,0.625,11,23,34,6,3,3,12,21,65
Lazaros Papadopoulos,Olympiacos,13,179,26,48,0.542,0,0,,26,48,0.542,0.542,3,17,0.176,11,25,36,26,3,5,19,27,55
Leon Radosevic,EA7-Emporio Armani Milano,14,129,17,33,0.515,0,0,,17,33,0.515,0.515,15,18,0.833,4,14,18,4,3,4,8,21,49
Lior Eliyahu,Maccabi Tel Aviv,20,368,78,137,0.569,1,1,1,77,136,0.566,0.573,13,24,0.542,26,34,60,20,5,2,23,26,170
