Player,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Aaron Jackson,CSKA Moscow,28,608,77,142,0.542,20,49,0.408,57,93,0.613,0.613,27,35,0.771,17,50,67,87,26,1,29,39,201
Adrien Moerman,Limoges CSP,10,270,35,84,0.417,9,38,0.237,26,46,0.565,0.47,13,15,0.867,15,54,69,12,8,2,15,19,92
A.J. Slaughter,Panathinaikos,23,524,80,206,0.388,40,109,0.367,40,97,0.412,0.485,24,30,0.8,6,40,46,39,10,1,27,56,224
Akeem Vargas,Alba Berlin,24,324,14,52,0.269,11,34,0.324,3,18,0.167,0.375,4,8,0.5,2,28,30,13,13,1,9,65,43
Aleks Maric,Maccabi Tel Aviv,8,70,8,14,0.571,0,0,,8,14,0.571,0.571,2,2,1,4,14,18,4,1,3,3,9,18
Aleks Maric,Galatasaray,7,70,5,13,0.385,0,0,,5,13,0.385,0.385,2,4,0.5,7,13,20,5,1,0,7,10,12
Aleksey Zozulin,CSKA Moscow,6,32,4,5,0.8,3,4,0.75,1,1,1,1.1,1,2,0.5,3,4,7,1,0,1,0,4,12
Alessandro Gentile,EA7-Emporio Armani Milano,20,549,97,226,0.429,19,62,0.306,78,164,0.476,0.471,73,94,0.777,17,44,61,50,13,0,38,54,286
Alex Abrines,FC Barcelona,23,417,59,131,0.45,29,85,0.341,30,46,0.652,0.561,27,35,0.771,8,27,35,31,15,4,14,50,174
Alex King,Alba Berlin,24,441,35,102,0.343,19,69,0.275,16,33,0.485,0.436,6,13,0.462,22,34,56,11,10,1,18,43,95
Alex Renfroe,Alba Berlin,24,635,80,167,0.479,32,70,0.457,48,97,0.495,0.575,42,51,0.824,33,75,108,128,33,2,61,59,234
Alex Tyus,Maccabi Tel Aviv,25,527,77,126,0.611,0,0,,77,126,0.611,0.611,27,51,0.529,51,79,130,10,9,35,20,42,181
Andreas Christodoulou,Olympiacos,1,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
Andrei Kirilenko,CSKA Moscow,11,212,29,56,0.518,6,13,0.462,23,43,0.535,0.571,30,44,0.682,13,45,58,13,12,13,9,23,94
Andres Nocioni,Real Madrid,29,514,89,193,0.461,34,91,0.374,55,102,0.539,0.549,39,49,0.796,21,91,112,15,7,10,25,72,251
Andrew Goudelock,Fenerbahçe,29,865,193,378,0.511,71,154,0.461,122,224,0.545,0.604,36,48,0.75,10,54,64,61,20,3,43,51,493
Andrey Vorontsevich,CSKA Moscow,30,771,92,206,0.447,37,100,0.37,55,106,0.519,0.536,30,39,0.769,48,123,171,65,19,27,27,59,251
Angelo Gigli,EA7-Emporio Armani Milano,4,24,2,3,0.667,0,0,,2,3,0.667,0.667,2,4,0.5,3,3,6,2,0,0,0,6,6
Ante Delas,Cedevita Zagreb,8,100,10,28,0.357,7,18,0.389,3,10,0.3,0.482,7,7,1,1,4,5,6,5,0,3,12,34
Ante Tomic,FC Barcelona,28,678,117,192,0.609,0,0,,117,192,0.609,0.609,88,128,0.688,55,145,200,65,16,21,43,64,322
Anton Astapkovich,CSKA Moscow,3,16,2,6,0.333,1,5,0.2,1,1,1,0.417,0,0,,0,2,2,4,0,0,1,1,5
