Player,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Aaron Jackson,CSKA Moscow,34,737,96,185,0.519,31,65,0.477,65,120,0.542,0.603,36,49,0.735,10,39,49,121,25,2,56,56,259
Adam Hanga,Baskonia,33,925,127,283,0.449,40,119,0.336,87,164,0.53,0.519,54,81,0.667,31,115,146,79,42,22,45,77,348
Adrien Moerman,Darüşşafaka,33,717,103,260,0.396,40,120,0.333,63,140,0.45,0.473,20,26,0.769,37,131,168,28,29,6,22,76,266
Ahmet Duverioglu,Fenerbahçe,9,60,13,16,0.813,0,0,,13,16,0.813,0.813,4,6,0.667,7,5,12,1,1,4,3,9,30
Aleksandar Vezenkov,FC Barcelona Lassa,30,552,82,142,0.577,34,71,0.479,48,71,0.676,0.697,28,33,0.848,25,72,97,34,20,6,19,46,226
Aleksandr Karpukhin,UNICS,1,8,1,2,0.5,1,2,0.5,0,0,,0.75,0,0,,0,0,0,0,0,0,1,1,3
Aleksej Nikolic,Brose Bamberg,10,104,9,26,0.346,4,14,0.286,5,12,0.417,0.423,11,11,1,2,6,8,18,6,0,7,18,33
Alen Omic,Anadolu Efes,17,140,22,40,0.55,0,0,,22,40,0.55,0.55,6,16,0.375,17,9,26,7,3,0,9,25,50
Alessandro Gentile,Panathinaikos Superfoods,9,118,13,38,0.342,1,5,0.2,12,33,0.364,0.355,2,9,0.222,9,11,20,5,3,2,7,12,29
Alessandro Gentile,EA7 Emporio Armani Milan,9,206,38,83,0.458,3,14,0.214,35,69,0.507,0.476,18,32,0.563,12,15,27,22,10,3,20,19,97
Alex Kirk,Anadolu Efes,16,160,22,41,0.537,0,1,0,22,40,0.55,0.537,10,15,0.667,20,16,36,5,1,14,9,30,54
Alex Renfroe,FC Barcelona Lassa,17,301,24,58,0.414,12,31,0.387,12,27,0.444,0.517,7,7,1,10,26,36,28,17,0,24,34,67
Alex Tyus,Galatasaray,30,590,129,189,0.683,0,1,0,129,188,0.686,0.683,42,76,0.553,51,105,156,13,19,46,33,38,300
Andrea Bargnani,Baskonia,15,241,49,107,0.458,7,23,0.304,42,84,0.5,0.491,27,36,0.75,6,21,27,6,1,8,21,35,132
Andrea Cinciarini,EA7 Emporio Armani Milan,23,425,46,101,0.455,7,28,0.25,39,73,0.534,0.49,28,40,0.7,11,44,55,50,15,2,25,48,127
Andres Nocioni,Real Madrid,15,99,13,42,0.31,7,26,0.269,6,16,0.375,0.393,3,5,0.6,1,11,12,5,2,0,7,14,36
Andrew Goudelock,Maccabi Tel Aviv,20,573,127,250,0.508,49,107,0.458,78,143,0.545,0.606,42,46,0.913,4,49,53,57,5,0,34,31,345
Andrey Vorontsevich,CSKA Moscow,35,696,96,196,0.49,52,109,0.477,44,87,0.506,0.622,13,25,0.52,21,82,103,33,17,16,16,73,257
Antanas Kavaliauskas,Zalgiris,29,340,63,98,0.643,0,1,0,63,97,0.649,0.643,33,39,0.846,39,39,78,13,5,5,35,65,159
Ante Tomic,FC Barcelona Lassa,29,633,105,200,0.525,0,1,0,105,199,0.528,0.525,46,93,0.495,63,108,171,58,17,20,56,62,256
Ante Zizic,Darüşşafaka,20,437,72,111,0.649,0,0,,72,111,0.649,0.649,36,56,0.643,62,72,134,7,4,15,25,39,180
Anthony Bennett,Fenerbahçe,10,64,5,19,0.263,2,11,0.182,3,8,0.375,0.316,0,0,,0,9,9,2,3,1,3,3,12
Anthony Randolph,Real Madrid,34,721,127,254,0.5,29,79,0.367,98,175,0.56,0.557,63,81,0.778,44,130,174,39,13,36,40,61,346
Anton Ponkrashov,UNICS,10,203,26,62,0.419,9,22,0.409,17,40,0.425,0.492,3,6,0.5,3,18,21,38,11,0,27,15,64
Antonis Fotsis,Panathinaikos Superfoods,24,294,18,46,0.391,10,31,0.323,8,15,0.533,0.5,4,5,0.8,15,42,57,5,3,2,7,21,50
Artem Klimenko,UNICS,9,45,3,11,0.273,0,0,,3,11,0.273,0.273,5,6,0.833,2,8,10,1,0,0,6,11,11
Artsiom Parakhouski,UNICS,29,618,134,216,0.62,0,0,,134,216,0.62,0.62,59,75,0.787,75,74,149,11,10,37,24,67,327
Arturas Milaknis,Zalgiris,30,633,74,183,0.404,56,145,0.386,18,38,0.474,0.557,16,21,0.762,12,34,46,31,8,1,19,65,220
Augusto Lima,Zalgiris,30,446,58,101,0.574,0,0,,58,101,0.574,0.574,23,47,0.489,51,61,112,22,17,20,27,74,139
Austin Daye,Galatasaray,25,463,74,167,0.443,33,73,0.452,41,94,0.436,0.542,36,41,0.878,9,65,74,26,12,7,27,59,217
Awudu Abass,EA7 Emporio Armani Milan,23,369,34,81,0.42,16,38,0.421,18,43,0.419,0.519,21,25,0.84,17,27,44,12,9,6,15,45,105
Baris Hersek,Fenerbahçe,3,12,2,5,0.4,0,2,0,2,3,0.667,0.4,0,0,,0,0,0,0,1,0,0,3,4
Berk Ugurlu,Fenerbahçe,7,30,0,7,0,0,3,0,0,4,0,0,2,2,1,1,0,1,2,1,0,3,4,2
Birkan Batuk,Darüşşafaka,32,400,30,81,0.37,17,57,0.298,13,24,0.542,0.475,10,16,0.625,23,30,53,12,12,2,8,73,87
Blake Schilb,Galatasaray,27,690,104,209,0.498,22,71,0.31,82,138,0.594,0.55,20,23,0.87,28,76,104,107,19,3,42,36,250
Bobby Dixon,Fenerbahçe,34,862,130,314,0.414,78,201,0.388,52,113,0.46,0.538,48,53,0.906,19,74,93,106,35,0,67,84,386
Bogdan Bogdanovic,Fenerbahçe,22,615,108,216,0.5,46,107,0.43,62,109,0.569,0.606,59,69,0.855,9,75,84,80,25,6,52,54,321
Borisa Simanic,Crvena Zvezda mts,3,17,1,5,0.2,0,2,0,1,3,0.333,0.2,0,0,,1,2,3,1,0,0,0,3,2
Brad Oleson,FC Barcelona Lassa,24,519,50,102,0.49,20,58,0.345,30,44,0.682,0.588,8,10,0.8,11,33,44,47,14,5,20,40,128
Brad Wanamaker,Darüşşafaka,34,1138,180,402,0.448,56,145,0.386,124,257,0.482,0.517,153,177,0.864,17,90,107,158,51,3,102,94,569
Brandon Paul,Anadolu Efes,23,398,57,147,0.388,39,94,0.415,18,53,0.34,0.52,45,64,0.703,3,20,23,13,24,6,16,58,198
Branko Lazic,Crvena Zvezda mts,30,709,49,105,0.467,21,57,0.368,28,48,0.583,0.567,12,21,0.571,21,44,65,10,42,3,14,94,131
Brock Motum,Zalgiris,30,693,124,230,0.539,36,78,0.462,88,152,0.579,0.617,39,55,0.709,40,63,103,16,18,3,29,55,323
Bruno Cerella,EA7 Emporio Armani Milan,5,49,2,7,0.286,2,6,0.333,0,1,0,0.429,2,3,0.667,0,2,2,4,0,0,0,9,8
Bruno Fitipaldo,Galatasaray,16,225,29,65,0.446,16,38,0.421,13,27,0.481,0.569,12,14,0.857,1,3,4,38,4,0,22,38,86
Bryant Dunston,Anadolu Efes,35,1013,140,254,0.551,0,1,0,140,253,0.553,0.551,93,137,0.679,100,117,217,37,21,40,33,95,373
Bryce Cotton,Anadolu Efes,10,183,29,68,0.426,12,32,0.375,17,36,0.472,0.515,10,11,0.909,2,14,16,14,5,0,9,21,80
Can Korkmaz,Galatasaray,10,79,11,25,0.44,6,15,0.4,5,10,0.5,0.56,6,8,0.75,2,4,6,8,2,0,4,10,34
Can Maxim Mutaf,Anadolu Efes,11,72,7,21,0.333,7,17,0.412,0,4,0,0.5,0,0,,5,6,11,4,4,0,3,14,21
Cedi Osman,Anadolu Efes,35,649,88,215,0.409,36,106,0.34,52,109,0.477,0.493,37,47,0.787,29,68,97,26,21,3,19,63,249
Charles Jenkins,Crvena Zvezda mts,30,783,106,239,0.444,31,73,0.425,75,166,0.452,0.508,39,46,0.848,11,47,58,80,62,3,33,69,282
Chase Budinger,Baskonia,29,548,78,159,0.491,19,58,0.328,59,101,0.584,0.55,23,27,0.852,38,72,110,35,18,4,26,49,198
Chris Singleton,Panathinaikos Superfoods,33,932,127,256,0.496,48,110,0.436,79,146,0.541,0.59,95,127,0.748,62,133,195,38,41,34,46,107,397
Colton Iverson,Maccabi Tel Aviv,30,618,98,160,0.613,0,0,,98,160,0.613,0.613,44,77,0.571,63,96,159,17,24,7,40,87,240
Cory Higgins,CSKA Moscow,32,652,100,214,0.467,25,62,0.403,75,152,0.493,0.526,80,91,0.879,13,56,69,48,24,4,49,67,305
Coty Clarke,UNICS,14,305,30,77,0.39,8,21,0.381,22,56,0.393,0.442,18,21,0.857,12,47,59,17,8,4,19,20,86
Dagan Yivzori,Maccabi Tel Aviv,1,0,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
