Player,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Aaron Doornekamp,Valencia Basket,30,668,54,157,0.344,33,100,0.33,21,57,0.368,0.449,37,46,0.804,25,90,115,46,23,8,18,66,178
Aaron White,Zalgiris Kaunas,36,807,120,223,0.538,20,52,0.385,100,171,0.585,0.583,62,83,0.747,38,120,158,35,22,13,34,77,322
Adam Hanga,FC Barcelona Lassa,26,643,82,181,0.453,25,72,0.347,57,109,0.523,0.522,36,53,0.679,29,68,97,52,19,17,34,63,225
Adam Waczynski,Unicaja Malaga,27,510,96,192,0.5,51,103,0.495,45,89,0.506,0.633,29,35,0.829,25,37,62,30,20,1,26,47,272
Adreian Payne,Panathinaikos Superfoods Athens,12,119,22,43,0.512,0,5,0,22,38,0.579,0.512,13,24,0.542,17,17,34,2,3,2,12,23,57
Adrien Moerman,FC Barcelona Lassa,30,668,91,204,0.446,34,105,0.324,57,99,0.576,0.529,12,19,0.632,39,125,164,29,19,6,27,72,228
Ahmet Duverioglu,Fenerbahçe,27,242,39,55,0.709,0,0,,39,55,0.709,0.709,12,26,0.462,19,29,48,14,7,9,8,55,90
Alan Makiev,CSKA Moscow,1,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,2,0
Alberto Abalde,Valencia Basket,25,478,71,143,0.497,28,54,0.519,43,89,0.483,0.594,20,23,0.87,12,40,52,42,8,0,32,44,190
Alberto Diaz,Unicaja Malaga,30,572,39,113,0.345,23,75,0.307,16,38,0.421,0.447,14,18,0.778,12,35,47,74,24,0,26,80,115
Aleksandar Vezenkov,FC Barcelona Lassa,13,152,15,35,0.429,4,18,0.222,11,17,0.647,0.486,12,13,0.923,11,22,33,7,5,1,2,16,46
Aleksej Nikolic,Brose Bamberg,29,358,25,63,0.397,10,31,0.323,15,32,0.469,0.476,14,16,0.875,3,22,25,50,4,1,21,53,74
Alen Omic,Crvena Zvezda mts Belgrade,11,191,38,54,0.704,0,0,,38,54,0.704,0.704,16,31,0.516,18,25,43,9,2,2,11,25,92
