Player,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Aaron Mitchell,Montepaschi Siena,10,63,8,19,0.421,3,8,0.375,5,11,0.455,0.5,5,8,0.625,2,1,3,6,5,0,4,14,24
Acie Earl,Slask Wroclaw,3,57,6,15,0.4,0,0,,6,15,0.4,0.4,5,6,0.833,3,8,11,1,1,2,8,10,17
Adam Wojcik,Unicaja Malaga,15,230,28,56,0.5,4,14,0.286,24,42,0.571,0.536,20,27,0.741,10,23,33,4,7,5,12,32,80
Ademola Okulaja,Unicaja Malaga,19,488,70,164,0.427,13,43,0.302,57,121,0.471,0.466,32,50,0.64,48,95,143,27,22,2,30,29,185
AJ Guyton,Skipper Fortitudo Bologna,2,53,6,17,0.353,2,9,0.222,4,8,0.5,0.412,2,4,0.5,1,5,6,4,1,0,3,3,16
Alain Digbeu,Real Madrid,14,287,29,74,0.392,22,55,0.4,7,19,0.368,0.541,22,29,0.759,11,22,33,15,12,8,15,28,102
Alan Gregov,Slask Wroclaw,4,36,1,8,0.125,0,5,0,1,3,0.333,0.125,2,2,1,0,2,2,4,0,0,4,8,4
Albert Miralles,Virtus Bologna,2,5,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,0,0,0,2,0
Alberto Herreros,Real Madrid,12,277,33,80,0.413,13,40,0.325,20,40,0.5,0.494,32,40,0.8,14,23,37,11,9,1,12,27,111
Aleksandar Smiljanic,KK Buducnost,13,231,33,74,0.446,7,30,0.233,26,44,0.591,0.493,31,39,0.795,7,13,20,13,8,1,20,20,104
Alessandro Frosini,Virtus Bologna,17,408,59,123,0.48,0,0,,59,123,0.48,0.48,27,42,0.643,42,48,90,9,16,19,22,50,145
Alex Mumbru,Real Madrid,11,257,43,95,0.453,22,55,0.4,21,40,0.525,0.568,29,42,0.69,7,35,42,19,12,0,16,23,137
Alexander Koul,Slask Wroclaw,14,209,38,66,0.576,0,0,,38,66,0.576,0.576,22,36,0.611,14,14,28,8,7,7,18,47,98
Alexandr Bashminov,CSKA Moscow,21,326,52,82,0.634,3,5,0.6,49,77,0.636,0.652,32,43,0.744,32,52,84,13,9,14,17,54,139
Alexey Savrasenko,CSKA Moscow,5,48,10,13,0.769,0,0,,10,13,0.769,0.769,0,0,,4,7,11,2,0,1,2,4,20
Alfonso Alzamora,FC Barcelona,4,12,1,3,0.333,0,0,,1,3,0.333,0.333,0,2,0,1,1,2,0,0,0,1,0,2
Alfonso Reyes,Real Madrid,9,194,23,45,0.511,0,0,,23,45,0.511,0.511,6,13,0.462,12,17,29,5,3,0,13,24,52
Alper Yilmaz,Efes Pilsen,19,365,23,62,0.371,17,49,0.347,6,13,0.462,0.508,8,12,0.667,5,40,45,33,32,6,21,44,71
Alphonso Ford,Montepaschi Siena,22,706,148,308,0.481,32,87,0.368,116,221,0.525,0.532,65,84,0.774,26,41,67,50,44,7,59,61,393
Alvin Jones,Slask Wroclaw,4,62,6,15,0.4,0,0,,6,15,0.4,0.4,4,7,0.571,3,10,13,1,3,4,5,14,16
Anderson Varejao,FC Barcelona,22,297,38,81,0.469,5,17,0.294,33,64,0.516,0.5,10,30,0.333,24,46,70,4,11,13,22,49,91
Andre Owens,Adecco ASVEL Villeurbanne,20,480,58,133,0.436,12,37,0.324,46,96,0.479,0.481,26,40,0.65,6,46,52,48,20,3,24,42,154
Andrej Stimac,Cibona Zagreb,12,142,16,32,0.5,11,21,0.524,5,11,0.455,0.672,5,5,1,5,12,17,6,1,0,5,19,48
Andres Nocioni,TAU Ceramica,19,553,118,227,0.52,31,71,0.437,87,156,0.558,0.588,53,76,0.697,31,113,144,25,15,19,52,59,320
Andrew Betts,AEK Athens,14,427,61,115,0.53,0,0,,61,115,0.53,0.53,44,71,0.62,39,53,92,6,10,11,28,51,166
Andrey Sheyko,CSKA Moscow,2,7,1,2,0.5,1,1,1,0,1,0,0.75,0,0,,1,0,1,0,0,0,0,3,3
Andrius Giedraitis,Slask Wroclaw,14,363,58,97,0.598,16,29,0.552,42,68,0.618,0.68,52,63,0.825,14,19,33,25,13,0,17,32,184
