Player,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Aaron Craft,Buducnost VOLI,4,67,3,9,0.333,0,2,0,3,7,0.429,0.333,0,0,,4,3,7,9,2,0,5,10,6
Aaron White,Zalgiris,34,847,97,187,0.519,14,42,0.333,83,145,0.572,0.556,72,91,0.791,35,107,142,23,12,7,28,71,280
Adam Hanga,FC Barcelona Lassa,27,564,90,194,0.464,20,71,0.282,70,123,0.569,0.515,38,51,0.745,20,88,108,50,31,9,22,73,238
Adreian Payne,Panathinaikos OPAP,3,19,2,4,0.5,0,0,,2,4,0.5,0.5,2,4,0.5,2,6,8,0,0,0,3,6,6
Adrien Moerman,Anadolu Efes,37,1076,177,343,0.516,55,137,0.401,122,206,0.592,0.596,34,39,0.872,47,177,224,56,41,11,41,70,443
Ahmet Duverioglu,Fenerbahçe,31,346,41,66,0.621,0,0,,41,66,0.621,0.621,8,20,0.4,32,49,81,21,17,12,30,65,90
Ahmet Tuncer,Anadolu Efes,11,50,4,19,0.211,2,13,0.154,2,6,0.333,0.263,0,0,,1,6,7,10,5,0,5,6,10
Ajdin Penava,Kirolbet Baskonia,4,13,0,5,0,0,4,0,0,1,0,0,2,2,1,1,3,4,0,0,0,0,0,2
Albert Oliver,Herbalife Gran Canaria,28,409,36,111,0.324,16,48,0.333,20,63,0.317,0.396,26,29,0.897,14,23,37,93,9,1,38,43,114
Alec Peters,CSKA Moscow,36,586,63,150,0.42,39,90,0.433,24,60,0.4,0.55,25,28,0.893,24,72,96,26,17,3,22,85,190
Aleksa Ilic,Buducnost VOLI,3,45,6,13,0.462,0,0,,6,13,0.462,0.462,0,1,0,5,8,13,1,3,1,1,4,12
Aleksandar Vezenkov,Olympiacos,28,291,41,84,0.488,6,29,0.207,35,55,0.636,0.524,17,21,0.81,19,43,62,12,10,2,7,24,105
Aleksej Pokusevski,Olympiacos,2,6,0,3,0,0,1,0,0,2,0,0,1,2,0.5,1,1,2,1,1,0,1,1,1
Alen Omic,Buducnost VOLI,15,316,58,95,0.611,1,3,0.333,57,92,0.62,0.616,16,26,0.615,33,38,71,16,5,5,17,34,133
Alen Omic,AX Armani Exchange Olimpia,14,175,17,38,0.447,0,1,0,17,37,0.459,0.447,1,6,0.167,24,27,51,7,5,3,11,18,35
Alex King,Bayern Munich,14,40,3,10,0.3,2,9,0.222,1,1,1,0.4,0,3,0,5,1,6,3,1,0,1,4,8
Alex Tyus,Maccabi Tel Aviv,30,549,97,146,0.664,0,0,,97,146,0.664,0.664,25,40,0.625,39,85,124,8,14,34,22,53,219
Alexander Khomenko,CSKA Moscow,1,2,1,2,0.5,0,1,0,1,1,1,0.5,0,0,,0,0,0,0,0,0,0,0,2
Alexey Shved,BC Khimki,14,448,95,242,0.393,57,156,0.365,38,86,0.442,0.51,79,98,0.806,9,30,39,93,22,4,52,29,326
Amedeo Della Valle,AX Armani Exchange Olimpia,12,73,8,20,0.4,5,14,0.357,3,6,0.5,0.525,4,4,1,6,3,9,3,1,2,2,12,25
Andrea Cinciarini,AX Armani Exchange Olimpia,14,157,19,36,0.528,4,12,0.333,15,24,0.625,0.583,3,8,0.375,5,14,19,12,7,1,13,24,45
Andrei Lopatin,CSKA Moscow,1,5,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,1,0,0,1,0
Andrew Harrison,BC Khimki,4,89,11,32,0.344,7,15,0.467,4,17,0.235,0.453,6,9,0.667,0,8,8,10,2,2,3,10,35
Andrey Vorontsevich,CSKA Moscow,19,191,12,46,0.261,10,33,0.303,2,13,0.154,0.37,8,8,1,9,21,30,13,5,4,6,20,42
Andrey Zubkov,BC Khimki,25,393,44,88,0.5,8,30,0.267,36,58,0.621,0.545,17,22,0.773,13,42,55,25,18,3,16,47,113
Andzejs Pasecniks,Herbalife Gran Canaria,22,371,64,132,0.485,1,7,0.143,63,125,0.504,0.489,29,52,0.558,41,38,79,9,11,9,14,55,158
Angelo Caloiaro,Maccabi Tel Aviv,30,744,78,163,0.479,23,73,0.315,55,90,0.611,0.549,42,53,0.792,60,85,145,41,37,3,24,73,221
Antanas Kavaliauskas,Zalgiris,20,236,40,68,0.588,0,0,,40,68,0.588,0.588,22,26,0.846,13,36,49,20,7,4,17,48,102
Ante Tomic,FC Barcelona Lassa,35,710,146,237,0.616,0,0,,146,237,0.616,0.616,60,98,0.612,70,106,176,61,19,12,57,82,352
Anthony Gill,BC Khimki,13,347,59,108,0.546,8,36,0.222,51,72,0.708,0.583,23,30,0.767,19,26,45,21,10,8,16,31,149
Anthony Randolph,Real Madrid,33,747,143,295,0.485,60,145,0.414,83,150,0.553,0.586,68,90,0.756,24,118,142,30,17,11,25,41,414
Artem Pustovyi,FC Barcelona Lassa,9,73,13,18,0.722,0,0,,13,18,0.722,0.722,8,13,0.615,9,6,15,1,2,4,3,9,34
Arturas Gudaitis,AX Armani Exchange Olimpia,21,500,78,122,0.639,0,0,,78,122,0.639,0.639,107,133,0.805,70,80,150,8,16,21,27,63,263
Arturas Milaknis,Zalgiris,34,786,75,186,0.403,60,144,0.417,15,42,0.357,0.565,29,34,0.853,11,38,49,30,22,2,23,57,239
Axel Toupane,Olympiacos,26,354,39,102,0.382,26,72,0.361,13,30,0.433,0.51,22,27,0.815,8,23,31,12,12,4,17,34,126
Berk Demir,Darüşşafaka,28,256,25,63,0.397,7,28,0.25,18,35,0.514,0.452,10,11,0.909,21,37,58,7,4,9,14,33,67
Bobby Dixon,Fenerbahçe,34,605,112,216,0.519,65,131,0.496,47,85,0.553,0.669,26,30,0.867,12,45,57,76,21,0,38,67,315
Brandon Davies,Zalgiris,34,823,176,315,0.559,0,0,,176,315,0.559,0.559,131,172,0.762,62,124,186,67,33,15,65,99,483
Braydon Hobbs,Bayern Munich,18,177,20,47,0.426,20,41,0.488,0,6,0,0.638,7,8,0.875,2,14,16,48,8,0,16,19,67
Briante Weber,Olympiacos,8,194,37,70,0.529,6,13,0.462,31,57,0.544,0.571,13,17,0.765,7,30,37,21,8,2,22,29,93
Brock Motum,Anadolu Efes,31,359,78,154,0.506,22,50,0.44,56,104,0.538,0.578,25,32,0.781,22,34,56,11,3,2,13,21,203
Bryant Dunston,Anadolu Efes,36,939,121,189,0.64,2,6,0.333,119,183,0.65,0.646,75,107,0.701,55,121,176,48,29,43,29,107,319
Charles Jenkins,BC Khimki,29,709,71,145,0.49,34,81,0.42,37,64,0.578,0.607,24,29,0.828,24,56,80,36,30,6,17,80,200
Chris Evans,Herbalife Gran Canaria,12,226,45,96,0.469,14,33,0.424,31,63,0.492,0.542,19,22,0.864,14,17,31,13,6,1,12,22,123
Chris Singleton,FC Barcelona Lassa,35,874,92,246,0.374,47,119,0.395,45,127,0.354,0.47,48,62,0.774,33,121,154,30,38,17,38,83,279
Christian Burns,AX Armani Exchange Olimpia,14,44,4,10,0.4,0,1,0,4,9,0.444,0.4,6,6,1,5,6,11,1,0,2,2,16,14
Clevin Hannah,Herbalife Gran Canaria,18,368,53,126,0.421,17,56,0.304,36,70,0.514,0.488,44,48,0.917,6,23,29,67,19,0,44,46,167
Cory Higgins,CSKA Moscow,32,814,156,317,0.492,51,104,0.49,105,213,0.493,0.573,113,126,0.897,18,52,70,58,13,8,43,80,476
Cory Jefferson,Herbalife Gran Canaria,5,63,7,22,0.318,3,12,0.25,4,10,0.4,0.386,0,1,0,5,7,12,1,0,1,1,7,17
Coty Clarke,Buducnost VOLI,29,636,76,167,0.455,15,36,0.417,61,131,0.466,0.5,30,38,0.789,29,95,124,31,27,5,27,77,197
Curtis Jerrells,AX Armani Exchange Olimpia,30,452,65,168,0.387,35,102,0.343,30,66,0.455,0.491,21,28,0.75,4,27,31,44,12,1,25,42,186
Dairis Bertans,AX Armani Exchange Olimpia,22,366,45,94,0.479,37,69,0.536,8,25,0.32,0.676,14,17,0.824,6,16,22,14,15,0,7,45,141
Daniel Hackett,CSKA Moscow,35,607,62,143,0.434,20,51,0.392,42,92,0.457,0.503,66,80,0.825,11,53,64,61,22,1,34,104,210
Danilo Barthel,Bayern Munich,30,712,91,179,0.508,19,47,0.404,72,132,0.545,0.561,43,61,0.705,30,90,120,56,10,7,39,69,244
Danilo Nikolic,Buducnost VOLI,26,370,52,106,0.491,24,59,0.407,28,47,0.596,0.604,12,20,0.6,25,36,61,10,7,7,10,34,140
Darrun Hilliard,Kirolbet Baskonia,34,697,106,257,0.412,39,121,0.322,67,136,0.493,0.488,69,89,0.775,9,88,97,38,23,2,43,91,320
Deandre Kane,Maccabi Tel Aviv,25,644,78,180,0.433,22,71,0.31,56,109,0.514,0.494,22,54,0.407,32,63,95,64,27,2,31,63,200
Dee Bost,BC Khimki,23,542,66,163,0.405,35,104,0.337,31,59,0.525,0.512,15,19,0.789,15,38,53,69,22,1,31,59,182
Deni Avdija,Maccabi Tel Aviv,8,51,12,27,0.444,5,10,0.5,7,17,0.412,0.537,2,2,1,4,8,12,2,1,0,1,7,31
Deon Thompson,Zalgiris,17,234,34,58,0.586,0,1,0,34,57,0.596,0.586,12,21,0.571,20,32,52,9,8,7,12,29,80
Derrick Williams,Bayern Munich,29,755,127,276,0.46,36,108,0.333,91,168,0.542,0.525,98,125,0.784,36,85,121,18,18,14,43,40,388
Deshaun Thomas,Panathinaikos OPAP,32,718,130,267,0.487,33,93,0.355,97,174,0.557,0.549,42,61,0.689,39,81,120,20,18,4,33,51,335
Devin Booker,Bayern Munich,16,329,63,114,0.553,6,16,0.375,57,98,0.582,0.579,11,18,0.611,22,32,54,24,10,5,20,32,143
Devin Williams,Buducnost VOLI,6,66,7,16,0.438,0,0,,7,16,0.438,0.438,6,9,0.667,2,13,15,3,1,0,2,10,20
Dimitrios Agravanis,Olympiacos,1,5,1,2,0.5,0,1,0,1,1,1,0.5,1,2,0.5,0,0,0,0,2,1,0,2,3
D.J. Strawberry,Herbalife Gran Canaria,29,631,84,229,0.367,35,108,0.324,49,121,0.405,0.443,45,64,0.703,11,42,53,56,24,4,44,48,248
Dogus Balbay,Anadolu Efes,37,387,29,58,0.5,14,23,0.609,15,35,0.429,0.621,1,1,1,19,33,52,49,16,7,14,67,73
Dogus Ozdemiroglu,Darüşşafaka,28,323,32,80,0.4,12,43,0.279,20,37,0.541,0.475,17,25,0.68,9,25,34,33,24,1,24,63,93
Donatas Sabeckis,Zalgiris,2,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
Earl Clark,Buducnost VOLI,29,798,131,328,0.399,40,103,0.388,91,225,0.404,0.46,38,55,0.691,22,86,108,29,22,17,43,43,340
Edgaras Ulanovas,Zalgiris,34,849,79,180,0.439,23,65,0.354,56,115,0.487,0.503,63,75,0.84,39,75,114,46,19,6,40,65,244
Edwin Jackson,Buducnost VOLI,30,792,104,237,0.439,51,119,0.429,53,118,0.449,0.546,34,40,0.85,21,55,76,56,20,2,46,64,293
Efe Tirpanci,Fenerbahçe,1,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,1,0,0,0,0,0
Egehan Arna,Fenerbahçe,3,10,0,2,0,0,1,0,0,1,0,0,0,0,,0,1,1,0,0,2,1,2,0
Egor Vyaltsev,BC Khimki,19,224,20,51,0.392,9,27,0.333,11,24,0.458,0.48,8,11,0.727,5,13,18,19,6,0,11,38,57
Emircan Kosut,Darüşşafaka,15,123,20,40,0.5,0,3,0,20,37,0.541,0.5,8,10,0.8,8,10,18,8,4,5,11,22,48
Erick Green,Fenerbahçe,28,353,60,114,0.526,20,49,0.408,40,65,0.615,0.614,16,17,0.941,2,20,22,21,11,2,6,29,156
Erikas Venskus,Zalgiris,2,13,2,4,0.5,0,0,,2,4,0.5,0.5,0,0,,1,1,2,3,1,0,1,0,4
Eulis Baez,Herbalife Gran Canaria,22,457,50,117,0.427,15,47,0.319,35,70,0.5,0.491,33,42,0.786,22,61,83,34,19,2,22,44,148
Fabien Causeur,Real Madrid,35,493,78,164,0.476,22,53,0.415,56,111,0.505,0.543,26,37,0.703,15,45,60,49,12,1,42,42,204
Facu Campazzo,Real Madrid,34,803,89,231,0.385,43,115,0.374,46,116,0.397,0.478,75,84,0.893,10,80,90,176,55,0,72,85,296
