Player,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Adam Hess,Chorale Roanne,14,370,49,109,0.45,21,54,0.389,28,55,0.509,0.546,28,38,0.737,23,30,53,18,9,2,15,43,147
Adam Lapeta,Prokom Trefl Sopot,3,33,5,12,0.417,0,0,,5,12,0.417,0.417,2,4,0.5,3,4,7,1,0,5,2,7,12
Adam Waczynski,Prokom Trefl Sopot,2,12,2,5,0.4,0,1,0,2,4,0.5,0.4,0,0,,0,1,1,0,0,0,0,0,4
Ademola Okulaja,Brose Baskets,13,377,51,112,0.455,15,41,0.366,36,71,0.507,0.522,16,36,0.444,23,61,84,23,13,5,24,23,133
Alain Koffi,Le Mans Sarthe Basket,14,305,50,80,0.625,0,0,,50,80,0.625,0.625,10,20,0.5,20,52,72,9,9,13,21,37,110
Alan Anderson,VidiVici Bologna,9,232,33,83,0.398,5,20,0.25,28,63,0.444,0.428,30,33,0.909,12,15,27,10,10,3,17,25,101
Albert Moncasi,AXA FC Barcelona,4,42,6,11,0.545,0,0,,6,11,0.545,0.545,4,7,0.571,3,5,8,2,3,1,0,4,16
Alessandro Tonolli,Lottomatica Roma,17,202,7,27,0.259,6,21,0.286,1,6,0.167,0.37,0,0,,12,14,26,4,7,5,8,38,20
Alex Acker,AXA FC Barcelona,22,381,43,108,0.398,12,43,0.279,31,65,0.477,0.454,23,28,0.821,9,33,42,15,16,4,25,25,121
Alex Garcia,Maccabi Tel Aviv,23,428,38,91,0.418,14,37,0.378,24,54,0.444,0.495,25,40,0.625,8,40,48,32,19,1,21,63,115
Alex Mumbru,Real Madrid,18,466,57,123,0.463,14,51,0.275,43,72,0.597,0.52,45,58,0.776,23,58,81,32,8,5,36,48,173
Alexey Savrasenko,CSKA Moscow,6,85,14,21,0.667,0,0,,14,21,0.667,0.667,7,10,0.7,4,10,14,3,1,1,4,10,35
Alexey Shved,CSKA Moscow,8,33,7,13,0.538,4,8,0.5,3,5,0.6,0.692,4,6,0.667,0,2,2,0,1,1,0,4,22
Allan Ray,Lottomatica Roma,15,380,43,133,0.323,20,67,0.299,23,66,0.348,0.398,34,39,0.872,10,32,42,34,19,0,36,43,140
