Player,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Aaron Doornekamp,Valencia Basket,28,454,47,108,0.435,32,79,0.405,15,29,0.517,0.583,11,16,0.688,15,50,65,26,12,3,12,53,137
Aaron Jackson,Maccabi Tel Aviv,12,210,18,41,0.439,7,18,0.389,11,23,0.478,0.524,8,11,0.727,4,15,19,20,3,0,14,26,51
Aaron White,AX Armani Exchange Olimpia,15,153,9,28,0.321,3,12,0.25,6,16,0.375,0.375,10,12,0.833,7,14,21,5,2,1,6,17,31
Achille Polonara,Kirolbet Baskonia,27,338,29,89,0.326,9,40,0.225,20,49,0.408,0.376,18,28,0.643,31,44,75,6,15,11,7,29,85
Adam Hanga,FC Barcelona,28,567,59,133,0.444,16,58,0.276,43,75,0.573,0.504,27,36,0.75,18,64,82,95,19,6,43,62,161
Adreian Payne,LDLC ASVEL,13,237,46,90,0.511,17,43,0.395,29,47,0.617,0.606,28,33,0.848,15,36,51,10,7,7,12,29,137
Adrien Moerman,Anadolu Efes,12,170,25,43,0.581,5,13,0.385,20,30,0.667,0.64,7,10,0.7,13,24,37,5,6,0,11,15,62
Ahmet Duverioglu,Fenerbahçe,17,165,20,35,0.571,0,0,,20,35,0.571,0.571,10,16,0.625,20,22,42,6,5,5,9,32,50
Ahmet Tuncer,Anadolu Efes,9,61,9,20,0.45,6,13,0.462,3,7,0.429,0.6,2,3,0.667,1,3,4,14,4,0,4,9,26
Alberto Abalde,Valencia Basket,23,499,64,150,0.427,15,53,0.283,49,97,0.505,0.477,36,50,0.72,32,60,92,38,11,0,19,29,179
Alec Peters,Anadolu Efes,27,370,38,71,0.535,15,37,0.405,23,34,0.676,0.641,22,26,0.846,12,45,57,14,9,2,10,41,113
Aleksandar Vezenkov,Olympiacos,26,355,67,124,0.54,28,61,0.459,39,63,0.619,0.653,21,26,0.808,13,40,53,13,7,5,8,32,183
Aleksej Pokusevski,Olympiacos,1,2,0,1,0,0,0,,0,1,0,0,0,0,,0,0,0,0,0,0,1,1,0
Alex Abrines,FC Barcelona,25,370,45,97,0.464,30,65,0.462,15,32,0.469,0.619,10,12,0.833,13,39,52,10,14,2,6,44,130
Alex King,Bayern Munich,18,157,11,26,0.423,9,23,0.391,2,3,0.667,0.596,0,2,0,1,13,14,8,5,0,5,26,31
Alex Perez,Žalgiris,7,75,8,20,0.4,3,6,0.5,5,14,0.357,0.475,3,3,1,3,3,6,13,3,0,3,13,22
