,Player,Yrs,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,Birth Date,City,Country
24,Dexter Cambridge,1,1993,1993,53,885,151,312,0,4,68,99,88,167,58,24,6,63,128,370,0.484,0,0.687,16.7,7,3.2,1.1,29-Jan-70,Eleuthra,Bahamas
25,Buddy Hield,4,2017,2020,316,8743,1864,4222,873,2126,421,486,253,1316,694,247,81,539,630,5022,0.441,0.411,0.866,27.7,15.9,4.2,2.2,17-Dec-92,Freeport,Bahamas
26,Ian Lockhart,1,1991,1991,1,2,1,1,0,0,2,2,0,0,0,0,0,0,0,4,1,,1,2,4,0,0,25-Jun-67,Nassau,Bahamas
27,Mychal Thompson,12,1979,1991,935,27764,5191,10306,1,12,2427,3707,2229,6951,2141,701,1073,2104,2692,12810,0.504,0.083,0.655,29.7,13.7,7.4,2.3,30-Jan-55,Nassau,Bahamas
29,Adonal Foyle,12,1998,2009,733,13060,1318,2766,0,2,353,707,1301,3461,344,264,1193,597,1575,2989,0.477,0,0.499,17.8,4.1,4.7,0.5,9-Mar-75,Canouan,Saint Vincent And The Grenadines
31,Nicolás Brussino,2,2017,2018,58,531,52,143,29,97,17,22,26,98,47,17,8,26,43,150,0.364,0.299,0.773,9.2,2.6,1.7,0.8,2-Mar-93,Santa Fe,Argentina
32,Carlos Delfino,8,2005,2013,507,11580,1472,3669,678,1856,493,650,287,1815,887,461,88,509,827,4115,0.401,0.365,0.758,22.8,8.1,3.6,1.7,29-Aug-82,Santa Fe,Argentina
33,Patricio Garino,1,2017,2017,5,43,0,7,0,5,0,0,1,7,0,0,0,3,4,0,0,0,,8.6,0,1.4,0,17-May-93,Buenos Aires,Argentina
34,Manu Ginóbili,16,2003,2018,1057,26859,4584,10262,1495,4055,3380,4089,685,3697,4001,1392,319,2116,2212,14043,0.447,0.369,0.827,25.4,13.3,3.5,3.8,28-Jul-77,Bahia Blanca,Argentina
35,Walter Herrmann,3,2007,2009,152,1939,312,681,114,299,81,103,78,319,66,31,12,61,143,819,0.458,0.381,0.786,12.8,5.4,2.1,0.4,26-Jun-79,Venado Tuerto,Argentina
36,Nicolás Laprovíttola,1,2017,2017,18,174,20,47,10,27,9,9,1,10,28,4,1,19,19,59,0.426,0.37,1,9.7,3.3,0.6,1.6,31-Jan-90,Buenos Aires,Argentina
37,Andrés Nocioni,8,2005,2012,514,12013,1932,4478,587,1574,964,1206,354,2295,614,215,228,724,1394,5415,0.431,0.373,0.799,23.4,10.5,4.5,1.2,30-Nov-79,Santa Fe,Argentina
38,Fabricio Oberto,6,2006,2011,336,4871,481,835,0,4,119,193,443,1175,300,89,75,225,733,1081,0.576,0,0.617,14.5,3.2,3.5,0.9,21-Mar-75,Las Varillas,Argentina
39,Pablo Prigioni,4,2013,2016,270,4566,334,786,203,535,75,86,145,505,765,268,6,257,429,946,0.425,0.379,0.872,16.9,3.5,1.9,2.8,17-May-77,Rio Tercero,Argentina
40,Pepe Sánchez,2,2001,2003,38,187,9,33,0,1,2,2,7,21,49,16,1,8,24,20,0.273,0,1,4.9,0.5,0.6,1.3,8-May-77,Bahia Blanca,Argentina
41,Luis Scola,10,2008,2017,743,19001,3669,7442,92,271,1452,1961,1335,4941,1194,474,224,1121,2037,8882,0.493,0.339,0.74,25.6,12,6.7,1.6,30-Apr-80,Buenos Aires,Argentina
42,Rubén Wolkowyski,2,2001,2003,41,329,27,83,0,3,26,38,12,47,4,6,18,13,41,80,0.325,0,0.684,8,2,1.1,0.1,30-Sep-73,Buenos Aires,Argentina
44,Hank Beenders,3,1947,1949,111,,348,1313,,,239,348,,,53,,,,304,935,0.265,,0.687,,8.4,,0.5,2-Jun-16,Haarlem,Netherlands
45,Francisco Elson,9,2004,2012,472,7207,725,1517,3,16,273,390,497,1638,260,228,255,355,1000,1726,0.478,0.188,0.7,15.3,3.7,3.5,0.6,28-Feb-76,Rotterdam,Netherlands
46,Dan Gadzuric,10,2003,2012,527,7793,1049,2100,0,8,367,737,910,2326,196,242,448,357,1250,2465,0.5,0,0.498,14.8,4.7,4.4,0.4,2-Feb-78,Den Haag,Netherlands
47,Geert Hammink,3,1994,1996,8,27,4,10,0,0,6,9,3,7,2,0,0,2,4,14,0.4,,0.667,3.4,1.8,0.9,0.3,12-Jul-69,Didam,Netherlands
48,Swen Nater,11,1974,1984,722,20746,3714,6939,1,10,1551,2074,2422,8340,1235,364,427,1537,2193,8980,0.535,0.1,0.748,28.7,12.4,11.6,1.7,14-Jan-50,Den Helder,Netherlands
49,Rik Smits,12,1989,2000,867,23100,5301,10461,3,26,2266,2932,1531,5277,1215,372,1111,1579,3011,12871,0.507,0.115,0.773,26.6,14.8,6.1,1.4,23-Aug-66,Eindhoven,Netherlands
51,Rawle Marshall,2,2006,2007,63,602,56,149,5,21,53,74,16,60,23,20,12,34,39,170,0.376,0.238,0.716,9.6,2.7,1,0.4,20-Feb-82,Georgetown,Guyana
52,Jason Miskiri,1,2000,2000,1,3,0,1,0,1,0,0,0,0,1,0,0,0,2,0,0,0,,3,0,0,1,19-Aug-75,Georgetown,Guyana
54,Kyle Alexander,1,2020,2020,2,13,1,2,0,0,0,0,2,3,0,0,0,1,1,2,0.5,,,6.5,1,1.5,0,21-Oct-96,Scarborough,Canada
55,Nickeil Alexander-Walker,1,2020,2020,47,591,98,266,46,133,25,37,9,84,89,17,8,54,57,267,0.368,0.346,0.676,12.6,5.7,1.8,1.9,2-Sep-98,Toronto,Canada
56,Joel Anthony,10,2008,2017,490,7056,398,776,0,0,268,405,562,1353,99,127,531,227,819,1064,0.513,,0.662,14.4,2.2,2.8,0.2,9-Aug-82,Montreal,Canada
57,Norm Baker,1,1947,1947,4,,0,1,,,0,0,,,0,,,,0,0,0,,,,0,,0,17-Feb-23,Victoria,Canada
58,RJ Barrett,1,2020,2020,56,1704,292,727,63,197,156,254,50,279,143,55,17,124,122,803,0.402,0.32,0.614,30.4,14.3,5,2.6,14-Jun-00,Toronto,Canada
59,Anthony Bennett,4,2014,2017,151,1905,251,641,36,138,120,179,132,472,77,58,27,99,206,658,0.392,0.261,0.67,12.6,4.4,3.1,0.5,14-Mar-93,Toronto,Canada
60,Sim Bhullar,1,2015,2015,3,3,1,2,0,0,0,0,0,1,1,0,1,0,0,2,0.5,,,1,0.7,0.3,0.3,2-Dec-92,Ontario,Canada
61,Khem Birch,3,2018,2020,140,2143,232,420,0,2,166,245,240,590,122,53,73,72,219,630,0.552,0,0.678,15.3,4.5,4.2,0.9,28-Sep-92,Montreal,Canada
62,Oshae Brissett,1,2020,2020,19,135,13,36,3,15,8,10,9,26,7,4,1,7,18,37,0.361,0.2,0.8,7.1,1.9,1.4,0.4,20-Jun-98,Toronto,Canada
63,Dillon Brooks,3,2018,2020,173,4792,824,1962,256,715,310,399,126,531,301,146,48,267,561,2214,0.42,0.358,0.777,27.7,12.8,3.1,1.7,22-Jan-96,Mississauga,Canada
64,Brandon Clarke,1,2020,2020,58,1300,296,479,23,64,85,112,92,345,81,32,48,55,100,700,0.618,0.359,0.759,22.4,12.1,5.9,1.4,19-Sep-96,Vancouver,Canada
65,Ron Crevier,1,1986,1986,3,4,0,3,0,0,0,2,1,1,0,0,0,0,2,0,0,,0,1.3,0,0.3,0,14-Apr-58,Montreal,Canada
66,Bobby Croft,1,1971,1971,62,739,126,348,0,2,73,112,83,206,41,,,44,137,325,0.362,0,0.652,11.9,5.2,3.3,0.7,17-Mar-46,,Canada
67,Luguentz Dort,1,2020,2020,36,820,86,218,30,101,42,53,24,81,27,31,4,22,97,244,0.394,0.297,0.792,22.8,6.8,2.3,0.8,19-Apr-99,Montreal,Canada
68,Tyler Ennis,4,2015,2018,186,2336,320,763,66,208,73,95,48,250,359,98,18,171,233,779,0.419,0.317,0.768,12.6,4.2,1.3,1.9,24-Aug-94,Brampton,Canada
69,Rick Fox,13,1992,2004,930,23723,3382,7519,771,2208,1431,1858,996,3517,2649,967,355,1611,2739,8966,0.45,0.349,0.77,25.5,9.6,3.8,2.8,24-Jul-69,Toronto,Canada
70,Shai Gilgeous-Alexander,2,2019,2020,152,4602,819,1731,138,390,444,552,104,644,502,175,92,275,292,2220,0.473,0.354,0.804,30.3,14.6,4.2,3.3,12-Jul-98,Toronto,Canada
71,Stewart Granger,3,1984,1987,80,996,123,297,4,17,66,89,15,78,173,33,1,91,127,316,0.414,0.235,0.742,12.5,4,1,2.2,27-Oct-61,Montreal,Canada
72,Bob Houbregs*,5,1954,1958,281,6725,906,2245,,,799,1108,,1552,500,,,,690,2611,0.404,,0.721,23.9,9.3,5.5,1.8,12-Mar-32,Vancouver,Canada
73,Cory Joseph,9,2012,2020,600,13115,1615,3666,293,883,600,780,305,1551,1736,459,132,600,906,4123,0.441,0.332,0.769,21.9,6.9,2.6,2.9,20-Aug-91,Toronto,Canada
74,Kris Joseph,1,2013,2013,10,54,2,14,0,3,5,8,1,7,1,3,0,2,3,9,0.143,0,0.625,5.4,0.9,0.7,0.1,17-Dec-88,Montreal,Canada
75,Mfiondu Kabengele,1,2020,2020,12,64,14,32,9,20,5,5,1,11,2,2,2,2,9,42,0.438,0.45,1,5.3,3.5,0.9,0.2,14-Aug-97,Toronto,Canada
76,Trey Lyles,5,2016,2020,351,6322,980,2263,313,918,329,465,277,1488,375,140,123,297,513,2602,0.433,0.341,0.708,18,7.4,4.2,1.1,5-Nov-95,Saskatoon,Canada
77,Todd MacCulloch,4,2000,2003,223,3439,568,1049,0,0,233,363,340,888,121,61,177,154,478,1369,0.541,,0.642,15.4,6.1,4,0.5,27-Jan-76,Winnipeg,Canada
78,Jamaal Magloire,12,2001,2012,680,14621,1763,3675,0,7,1391,2176,1418,4408,386,224,603,998,1792,4917,0.48,0,0.639,21.5,7.2,6.5,0.6,21-May-78,Toronto,Canada
79,Naz Mitrou-Long,3,2018,2020,20,132,13,38,5,24,2,2,1,13,23,2,2,11,12,33,0.342,0.208,1,6.6,1.7,0.7,1.2,3-Aug-93,Mississauga,Canada
80,Mychal Mulder,1,2020,2020,7,204,26,67,16,52,9,12,3,23,8,2,1,5,20,77,0.388,0.308,0.75,29.1,11,3.3,1.1,12-Jun-94,Etobicoke,Canada
81,Jamal Murray,4,2017,2020,297,8680,1695,3859,544,1518,687,781,233,1064,1091,264,96,570,552,4621,0.439,0.358,0.88,29.2,15.6,3.6,3.7,23-Feb-97,Kitchener,Canada
82,Andrew Nicholson,5,2013,2017,285,4080,708,1517,87,271,197,255,188,857,126,74,95,212,458,1700,0.467,0.321,0.773,14.3,6,3,0.4,8-Dec-89,Mississauga,Canada
83,Kelly Olynyk,7,2014,2020,500,10647,1759,3692,568,1524,750,968,582,2421,934,354,223,706,1388,4836,0.476,0.373,0.775,21.3,9.7,4.8,1.9,19-Apr-91,Toronto,Canada
84,Dwight Powell,6,2015,2020,371,6956,1062,1885,103,351,640,866,545,1711,364,251,173,247,782,2867,0.563,0.293,0.739,18.7,7.7,4.6,1,20-Jul-91,Toronto,Canada
85,Xavier Rathan-Mayes,1,2018,2018,5,118,12,42,1,14,4,9,0,5,18,6,3,11,18,29,0.286,0.071,0.444,23.6,5.8,1,3.6,29-Apr-94,Scarborough,Canada
86,Leo Rautins,2,1984,1985,32,208,21,60,0,0,6,10,10,35,32,9,2,20,34,48,0.35,,0.6,6.5,1.5,1.1,1,20-Mar-60,Toronto,Canada
87,Marial Shayok,1,2020,2020,4,28,3,12,2,6,3,4,1,7,1,0,1,3,4,11,0.25,0.333,0.75,7,2.8,1.8,0.3,26-Jul-95,Ottawa,Canada
88,Mike Smrek,7,1986,1992,194,1890,211,489,0,2,132,214,146,422,49,37,150,138,417,554,0.431,0,0.617,9.7,2.9,2.2,0.3,31-Aug-62,Welland,Canada
89,Gino Sovran,1,1947,1947,6,,5,15,,,1,2,,,1,,,,5,11,0.333,,0.5,,1.8,,0.2,17-Dec-24,Windsor,Canada
90,Nik Stauskas,5,2015,2019,335,6662,765,1967,396,1121,346,425,77,688,513,139,80,339,425,2272,0.389,0.353,0.814,19.9,6.8,2.1,1.5,7-Oct-93,Mississauga,Canada
91,Tristan Thompson,9,2012,2020,619,17372,2344,4524,9,32,1142,1871,2115,5393,624,317,447,718,1438,5839,0.518,0.281,0.61,28.1,9.4,8.7,1,13-Mar-91,Toronto,Canada
92,Ernie Vandeweghe,6,1950,1956,224,3600,818,1942,,,499,674,,834,548,,,,753,2135,0.421,,0.74,26.1,9.5,4.6,2.4,12-Sep-28,Montreal,Canada
93,Bill Wennington,13,1986,2000,720,9740,1379,3006,5,36,538,684,688,2148,440,226,248,440,1680,3301,0.459,0.139,0.787,13.5,4.6,3,0.6,26-Apr-63,Montreal,Canada
94,Andrew Wiggins,6,2015,2020,454,16242,3304,7488,540,1625,1795,2451,572,1977,1065,452,278,954,981,8943,0.441,0.332,0.732,35.8,19.7,4.4,2.3,23-Feb-95,Toronto,Canada
95,Jim Zoet,1,1983,1983,7,30,1,5,0,0,0,0,3,8,1,1,3,4,9,2,0.2,,,4.3,0.3,1.1,0.1,20-Dec-53,Uxbridge,Canada
97,Ben Bentil,1,2017,2017,3,10,0,3,0,1,0,0,0,2,0,0,0,1,1,0,0,0,,3.3,0,0.7,0,29-Mar-95,,Ghana
99,Rodrigue Beaubois,4,2010,2013,182,2896,502,1143,129,397,153,189,47,338,374,124,52,204,312,1286,0.439,0.325,0.81,15.9,7.1,1.9,2.1,24-Feb-88,Pointe-a-Pitre,Guadeloupe
100,Mickaël Gelabale,3,2007,2013,145,2348,263,560,43,136,101,124,107,330,115,50,35,92,186,670,0.47,0.316,0.815,16.2,4.6,2.3,0.8,22-May-83,Pointe Noire,Guadeloupe
101,Mickaël Piétrus,10,2004,2013,557,11950,1625,3821,679,1910,700,1053,440,1723,445,371,230,576,1270,4629,0.425,0.355,0.665,21.5,8.3,3.1,0.8,7-Feb-82,Les Abymes,Guadeloupe
103,Deng Adel,1,2019,2019,19,194,11,36,6,23,4,4,3,19,5,1,4,6,13,32,0.306,0.261,1,10.2,1.7,1,0.3,1-Feb-97,Juba,South Africa
104,Manute Bol,10,1986,1995,624,11698,665,1635,43,205,226,403,596,2647,171,126,2086,451,1457,1599,0.407,0.21,0.561,18.7,2.6,4.2,0.3,16-Oct-62,Gogrial,South Africa
105,Luol Deng,15,2005,2019,902,30941,5130,11257,658,1982,2443,3175,1462,5468,2042,880,444,1459,1499,13361,0.456,0.332,0.769,34.3,14.8,6.1,2.3,16-Apr-85,Wau,South Africa
106,Deng Gai,1,2006,2006,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2.5,0,0,0,22-Mar-82,Wau,South Africa
107,Thon Maker,4,2017,2020,255,3548,415,958,130,395,226,336,210,708,157,94,169,139,453,1186,0.433,0.329,0.673,13.9,4.7,2.8,0.6,25-Feb-97,Wau,South Africa
109,Óscar Torres,2,2002,2003,82,1184,151,377,44,139,96,125,50,134,43,29,11,57,73,442,0.401,0.317,0.768,14.4,5.4,1.6,0.5,18-Dec-76,Caracas,Venezuela
110,Greivis Vásquez,7,2011,2017,401,9520,1378,3297,412,1180,423,518,125,1021,1935,236,34,753,767,3591,0.418,0.349,0.817,23.7,9,2.5,4.8,16-Jan-87,Caracas,Venezuela
112,Xavier Henry,5,2011,2015,185,2905,368,907,41,126,273,430,81,351,120,100,23,139,264,1050,0.406,0.325,0.635,15.7,5.7,1.9,0.6,15-Mar-91,Gent,Belgium
113,Frank Ntilikina,3,2018,2020,178,3797,408,1115,127,409,123,157,72,385,543,149,48,258,427,1066,0.366,0.311,0.783,21.3,6,2.2,3.1,28-Jul-98,Ixelles,Belgium
114,Tony Parker,18,2002,2019,1254,38279,7777,15830,519,1603,3400,4525,441,3396,7036,1053,98,2865,2059,19473,0.491,0.324,0.751,30.5,15.5,2.7,5.6,17-May-82,Bruges,Belgium
116,Sekou Doumbouya,1,2020,2020,38,754,92,236,28,98,31,46,20,118,19,20,8,35,80,243,0.39,0.286,0.674,19.8,6.4,3.1,0.5,23-Dec-00,Conakry,Guinea
118,Joe Alexander,2,2009,2010,67,745,103,251,16,47,60,86,46,120,44,16,30,52,116,282,0.41,0.34,0.698,11.1,4.2,1.8,0.7,26-Dec-86,Kaohsiung,Taiwan
120,Lazaro Borrell,1,2000,2000,17,167,28,63,0,3,6,11,14,40,10,6,3,6,9,62,0.444,0,0.545,9.8,3.6,2.4,0.6,20-Sep-72,Santa Clara,Cuba
121,Al Cueto,2,1970,1971,149,2239,316,782,5,21,157,221,271,731,144,,,152,423,794,0.404,0.238,0.71,15,5.3,4.9,1,2-Aug-46,Havana,Cuba
122,Andrés Guibert,2,1994,1995,22,200,22,67,0,4,16,25,26,61,12,8,2,18,35,60,0.328,0,0.64,9.1,2.7,2.8,0.5,28-Oct-68,Havana,Cuba
124,Joel Bolomboy,2,2017,2018,18,91,12,22,1,5,6,12,10,27,2,3,2,4,4,31,0.545,0.2,0.5,5.1,1.7,1.5,0.1,28-Jan-94,Kiev,Ukraine
125,Kyrylo Fesenko,5,2008,2012,135,1107,125,252,0,2,55,134,97,269,40,19,53,66,224,305,0.496,0,0.41,8.2,2.3,2,0.3,24-Dec-86,Dnepropetrovsk,Ukraine
126,Viktor Khryapa,4,2005,2008,143,2351,251,567,14,48,127,193,168,492,142,86,48,139,353,643,0.443,0.292,0.658,16.4,4.5,3.4,1,3-Aug-82,Kiev,Ukraine
127,Viacheslav Kravtsov,2,2013,2014,45,283,41,61,0,0,15,45,33,62,10,5,10,20,39,97,0.672,,0.333,6.3,2.2,1.4,0.2,25-Aug-87,Odessa,Ukraine
128,Alex Len,7,2014,2020,467,9170,1417,2863,96,288,783,1134,948,2920,395,191,461,577,1238,3713,0.495,0.333,0.69,19.6,8,6.3,0.8,16-Jun-93,Antratsit,Ukraine
129,Stanislav Medvedenko,7,2001,2007,263,3340,590,1311,2,13,208,281,335,744,136,88,42,159,518,1390,0.45,0.154,0.74,12.7,5.3,2.8,0.5,4-Apr-79,Karapyshi,Ukraine
130,Sviatoslav Mykhailiuk,2,2019,2020,98,1705,212,545,144,374,69,90,26,140,143,55,5,82,112,637,0.389,0.385,0.767,17.4,6.5,1.4,1.5,10-Jun-97,Cherkasy,Ukraine
131,Oleksiy Pecherov,3,2008,2010,111,1044,160,414,45,155,73,92,88,266,20,21,22,59,119,438,0.386,0.29,0.793,9.4,3.9,2.4,0.2,8-Dec-85,Donetsk,Ukraine
132,Vitaly Potapenko,11,1997,2007,610,11608,1639,3424,1,6,716,1031,1067,2725,418,258,209,786,1537,3995,0.479,0.167,0.694,19,6.5,4.5,0.7,21-Mar-75,Kiev,Ukraine
134,Andrea Bargnani,10,2007,2016,550,15806,2932,6676,627,1771,1382,1677,530,2541,653,207,470,851,1338,7873,0.439,0.354,0.824,28.7,14.3,4.6,1.2,26-Oct-85,Rome,Italy
135,Marco Belinelli,13,2008,2020,860,19548,2949,6959,1216,3230,1256,1485,187,1769,1429,488,65,850,1222,8370,0.424,0.376,0.846,22.7,9.7,2.1,1.7,25-Mar-86,San Giovanni in Persiceto,Italy
136,Hank Biasatti,1,1947,1947,6,,2,5,,,2,4,,,0,,,,3,6,0.4,,0.5,,1,,0,14-Jan-22,Beano,Italy
137,Luigi Datome,2,2014,2015,55,447,77,186,25,79,9,11,17,75,20,8,8,20,35,188,0.414,0.316,0.818,8.1,3.4,1.4,0.4,27-Nov-87,Montebelluna,Italy
138,Vincenzo Esposito,1,1996,1996,30,282,36,100,13,56,31,39,4,16,23,7,0,39,27,116,0.36,0.232,0.795,9.4,3.9,0.5,0.8,1-Mar-69,Caserta,Italy
139,Danilo Gallinari,11,2009,2020,611,18886,2989,7004,1211,3184,2691,3083,449,2991,1237,478,240,804,1107,9880,0.427,0.38,0.873,30.9,16.2,4.9,2,8-Aug-88,Sant'Angelo Lodigiano,Italy
140,Reggie Jackson,9,2012,2020,561,14120,2680,6267,659,1955,1186,1383,304,1659,2456,390,66,1078,1094,7205,0.428,0.337,0.858,25.2,12.8,3,4.4,16-Apr-90,Pordenone,Italy
141,Nicolò Melli,1,2020,2020,60,1042,136,323,69,206,54,73,38,180,82,34,23,46,124,395,0.421,0.335,0.74,17.4,6.6,3,1.4,26-Jan-91,Reggio Emilia,Italy
142,Stefano Rusconi,1,1996,1996,7,30,3,9,0,0,2,5,3,6,3,0,2,3,10,8,0.333,,0.4,4.3,1.1,0.9,0.4,2-Oct-68,Bassano del Grappa,Italy
144,Ken Charles,5,1974,1978,322,7637,1083,2458,,,581,736,198,640,806,407,128,37,806,2747,0.441,,0.789,23.7,8.5,2,2.5,10-Jul-51,,Trinidad & Tobago
145,Carl Herrera,8,1992,1999,465,8042,1039,2183,2,14,401,624,577,1690,261,237,204,447,935,2481,0.476,0.143,0.643,17.3,5.3,3.6,0.6,14-Dec-66,Trinidad,Trinidad & Tobago
147,Martynas Andriuškevičius,1,2006,2006,6,9,0,1,0,0,0,0,1,4,0,2,0,0,1,0,0,,,1.5,0,0.7,0,12-Mar-86,Kaunas,Lithuania
148,Ignas Brazdeikis,1,2020,2020,9,53,6,22,1,9,4,5,2,5,4,0,1,2,3,17,0.273,0.111,0.8,5.9,1.9,0.6,0.4,8-Jan-99,Kaunas,Lithuania
149,Zydrunas Ilgauskas,13,1998,2011,843,22965,4207,8842,31,100,2531,3243,2444,6191,955,421,1327,1509,2776,10976,0.476,0.31,0.78,27.2,13,7.3,1.1,5-Jun-75,Kaunas,Lithuania
150,Šarūnas Jasikevičius,2,2006,2007,138,2530,298,751,130,366,207,228,34,222,399,66,5,206,183,933,0.397,0.355,0.908,18.3,6.8,1.6,2.9,5-Mar-76,Kaunas,Lithuania
151,Linas Kleiza,7,2006,2013,409,8185,1268,2912,387,1154,638,836,388,1470,321,159,73,409,886,3561,0.435,0.335,0.763,20,8.7,3.6,0.8,3-Jan-85,Kaunas,Lithuania
152,Mindaugas Kuzminskas,2,2017,2018,69,1018,158,371,54,168,55,68,47,126,69,29,11,51,79,425,0.426,0.321,0.809,14.8,6.2,1.8,1,19-Oct-89,Vilnius,Lithuania
153,Arvydas Macijauskas,1,2006,2006,19,135,14,41,3,12,13,15,3,10,5,7,0,8,10,44,0.341,0.25,0.867,7.1,2.3,0.5,0.3,19-Jan-80,Klaipeda,Lithuania
154,Šarūnas Marčiulionis*,7,1990,1997,363,8123,1571,3109,127,344,1362,1773,292,819,807,459,31,715,971,4631,0.505,0.369,0.768,22.4,12.8,2.3,2.2,13-Jun-64,Kaunas,Lithuania
155,Donatas Motiejūnas,6,2013,2019,251,4566,731,1558,121,404,249,417,298,952,269,118,82,287,538,1832,0.469,0.3,0.597,18.2,7.3,3.8,1.1,20-Sep-90,Kaunas,Lithuania
156,Arvydas Sabonis*,7,1996,2003,470,11375,2082,4160,136,415,1329,1690,734,3436,964,370,494,837,1290,5629,0.5,0.328,0.786,24.2,12,7.3,2.1,19-Dec-64,Kaunas,Lithuania
157,Darius Songaila,8,2004,2011,495,9229,1449,2904,3,19,514,609,553,1689,589,324,106,486,1197,3415,0.499,0.158,0.844,18.6,6.9,3.4,1.2,14-Feb-78,Marijampole,Lithuania
158,Jonas Valančiūnas,8,2013,2020,559,14146,2753,4896,77,217,1364,1747,1474,4952,522,214,585,862,1556,6947,0.562,0.355,0.781,25.3,12.4,8.9,0.9,6-May-92,Utena,Lithuania
160,Martin Müürsepp,2,1997,1998,83,951,137,322,20,62,95,137,81,181,50,41,25,47,154,389,0.425,0.323,0.693,11.5,4.7,2.2,0.6,26-Sep-74,Tallinn,Estonia
162,Giannis Antetokounmpo,7,2014,2020,528,17137,3873,7357,309,1087,2547,3526,888,4700,2275,620,692,1458,1589,10602,0.526,0.284,0.722,32.5,20.1,8.9,4.3,6-Dec-94,Athens,Greece
